city,latitude,longitude,timepoint,feels_like,humidity,wind_speed,city_id,main_weather
Aigues Mortes,43.5658225,4.1912837,1719635400.0,22.92575,72.625,3.19325,1.0,broken clouds
Aix en Provence,43.5298424,5.4474738,1719635400.0,25.829500000000003,53.675,3.3377499999999998,2.0,clear sky
Amiens,49.8941708,2.2956951,1719635400.0,16.766,77.85,3.774,3.0,overcast clouds
Annecy,45.8992348,6.1288847,1719635400.0,22.357,77.025,1.52075,4.0,overcast clouds
Ariège,42.8458016,1.6067585999999998,1719635400.0,23.353,75.675,1.987,5.0,light rain
Avignon,43.9492493,4.8059012,1719635400.0,25.2755,60.775,4.25525,6.0,clear sky
Bayeux,49.2764624,-0.7024738,1719635400.0,15.70775,77.925,4.114,7.0,overcast clouds
Bayonne,43.4945144,-1.4736657,1719635400.0,19.8375,84.325,3.2607500000000003,8.0,light rain
Besancon,47.2380222,6.0243622,1719635400.0,20.71725,87.05,2.1237500000000002,9.0,light rain
Biarritz,43.4832523,-1.5592776,1719635400.0,19.756,84.175,3.668,10.0,light rain
Bormes les Mimosas,43.1506968,6.3419285,1719635400.0,23.006999999999998,67.6,3.48975,11.0,clear sky
Carcassonne,43.2130358,2.3491069,1719635400.0,24.34825,64.15,4.6295,12.0,broken clouds
Cassis,43.2140359,5.5396318,1719635400.0,22.98775,68.575,4.70875,13.0,clear sky
Chateau du Haut Koenigsbourg,48.2495226,7.345492300000001,1719635400.0,18.41975,84.1,1.7975,14.0,light rain
Collioure,42.52505,3.0831554,1719635400.0,25.23775,63.175,3.732,15.0,broken clouds
Colmar,48.0777517,7.357964100000001,1719635400.0,21.58525,83.075,1.6774999999999998,16.0,light rain
Dijon,47.3215806,5.0414701,1719635400.0,20.526,84.325,2.407,17.0,light rain
Eguisheim,48.0447968,7.307961799999999,1719635400.0,21.262999999999998,82.9,1.6317499999999998,18.0,light rain
Grenoble,45.1875602,5.7357819,1719635400.0,24.3095,75.125,1.54275,19.0,overcast clouds
La Rochelle,46.1591126,-1.1520434,1719635400.0,19.05725,80.5,4.7195,20.0,overcast clouds
Le Havre,49.4938975,0.10797320000000002,1719635400.0,16.42475,76.2,4.729,21.0,overcast clouds
Lille,50.6365654,3.0635282,1719635400.0,18.01475,68.775,3.81425,22.0,broken clouds
Lyon,45.7578137,4.8320114,1719635400.0,23.075499999999998,72.175,2.12725,23.0,overcast clouds
Marseille,43.2961743,5.3699525,1719635400.0,23.87325,68.65,4.85025,24.0,clear sky
Mont Saint Michel,48.6359541,-1.511459954959514,1719635400.0,16.1625,79.3,4.093999999999999,25.0,broken clouds
Montauban,44.0175835,1.3549991,1719635400.0,22.944499999999998,71.625,2.9497500000000003,26.0,overcast clouds
Nimes,43.8374249,4.3600687,1719635400.0,24.93025,60.775,3.528,27.0,scattered clouds
Paris,48.8588897,2.3200410217200766,1719635400.0,20.7385,64.55,2.90475,28.0,light rain
Rouen,49.4404591,1.0939658,1719635400.0,17.27175,75.3,3.6345,29.0,overcast clouds
Saintes Maries de la mer,43.4522771,4.4287172,1719635400.0,22.444499999999998,76.95,3.978,30.0,clear sky
St Malo,48.649518,-2.0260409,1719635400.0,15.892500000000002,80.725,4.8645,31.0,overcast clouds
Strasbourg,48.584614,7.750712699999999,1719635400.0,20.7955,83.65,2.71675,32.0,light rain
Toulouse,43.6044622,1.4442469,1719635400.0,23.4315,68.375,3.2340000000000004,33.0,overcast clouds
Uzes,44.0121279,4.4196718,1719635400.0,24.16875,65.1,3.24125,34.0,scattered clouds
