,city,latitude,longitude,timepoint,main_weather,feels_like,humidity,wind_speed,city_id
0,Mont Saint Michel,48.6359541,-1.511459954959514,1719435600,broken clouds,22.89,77,4.01,25
1,Mont Saint Michel,48.6359541,-1.511459954959514,1719446400,broken clouds,19.72,84,3.43,25
2,Mont Saint Michel,48.6359541,-1.511459954959514,1719457200,broken clouds,15.12,95,2.98,25
3,Mont Saint Michel,48.6359541,-1.511459954959514,1719468000,overcast clouds,16.14,91,3.8,25
4,Mont Saint Michel,48.6359541,-1.511459954959514,1719478800,overcast clouds,18.35,79,5.2,25
5,Mont Saint Michel,48.6359541,-1.511459954959514,1719489600,broken clouds,18.98,57,4.63,25
6,Mont Saint Michel,48.6359541,-1.511459954959514,1719500400,overcast clouds,18.14,81,6.58,25
7,Mont Saint Michel,48.6359541,-1.511459954959514,1719511200,overcast clouds,16.3,78,5.31,25
8,Mont Saint Michel,48.6359541,-1.511459954959514,1719522000,scattered clouds,13.24,82,4.39,25
9,Mont Saint Michel,48.6359541,-1.511459954959514,1719532800,broken clouds,12.21,85,3.95,25
10,Mont Saint Michel,48.6359541,-1.511459954959514,1719543600,broken clouds,11.6,85,3.75,25
11,Mont Saint Michel,48.6359541,-1.511459954959514,1719554400,broken clouds,13.63,79,2.26,25
12,Mont Saint Michel,48.6359541,-1.511459954959514,1719565200,overcast clouds,16.13,66,3.54,25
13,Mont Saint Michel,48.6359541,-1.511459954959514,1719576000,broken clouds,17.38,62,3.75,25
14,Mont Saint Michel,48.6359541,-1.511459954959514,1719586800,clear sky,17.05,63,4.18,25
15,Mont Saint Michel,48.6359541,-1.511459954959514,1719597600,clear sky,15.74,68,4.62,25
16,Mont Saint Michel,48.6359541,-1.511459954959514,1719608400,few clouds,11.33,86,3.51,25
17,Mont Saint Michel,48.6359541,-1.511459954959514,1719619200,scattered clouds,10.39,92,2.92,25
18,Mont Saint Michel,48.6359541,-1.511459954959514,1719630000,scattered clouds,9.73,91,2.6,25
19,Mont Saint Michel,48.6359541,-1.511459954959514,1719640800,broken clouds,12.04,85,3.16,25
20,Mont Saint Michel,48.6359541,-1.511459954959514,1719651600,overcast clouds,17.95,65,2.89,25
21,Mont Saint Michel,48.6359541,-1.511459954959514,1719662400,overcast clouds,19.36,62,4.41,25
22,Mont Saint Michel,48.6359541,-1.511459954959514,1719673200,overcast clouds,19.15,65,5.07,25
23,Mont Saint Michel,48.6359541,-1.511459954959514,1719684000,overcast clouds,16.96,68,3.58,25
24,Mont Saint Michel,48.6359541,-1.511459954959514,1719694800,overcast clouds,14.8,75,4.75,25
25,Mont Saint Michel,48.6359541,-1.511459954959514,1719705600,overcast clouds,12.94,79,3.4,25
26,Mont Saint Michel,48.6359541,-1.511459954959514,1719716400,overcast clouds,13.76,93,2.78,25
27,Mont Saint Michel,48.6359541,-1.511459954959514,1719727200,overcast clouds,15.75,91,3.66,25
28,Mont Saint Michel,48.6359541,-1.511459954959514,1719738000,overcast clouds,17.67,81,4.84,25
29,Mont Saint Michel,48.6359541,-1.511459954959514,1719748800,overcast clouds,19.12,77,4.41,25
30,Mont Saint Michel,48.6359541,-1.511459954959514,1719759600,light rain,19.5,73,5.89,25
31,Mont Saint Michel,48.6359541,-1.511459954959514,1719770400,overcast clouds,18.03,81,5.27,25
32,Mont Saint Michel,48.6359541,-1.511459954959514,1719781200,overcast clouds,15.18,95,3.23,25
33,Mont Saint Michel,48.6359541,-1.511459954959514,1719792000,overcast clouds,14.22,95,3.41,25
34,Mont Saint Michel,48.6359541,-1.511459954959514,1719802800,few clouds,13.29,94,3.29,25
35,Mont Saint Michel,48.6359541,-1.511459954959514,1719813600,few clouds,14.65,92,3.6,25
36,Mont Saint Michel,48.6359541,-1.511459954959514,1719824400,broken clouds,17.13,80,3.76,25
37,Mont Saint Michel,48.6359541,-1.511459954959514,1719835200,broken clouds,19.85,64,3.52,25
38,Mont Saint Michel,48.6359541,-1.511459954959514,1719846000,broken clouds,17.8,77,4.91,25
39,Mont Saint Michel,48.6359541,-1.511459954959514,1719856800,light rain,17.08,91,3.78,25
40,St Malo,48.649518,-2.0260409,1719435600,scattered clouds,20.39,78,5.28,31
41,St Malo,48.649518,-2.0260409,1719446400,scattered clouds,18.06,87,4.61,31
42,St Malo,48.649518,-2.0260409,1719457200,broken clouds,14.82,95,4.39,31
43,St Malo,48.649518,-2.0260409,1719468000,overcast clouds,15.67,91,4.02,31
44,St Malo,48.649518,-2.0260409,1719478800,broken clouds,17.2,79,4.89,31
45,St Malo,48.649518,-2.0260409,1719489600,broken clouds,18.27,73,4.7,31
