city,name,hotel_prices,rating,number of review,hotel_link
Aigues-Mortes,"Hotel Des 4 Vents ""Esprit Camargue""","$1,298",Scored 8.4,725 reviews,https://www.booking.com/hotel/fr/des-4-vents.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAExuAEHyAEP2AEB6AEB-AECiAIBqAIDuALS3eyzBsACAdICJGIyZmQ2ZGJjLWRlYzMtNGMwOC1iMWVlLTE1MDJjOGViZmIwM9gCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-28&dest_id=-1406800&dest_type=city&group_adults=3&req_adults=3&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=price&nflt=class%3D3%3Bclass%3D4%3Bclass%3D5%3Bht_id%3D204&srpvid=4b35933b94f300a8&srepoch=1719348989&all_sr_blocks=26165103_365782272_0_2_0&highlighted_blocks=26165103_365782272_0_2_0&matching_block_id=26165103_365782272_0_2_0&sr_pri_blocks=26165103_365782272_0_2_0__121000&from_sustainable_property_sr=1&from=searchresults
Aigues-Mortes,Maison des Croisades,"$1,347",Scored 8.8,"1,035 reviews",https://www.booking.com/hotel/fr/des-croisades.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAExuAEHyAEP2AEB6AEB-AECiAIBqAIDuALS3eyzBsACAdICJGIyZmQ2ZGJjLWRlYzMtNGMwOC1iMWVlLTE1MDJjOGViZmIwM9gCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-28&dest_id=-1406800&dest_type=city&group_adults=3&req_adults=3&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=price&nflt=class%3D3%3Bclass%3D4%3Bclass%3D5%3Bht_id%3D204&srpvid=4b35933b94f300a8&srepoch=1719348989&all_sr_blocks=223754102_239982353_0_2_0&highlighted_blocks=223754102_239982353_0_2_0&matching_block_id=223754102_239982353_0_2_0&sr_pri_blocks=223754102_239982353_0_2_0__125490&from_sustainable_property_sr=1&from=searchresults
Aigues-Mortes,Hôtel Saint Louis,"$1,617",Scored 8.4,"1,598 reviews",https://www.booking.com/hotel/fr/saint-louis-aigues-mortes.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAExuAEHyAEP2AEB6AEB-AECiAIBqAIDuALS3eyzBsACAdICJGIyZmQ2ZGJjLWRlYzMtNGMwOC1iMWVlLTE1MDJjOGViZmIwM9gCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-28&dest_id=-1406800&dest_type=city&group_adults=3&req_adults=3&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=price&nflt=class%3D3%3Bclass%3D4%3Bclass%3D5%3Bht_id%3D204&srpvid=4b35933b94f300a8&srepoch=1719348989&all_sr_blocks=7675803_88985011_0_34_0&highlighted_blocks=7675803_88985011_0_34_0&matching_block_id=7675803_88985011_0_34_0&sr_pri_blocks=7675803_88985011_0_34_0__150660&from_sustainable_property_sr=1&from=searchresults
Aigues-Mortes,Le Mas Des Sables,"$3,069",Scored 7.6,829 reviews,https://www.booking.com/hotel/fr/le-mas-des-sables-aigues-mortes.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAExuAEHyAEP2AEB6AEB-AECiAIBqAIDuALS3eyzBsACAdICJGIyZmQ2ZGJjLWRlYzMtNGMwOC1iMWVlLTE1MDJjOGViZmIwM9gCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-28&dest_id=-1406800&dest_type=city&group_adults=3&req_adults=3&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=price&nflt=class%3D3%3Bclass%3D4%3Bclass%3D5%3Bht_id%3D204&srpvid=4b35933b94f300a8&srepoch=1719348989&all_sr_blocks=4635103_351639777_2_34_0%2C4635109_351639777_1_34_0&highlighted_blocks=4635103_351639777_2_34_0%2C4635109_351639777_1_34_0&matching_block_id=4635103_351639777_2_34_0&sr_pri_blocks=4635103_351639777_2_34_0__152240%2C4635109_351639777_1_34_0__133760&from_sustainable_property_sr=1&from=searchresults
Aigues-Mortes,Hotel Les Templiers,"$3,434",Scored 8.7,143 reviews,https://www.booking.com/hotel/fr/les-templiers.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAExuAEHyAEP2AEB6AEB-AECiAIBqAIDuALS3eyzBsACAdICJGIyZmQ2ZGJjLWRlYzMtNGMwOC1iMWVlLTE1MDJjOGViZmIwM9gCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-28&dest_id=-1406800&dest_type=city&group_adults=3&req_adults=3&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=price&nflt=class%3D3%3Bclass%3D4%3Bclass%3D5%3Bht_id%3D204&srpvid=4b35933b94f300a8&srepoch=1719348989&all_sr_blocks=5876601_340055943_0_2_0%2C5876603_340055943_0_2_0&highlighted_blocks=5876601_340055943_0_2_0%2C5876603_340055943_0_2_0&matching_block_id=5876601_340055943_0_2_0&sr_pri_blocks=5876601_340055943_0_2_0__152000%2C5876603_340055943_0_2_0__168000&from_sustainable_property_sr=1&from=searchresults
Aigues-Mortes,Boutique Hôtel des Remparts &amp; Spa,"$4,457",Scored 9.4,231 reviews,https://www.booking.com/hotel/fr/les-remparts-aigues-mortes.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAExuAEHyAEP2AEB6AEB-AECiAIBqAIDuALS3eyzBsACAdICJGIyZmQ2ZGJjLWRlYzMtNGMwOC1iMWVlLTE1MDJjOGViZmIwM9gCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-28&dest_id=-1406800&dest_type=city&group_adults=3&req_adults=3&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=price&nflt=class%3D3%3Bclass%3D4%3Bclass%3D5%3Bht_id%3D204&srpvid=4b35933b94f300a8&srepoch=1719348989&all_sr_blocks=32340509_92135418_0_2_0&highlighted_blocks=32340509_92135418_0_2_0&matching_block_id=32340509_92135418_0_2_0&sr_pri_blocks=32340509_92135418_0_2_0__415400&from_sustainable_property_sr=1&from=searchresults
Aigues-Mortes,La Villa Mazarin,"$4,464",Scored 9.2,984 reviews,https://www.booking.com/hotel/fr/la-villa-mazarin.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAExuAEHyAEP2AEB6AEB-AECiAIBqAIDuALS3eyzBsACAdICJGIyZmQ2ZGJjLWRlYzMtNGMwOC1iMWVlLTE1MDJjOGViZmIwM9gCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-28&dest_id=-1406800&dest_type=city&group_adults=3&req_adults=3&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=price&nflt=class%3D3%3Bclass%3D4%3Bclass%3D5%3Bht_id%3D204&srpvid=4b35933b94f300a8&srepoch=1719348989&all_sr_blocks=5352101_99734949_0_42_0%2C5352104_99734949_0_42_0&highlighted_blocks=5352101_99734949_0_42_0%2C5352104_99734949_0_42_0&matching_block_id=5352101_99734949_0_42_0&sr_pri_blocks=5352101_99734949_0_42_0__196000%2C5352104_99734949_0_42_0__220000&from=searchresults
Aigues-Mortes,Residence Residéal La Grande Motte,$868,Scored 7.3,"2,635 reviews",https://www.booking.com/hotel/fr/residence-resideal-la-grande-motte.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAExuAEHyAEP2AEB6AEB-AECiAIBqAIDuALS3eyzBsACAdICJGIyZmQ2ZGJjLWRlYzMtNGMwOC1iMWVlLTE1MDJjOGViZmIwM9gCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-28&dest_id=-1406800&dest_type=city&group_adults=3&req_adults=3&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=price&nflt=class%3D3%3Bclass%3D4%3Bclass%3D5%3Bht_id%3D204&srpvid=4b35933b94f300a8&srepoch=1719348989&all_sr_blocks=5346701_88555352_0_0_0&highlighted_blocks=5346701_88555352_0_0_0&matching_block_id=5346701_88555352_0_0_0&sr_pri_blocks=5346701_88555352_0_0_0__80920&from=searchresults
Aigues-Mortes,Vacancéole - Résidence Cap Camargue,"$1,039",Scored 6.7,"1,995 reviews",https://www.booking.com/hotel/fr/residence-cap-med.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAExuAEHyAEP2AEB6AEB-AECiAIBqAIDuALS3eyzBsACAdICJGIyZmQ2ZGJjLWRlYzMtNGMwOC1iMWVlLTE1MDJjOGViZmIwM9gCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-28&dest_id=-1406800&dest_type=city&group_adults=3&req_adults=3&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=price&nflt=class%3D3%3Bclass%3D4%3Bclass%3D5%3Bht_id%3D204&srpvid=4b35933b94f300a8&srepoch=1719348989&all_sr_blocks=24445306_343776357_0_2_0&highlighted_blocks=24445306_343776357_0_2_0&matching_block_id=24445306_343776357_0_2_0&sr_pri_blocks=24445306_343776357_0_2_0__96810&from=searchresults
Aigues-Mortes,Residence Residhotel Mayflower,"$1,419",Scored 7.3,"1,266 reviews",https://www.booking.com/hotel/fr/residhotel-mayflower.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAExuAEHyAEP2AEB6AEB-AECiAIBqAIDuALS3eyzBsACAdICJGIyZmQ2ZGJjLWRlYzMtNGMwOC1iMWVlLTE1MDJjOGViZmIwM9gCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-28&dest_id=-1406800&dest_type=city&group_adults=3&req_adults=3&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=price&nflt=class%3D3%3Bclass%3D4%3Bclass%3D5%3Bht_id%3D204&srpvid=4b35933b94f300a8&srepoch=1719348989&all_sr_blocks=23671807_99592760_0_0_0&highlighted_blocks=23671807_99592760_0_0_0&matching_block_id=23671807_99592760_0_0_0&sr_pri_blocks=23671807_99592760_0_0_0__132210&from_sustainable_property_sr=1&from=searchresults
Aigues-Mortes,Lou Garbin,"$1,588",Scored 8.8,344 reviews,https://www.booking.com/hotel/fr/lou-garbin.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAExuAEHyAEP2AEB6AEB-AECiAIBqAIDuALS3eyzBsACAdICJGIyZmQ2ZGJjLWRlYzMtNGMwOC1iMWVlLTE1MDJjOGViZmIwM9gCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-28&dest_id=-1406800&dest_type=city&group_adults=3&req_adults=3&no_rooms=1&group_children=0&req_children=0&hpos=11&hapos=11&sr_order=price&nflt=class%3D3%3Bclass%3D4%3Bclass%3D5%3Bht_id%3D204&srpvid=4b35933b94f300a8&srepoch=1719348989&all_sr_blocks=24810507_340056534_3_0_0&highlighted_blocks=24810507_340056534_3_0_0&matching_block_id=24810507_340056534_3_0_0&sr_pri_blocks=24810507_340056534_3_0_0__148000&from_sustainable_property_sr=1&from=searchresults
Aigues-Mortes,Azureva Le Grau du Roi,"$1,604",Scored 7.4,246 reviews,https://www.booking.com/hotel/fr/azura-va-le-grau-du-roi.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAExuAEHyAEP2AEB6AEB-AECiAIBqAIDuALS3eyzBsACAdICJGIyZmQ2ZGJjLWRlYzMtNGMwOC1iMWVlLTE1MDJjOGViZmIwM9gCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-28&dest_id=-1406800&dest_type=city&group_adults=3&req_adults=3&no_rooms=1&group_children=0&req_children=0&hpos=12&hapos=12&sr_order=price&nflt=class%3D3%3Bclass%3D4%3Bclass%3D5%3Bht_id%3D204&srpvid=4b35933b94f300a8&srepoch=1719348989&all_sr_blocks=39819703_175179150_4_0_0&highlighted_blocks=39819703_175179150_4_0_0&matching_block_id=39819703_175179150_4_0_0&sr_pri_blocks=39819703_175179150_4_0_0__149490&from=searchresults
