city,name,hotel_prices,rating,number of review,hotel_link
Aix-en-Provence,Appart'City Classic Aix-en-Provence - La Duranne,$922,Scored 7.4,508 reviews,https://www.booking.com/hotel/fr/my-suite-les-balcons-de-la-duranne.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAExuAEHyAEP2AEB6AEB-AECiAIBqAIDuALp8OyzBsACAdICJDBmOGE1MTcwLWRkM2EtNDhjNS1hMmUwLTVjZjdlNGU1MzY2MtgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-28&dest_id=-1406939&dest_type=city&group_adults=3&req_adults=3&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=price&nflt=class%3D4%3Bclass%3D3%3Bclass%3D5%3Bht_id%3D204&srpvid=b1499805576602b2&srepoch=1719351440&all_sr_blocks=5520413_340055738_0_2_0&highlighted_blocks=5520413_340055738_0_2_0&matching_block_id=5520413_340055738_0_2_0&sr_pri_blocks=5520413_340055738_0_2_0__85900&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Aix-en-Provence,Adonis Arc Hotel Aix,"$1,035",Scored 7.4,"1,477 reviews",https://www.booking.com/hotel/fr/arc-aix-hotel.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAExuAEHyAEP2AEB6AEB-AECiAIBqAIDuALp8OyzBsACAdICJDBmOGE1MTcwLWRkM2EtNDhjNS1hMmUwLTVjZjdlNGU1MzY2MtgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-28&dest_id=-1406939&dest_type=city&group_adults=3&req_adults=3&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=price&nflt=class%3D4%3Bclass%3D3%3Bclass%3D5%3Bht_id%3D204&srpvid=b1499805576602b2&srepoch=1719351440&all_sr_blocks=28281002_88985790_0_2_0&highlighted_blocks=28281002_88985790_0_2_0&matching_block_id=28281002_88985790_0_2_0&sr_pri_blocks=28281002_88985790_0_2_0__96480&from=searchresults#hotelTmpl
Aix-en-Provence,Odalys City Aix en Provence L'Atrium,"$1,106",Scored 6.8,"3,369 reviews",https://www.booking.com/hotel/fr/atrium-d-anaite.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAExuAEHyAEP2AEB6AEB-AECiAIBqAIDuALp8OyzBsACAdICJDBmOGE1MTcwLWRkM2EtNDhjNS1hMmUwLTVjZjdlNGU1MzY2MtgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-28&dest_id=-1406939&dest_type=city&group_adults=3&req_adults=3&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=price&nflt=class%3D4%3Bclass%3D3%3Bclass%3D5%3Bht_id%3D204&srpvid=b1499805576602b2&srepoch=1719351440&all_sr_blocks=5407402_88984661_4_34_0&highlighted_blocks=5407402_88984661_4_34_0&matching_block_id=5407402_88984661_4_34_0&sr_pri_blocks=5407402_88984661_4_34_0__103104&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Aix-en-Provence,Résidence Les Académies Aixoise,"$1,120",Scored 7.1,"1,965 reviews",https://www.booking.com/hotel/fr/residence-aixoise.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAExuAEHyAEP2AEB6AEB-AECiAIBqAIDuALp8OyzBsACAdICJDBmOGE1MTcwLWRkM2EtNDhjNS1hMmUwLTVjZjdlNGU1MzY2MtgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-28&dest_id=-1406939&dest_type=city&group_adults=3&req_adults=3&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=price&nflt=class%3D4%3Bclass%3D3%3Bclass%3D5%3Bht_id%3D204&srpvid=b1499805576602b2&srepoch=1719351440&all_sr_blocks=556180301_206873330_2_2_0%2C556180302_206873330_2_2_0&highlighted_blocks=556180301_206873330_2_2_0%2C556180302_206873330_2_2_0&matching_block_id=556180301_206873330_2_2_0&sr_pri_blocks=556180301_206873330_2_2_0__50400%2C556180302_206873330_2_2_0__54000&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Aix-en-Provence,Les appartements du Clos de la Chartreuse By Ateya,"$1,181",Scored 9.0,4 reviews,https://www.booking.com/hotel/fr/appart-le-clos-de-la-chartreuse.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAExuAEHyAEP2AEB6AEB-AECiAIBqAIDuALp8OyzBsACAdICJDBmOGE1MTcwLWRkM2EtNDhjNS1hMmUwLTVjZjdlNGU1MzY2MtgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-28&dest_id=-1406939&dest_type=city&group_adults=3&req_adults=3&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=price&nflt=class%3D4%3Bclass%3D3%3Bclass%3D5%3Bht_id%3D204&srpvid=b1499805576602b2&srepoch=1719351440&all_sr_blocks=1097391702_382625514_0_0_0&highlighted_blocks=1097391702_382625514_0_0_0&matching_block_id=1097391702_382625514_0_0_0&sr_pri_blocks=1097391702_382625514_0_0_0__110075&from=searchresults#hotelTmpl
Aix-en-Provence,Odalys City Aix en Provence Le Clos de la Chartreuse,"$1,234",Scored 7.7,"1,941 reviews",https://www.booking.com/hotel/fr/le-clos-de-la-chartreuse.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAExuAEHyAEP2AEB6AEB-AECiAIBqAIDuALp8OyzBsACAdICJDBmOGE1MTcwLWRkM2EtNDhjNS1hMmUwLTVjZjdlNGU1MzY2MtgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-28&dest_id=-1406939&dest_type=city&group_adults=3&req_adults=3&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=price&nflt=class%3D4%3Bclass%3D3%3Bclass%3D5%3Bht_id%3D204&srpvid=b1499805576602b2&srepoch=1719351440&all_sr_blocks=35176602_88986037_4_2_0&highlighted_blocks=35176602_88986037_4_2_0&matching_block_id=35176602_88986037_4_2_0&sr_pri_blocks=35176602_88986037_4_2_0__114984&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Aix-en-Provence,Zenitude Hôtel-Résidences Le Tholonet,"$1,250",Scored 7.6,"1,956 reviews",https://www.booking.com/hotel/fr/ra-c-sidence-le-tholonet.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAExuAEHyAEP2AEB6AEB-AECiAIBqAIDuALp8OyzBsACAdICJDBmOGE1MTcwLWRkM2EtNDhjNS1hMmUwLTVjZjdlNGU1MzY2MtgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-28&dest_id=-1406939&dest_type=city&group_adults=3&req_adults=3&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=price&nflt=class%3D4%3Bclass%3D3%3Bclass%3D5%3Bht_id%3D204&srpvid=b1499805576602b2&srepoch=1719351440&all_sr_blocks=32164602_89782346_2_10_0%2C32164602_89782346_2_10_0&highlighted_blocks=32164602_89782346_2_10_0%2C32164602_89782346_2_10_0&matching_block_id=32164602_89782346_2_10_0&sr_pri_blocks=32164602_89782346_2_10_0__58239%2C32164602_89782346_2_10_0__58239&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Aix-en-Provence,Novotel Aix-en-Provence Beaumanoir,"$1,260",Scored 7.2,797 reviews,https://www.booking.com/hotel/fr/novotel-aix-beaumanoir.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAExuAEHyAEP2AEB6AEB-AECiAIBqAIDuALp8OyzBsACAdICJDBmOGE1MTcwLWRkM2EtNDhjNS1hMmUwLTVjZjdlNGU1MzY2MtgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-28&dest_id=-1406939&dest_type=city&group_adults=3&req_adults=3&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=price&nflt=class%3D4%3Bclass%3D3%3Bclass%3D5%3Bht_id%3D204&srpvid=b1499805576602b2&srepoch=1719351440&all_sr_blocks=5414423_94273301_3_42_0&highlighted_blocks=5414423_94273301_3_42_0&matching_block_id=5414423_94273301_3_42_0&sr_pri_blocks=5414423_94273301_3_42_0__117417&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Aix-en-Provence,Adonis Aix en Provence,"$1,298",Scored 7.1,"2,119 reviews",https://www.booking.com/hotel/fr/adonis-aix.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAExuAEHyAEP2AEB6AEB-AECiAIBqAIDuALp8OyzBsACAdICJDBmOGE1MTcwLWRkM2EtNDhjNS1hMmUwLTVjZjdlNGU1MzY2MtgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-28&dest_id=-1406939&dest_type=city&group_adults=3&req_adults=3&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=price&nflt=class%3D4%3Bclass%3D3%3Bclass%3D5%3Bht_id%3D204&srpvid=b1499805576602b2&srepoch=1719351440&all_sr_blocks=87294501_88560829_0_2_0%2C87294501_88560829_0_2_0&highlighted_blocks=87294501_88560829_0_2_0%2C87294501_88560829_0_2_0&matching_block_id=87294501_88560829_0_2_0&sr_pri_blocks=87294501_88560829_0_2_0__60480%2C87294501_88560829_0_2_0__60480&from=searchresults#hotelTmpl
Aix-en-Provence,Best Western Le Galice Centre Ville,"$1,383",Scored 7.8,"2,325 reviews",https://www.booking.com/hotel/fr/best-western-le-galice.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAExuAEHyAEP2AEB6AEB-AECiAIBqAIDuALp8OyzBsACAdICJDBmOGE1MTcwLWRkM2EtNDhjNS1hMmUwLTVjZjdlNGU1MzY2MtgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-28&dest_id=-1406939&dest_type=city&group_adults=3&req_adults=3&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=price&nflt=class%3D4%3Bclass%3D3%3Bclass%3D5%3Bht_id%3D204&srpvid=b1499805576602b2&srepoch=1719351440&all_sr_blocks=23102623_94354164_3_2_0&highlighted_blocks=23102623_94354164_3_2_0&matching_block_id=23102623_94354164_3_2_0&sr_pri_blocks=23102623_94354164_3_2_0__128911&from=searchresults#hotelTmpl
Aix-en-Provence,The Originals Résidence Aix Schuman,"$1,644",Scored 8.5,"1,043 reviews",https://www.booking.com/hotel/fr/the-originals-residence-aix-schuman.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAExuAEHyAEP2AEB6AEB-AECiAIBqAIDuALp8OyzBsACAdICJDBmOGE1MTcwLWRkM2EtNDhjNS1hMmUwLTVjZjdlNGU1MzY2MtgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-28&dest_id=-1406939&dest_type=city&group_adults=3&req_adults=3&no_rooms=1&group_children=0&req_children=0&hpos=11&hapos=11&sr_order=price&nflt=class%3D4%3Bclass%3D3%3Bclass%3D5%3Bht_id%3D204&srpvid=b1499805576602b2&srepoch=1719351440&all_sr_blocks=1062624403_386564389_0_2_0%2C1062624403_386564389_0_2_0&highlighted_blocks=1062624403_386564389_0_2_0%2C1062624403_386564389_0_2_0&matching_block_id=1062624403_386564389_0_2_0&sr_pri_blocks=1062624403_386564389_0_2_0__76600%2C1062624403_386564389_0_2_0__76600&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Aix-en-Provence,Novotel Aix-en-Provence Pont de L'Arc,"$1,741",Scored 7.8,6 reviews,https://www.booking.com/hotel/fr/aix-en-provence-pont-de-l-arc-fenouilleres.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAExuAEHyAEP2AEB6AEB-AECiAIBqAIDuALp8OyzBsACAdICJDBmOGE1MTcwLWRkM2EtNDhjNS1hMmUwLTVjZjdlNGU1MzY2MtgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-28&dest_id=-1406939&dest_type=city&group_adults=3&req_adults=3&no_rooms=1&group_children=0&req_children=0&hpos=12&hapos=12&sr_order=price&nflt=class%3D4%3Bclass%3D3%3Bclass%3D5%3Bht_id%3D204&srpvid=b1499805576602b2&srepoch=1719351440&all_sr_blocks=5723323_94276016_3_42_0&highlighted_blocks=5723323_94276016_3_42_0&matching_block_id=5723323_94276016_3_42_0&sr_pri_blocks=5723323_94276016_3_42_0__162258&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Aix-en-Provence,Aparthotel Adagio Aix-en-Provence Centre,"$1,884",Scored 8.4,"2,258 reviews",https://www.booking.com/hotel/fr/pierre-vacances-city-centre.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAExuAEHyAEP2AEB6AEB-AECiAIBqAIDuALp8OyzBsACAdICJDBmOGE1MTcwLWRkM2EtNDhjNS1hMmUwLTVjZjdlNGU1MzY2MtgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-28&dest_id=-1406939&dest_type=city&group_adults=3&req_adults=3&no_rooms=1&group_children=0&req_children=0&hpos=13&hapos=13&sr_order=price&nflt=class%3D4%3Bclass%3D3%3Bclass%3D5%3Bht_id%3D204&srpvid=b1499805576602b2&srepoch=1719351440&all_sr_blocks=5326203_94272536_3_2_0&highlighted_blocks=5326203_94272536_3_2_0&matching_block_id=5326203_94272536_3_2_0&sr_pri_blocks=5326203_94272536_3_2_0__175600&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Aix-en-Provence,LES JARDINS D'ATHENA,"$1,902",Scored 7.0,77 reviews,https://www.booking.com/hotel/fr/les-jardins-d-39-athena-aix-en-provence.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAExuAEHyAEP2AEB6AEB-AECiAIBqAIDuALp8OyzBsACAdICJDBmOGE1MTcwLWRkM2EtNDhjNS1hMmUwLTVjZjdlNGU1MzY2MtgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-28&dest_id=-1406939&dest_type=city&group_adults=3&req_adults=3&no_rooms=1&group_children=0&req_children=0&hpos=14&hapos=14&sr_order=price&nflt=class%3D4%3Bclass%3D3%3Bclass%3D5%3Bht_id%3D204&srpvid=b1499805576602b2&srepoch=1719351440&all_sr_blocks=677448901_276514668_2_0_0%2C677448901_276514668_2_0_0&highlighted_blocks=677448901_276514668_2_0_0%2C677448901_276514668_2_0_0&matching_block_id=677448901_276514668_2_0_0&sr_pri_blocks=677448901_276514668_2_0_0__88650%2C677448901_276514668_2_0_0__88650&from=searchresults#hotelTmpl
Aix-en-Provence,Catherine Studios,"$1,940",Scored 8.4,28 reviews,https://www.booking.com/hotel/fr/catherine-studios.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAExuAEHyAEP2AEB6AEB-AECiAIBqAIDuALp8OyzBsACAdICJDBmOGE1MTcwLWRkM2EtNDhjNS1hMmUwLTVjZjdlNGU1MzY2MtgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-28&dest_id=-1406939&dest_type=city&group_adults=3&req_adults=3&no_rooms=1&group_children=0&req_children=0&hpos=15&hapos=15&sr_order=price&nflt=class%3D4%3Bclass%3D3%3Bclass%3D5%3Bht_id%3D204&srpvid=b1499805576602b2&srepoch=1719351440&all_sr_blocks=913465601_362738157_2_0_0%2C913465603_362738158_2_0_0&highlighted_blocks=913465601_362738157_2_0_0%2C913465603_362738158_2_0_0&matching_block_id=913465601_362738157_2_0_0&sr_pri_blocks=913465601_362738157_2_0_0__64800%2C913465603_362738158_2_0_0__116000&from=searchresults#hotelTmpl
Aix-en-Provence,Les Terrasses D'Aix - Studio avec Grande Terrasse privée,"$1,947",Scored 8.1,228 reviews,https://www.booking.com/hotel/fr/les-terrasses-d-39-aix.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAExuAEHyAEP2AEB6AEB-AECiAIBqAIDuALp8OyzBsACAdICJDBmOGE1MTcwLWRkM2EtNDhjNS1hMmUwLTVjZjdlNGU1MzY2MtgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-28&dest_id=-1406939&dest_type=city&group_adults=3&req_adults=3&no_rooms=1&group_children=0&req_children=0&hpos=16&hapos=16&sr_order=price&nflt=class%3D4%3Bclass%3D3%3Bclass%3D5%3Bht_id%3D204&srpvid=b1499805576602b2&srepoch=1719351440&all_sr_blocks=234335201_100835976_2_0_0%2C234335201_100835976_2_0_0&highlighted_blocks=234335201_100835976_2_0_0%2C234335201_100835976_2_0_0&matching_block_id=234335201_100835976_2_0_0&sr_pri_blocks=234335201_100835976_2_0_0__90720%2C234335201_100835976_2_0_0__90720&from=searchresults#hotelTmpl
Aix-en-Provence,Escale Oceania Aix-en-Provence,"$1,953",Scored 7.7,"1,001 reviews",https://www.booking.com/hotel/fr/hotelmascotte.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAExuAEHyAEP2AEB6AEB-AECiAIBqAIDuALp8OyzBsACAdICJDBmOGE1MTcwLWRkM2EtNDhjNS1hMmUwLTVjZjdlNGU1MzY2MtgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-28&dest_id=-1406939&dest_type=city&group_adults=3&req_adults=3&no_rooms=1&group_children=0&req_children=0&hpos=17&hapos=17&sr_order=price&nflt=class%3D4%3Bclass%3D3%3Bclass%3D5%3Bht_id%3D204&srpvid=b1499805576602b2&srepoch=1719351440&all_sr_blocks=5087802_88918532_0_2_0%2C5087802_88918532_0_2_0&highlighted_blocks=5087802_88918532_0_2_0%2C5087802_88918532_0_2_0&matching_block_id=5087802_88918532_0_2_0&sr_pri_blocks=5087802_88918532_0_2_0__91000%2C5087802_88918532_0_2_0__91000&from=searchresults#hotelTmpl
Aix-en-Provence,Casa Hotel,"$2,128",Scored 7.8,574 reviews,https://www.booking.com/hotel/fr/casa-hom.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAExuAEHyAEP2AEB6AEB-AECiAIBqAIDuALp8OyzBsACAdICJDBmOGE1MTcwLWRkM2EtNDhjNS1hMmUwLTVjZjdlNGU1MzY2MtgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-28&dest_id=-1406939&dest_type=city&group_adults=3&req_adults=3&no_rooms=1&group_children=0&req_children=0&hpos=18&hapos=18&sr_order=price&nflt=class%3D4%3Bclass%3D3%3Bclass%3D5%3Bht_id%3D204&srpvid=b1499805576602b2&srepoch=1719351440&all_sr_blocks=172555013_380853871_2_0_0%2C172555005_380853871_2_0_0&highlighted_blocks=172555013_380853871_2_0_0%2C172555005_380853871_2_0_0&matching_block_id=172555013_380853871_2_0_0&sr_pri_blocks=172555013_380853871_2_0_0__91120%2C172555005_380853871_2_0_0__107200&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Aix-en-Provence,Le Mas des Ecureuils,"$2,251",Scored 7.1,315 reviews,https://www.booking.com/hotel/fr/le-mas-des-ecureuils.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAExuAEHyAEP2AEB6AEB-AECiAIBqAIDuALp8OyzBsACAdICJDBmOGE1MTcwLWRkM2EtNDhjNS1hMmUwLTVjZjdlNGU1MzY2MtgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-28&dest_id=-1406939&dest_type=city&group_adults=3&req_adults=3&no_rooms=1&group_children=0&req_children=0&hpos=19&hapos=19&sr_order=price&nflt=class%3D4%3Bclass%3D3%3Bclass%3D5%3Bht_id%3D204&srpvid=b1499805576602b2&srepoch=1719351440&all_sr_blocks=97355_91912835_2_42_0%2C23045202_91912835_2_42_0&highlighted_blocks=97355_91912835_2_42_0%2C23045202_91912835_2_42_0&matching_block_id=97355_91912835_2_42_0&sr_pri_blocks=97355_91912835_2_42_0__101250%2C23045202_91912835_2_42_0__108540&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Aix-en-Provence,La Caravelle,"$2,327",Scored 8.5,179 reviews,https://www.booking.com/hotel/fr/la-caravelle-aix-en-provence.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAExuAEHyAEP2AEB6AEB-AECiAIBqAIDuALp8OyzBsACAdICJDBmOGE1MTcwLWRkM2EtNDhjNS1hMmUwLTVjZjdlNGU1MzY2MtgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-28&dest_id=-1406939&dest_type=city&group_adults=3&req_adults=3&no_rooms=1&group_children=0&req_children=0&hpos=20&hapos=20&sr_order=price&nflt=class%3D4%3Bclass%3D3%3Bclass%3D5%3Bht_id%3D204&srpvid=b1499805576602b2&srepoch=1719351440&all_sr_blocks=4992301_88560785_2_2_0%2C4992311_88560785_0_2_0&highlighted_blocks=4992301_88560785_2_2_0%2C4992311_88560785_0_2_0&matching_block_id=4992301_88560785_2_2_0&sr_pri_blocks=4992301_88560785_2_2_0__101300%2C4992311_88560785_0_2_0__115600&from=searchresults#hotelTmpl
