city,name,hotel_prices,rating,number of review,hotel_link
Annecy,greet hôtel Annecy Cran-Gevrier,$845,Scored 7.6,"1,326 reviews",https://www.booking.com/hotel/fr/greet-annecy.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAExuAEHyAEP2AEB6AEB-AECiAIBqAIDuALz6eyzBsACAdICJDYxOWEwMGQ2LTNkMTAtNDFkYy04MTA5LTQ5NThiNDIzMTY3OdgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-28&dest_id=-1407760&dest_type=city&group_adults=3&req_adults=3&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=price&nflt=class%3D3%3Bclass%3D4%3Bclass%3D5%3Bht_id%3D204&srpvid=6bd6965a5e9e019a&srepoch=1719350590&all_sr_blocks=53686305_94487685_3_2_0&highlighted_blocks=53686305_94487685_3_2_0&matching_block_id=53686305_94487685_3_2_0&sr_pri_blocks=53686305_94487685_3_2_0__78750&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Annecy,Hotel des Marquisats,"$1,167",Scored 8.2,"1,553 reviews",https://www.booking.com/hotel/fr/des-marquisats.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAExuAEHyAEP2AEB6AEB-AECiAIBqAIDuALz6eyzBsACAdICJDYxOWEwMGQ2LTNkMTAtNDFkYy04MTA5LTQ5NThiNDIzMTY3OdgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-28&dest_id=-1407760&dest_type=city&group_adults=3&req_adults=3&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=price&nflt=class%3D3%3Bclass%3D4%3Bclass%3D5%3Bht_id%3D204&srpvid=6bd6965a5e9e019a&srepoch=1719350590&all_sr_blocks=5397507_88918853_0_2_0&highlighted_blocks=5397507_88918853_0_2_0&matching_block_id=5397507_88918853_0_2_0&sr_pri_blocks=5397507_88918853_0_2_0__108800&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Annecy,Aparthotel Adagio Annecy Centre,"$1,455",Scored 8.5,"3,256 reviews",https://www.booking.com/hotel/fr/adagio-city-aparthotel-annecy-centre.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAExuAEHyAEP2AEB6AEB-AECiAIBqAIDuALz6eyzBsACAdICJDYxOWEwMGQ2LTNkMTAtNDFkYy04MTA5LTQ5NThiNDIzMTY3OdgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-28&dest_id=-1407760&dest_type=city&group_adults=3&req_adults=3&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=price&nflt=class%3D3%3Bclass%3D4%3Bclass%3D5%3Bht_id%3D204&srpvid=6bd6965a5e9e019a&srepoch=1719350590&all_sr_blocks=5790703_94277541_3_2_0&highlighted_blocks=5790703_94277541_3_2_0&matching_block_id=5790703_94277541_3_2_0&sr_pri_blocks=5790703_94277541_3_2_0__135642&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Annecy,Zenitude Hôtel-Résidences Les Hauts d'Annecy,"$1,478",Scored 7.5,"4,192 reviews",https://www.booking.com/hotel/fr/appart-city-annecy-seynod.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAExuAEHyAEP2AEB6AEB-AECiAIBqAIDuALz6eyzBsACAdICJDYxOWEwMGQ2LTNkMTAtNDFkYy04MTA5LTQ5NThiNDIzMTY3OdgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-28&dest_id=-1407760&dest_type=city&group_adults=3&req_adults=3&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=price&nflt=class%3D3%3Bclass%3D4%3Bclass%3D5%3Bht_id%3D204&srpvid=6bd6965a5e9e019a&srepoch=1719350590&all_sr_blocks=18332713_93713336_0_2_0&highlighted_blocks=18332713_93713336_0_2_0&matching_block_id=18332713_93713336_0_2_0&sr_pri_blocks=18332713_93713336_0_2_0__137700&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Annecy,Novotel Annecy Centre,"$2,023",Scored 7.8,"2,644 reviews",https://www.booking.com/hotel/fr/annecy-centre-atria.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAExuAEHyAEP2AEB6AEB-AECiAIBqAIDuALz6eyzBsACAdICJDYxOWEwMGQ2LTNkMTAtNDFkYy04MTA5LTQ5NThiNDIzMTY3OdgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-28&dest_id=-1407760&dest_type=city&group_adults=3&req_adults=3&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=price&nflt=class%3D3%3Bclass%3D4%3Bclass%3D5%3Bht_id%3D204&srpvid=6bd6965a5e9e019a&srepoch=1719350590&all_sr_blocks=5729729_94276465_3_2_0&highlighted_blocks=5729729_94276465_3_2_0&matching_block_id=5729729_94276465_3_2_0&sr_pri_blocks=5729729_94276465_3_2_0__188572&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Annecy,Hotel Novel Restaurant La Mamma,"$2,318",Scored 7.5,825 reviews,https://www.booking.com/hotel/fr/logis-de-france-novel-rest-la-mamma.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAExuAEHyAEP2AEB6AEB-AECiAIBqAIDuALz6eyzBsACAdICJDYxOWEwMGQ2LTNkMTAtNDFkYy04MTA5LTQ5NThiNDIzMTY3OdgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-28&dest_id=-1407760&dest_type=city&group_adults=3&req_adults=3&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=price&nflt=class%3D3%3Bclass%3D4%3Bclass%3D5%3Bht_id%3D204&srpvid=6bd6965a5e9e019a&srepoch=1719350590&all_sr_blocks=5518602_365571562_0_2_0%2C5518602_365571562_0_2_0&highlighted_blocks=5518602_365571562_0_2_0%2C5518602_365571562_0_2_0&matching_block_id=5518602_365571562_0_2_0&sr_pri_blocks=5518602_365571562_0_2_0__108000%2C5518602_365571562_0_2_0__108000&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Annecy,ibis Styles Annecy Centre Gare,"$2,808",Scored 8.2,"2,101 reviews",https://www.booking.com/hotel/fr/comforthotelmandallaz.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAExuAEHyAEP2AEB6AEB-AECiAIBqAIDuALz6eyzBsACAdICJDYxOWEwMGQ2LTNkMTAtNDFkYy04MTA5LTQ5NThiNDIzMTY3OdgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-28&dest_id=-1407760&dest_type=city&group_adults=3&req_adults=3&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=price&nflt=class%3D3%3Bclass%3D4%3Bclass%3D5%3Bht_id%3D204&srpvid=6bd6965a5e9e019a&srepoch=1719350590&all_sr_blocks=21155604_376288310_2_1_0%2C21155604_376288310_1_1_0&highlighted_blocks=21155604_376288310_2_1_0%2C21155604_376288310_1_1_0&matching_block_id=21155604_376288310_2_1_0&sr_pri_blocks=21155604_376288310_2_1_0__135530%2C21155604_376288310_1_1_0__126130&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Annecy,ibis Annecy Centre Vieille Ville,"$2,828",Scored 8.3,"3,392 reviews",https://www.booking.com/hotel/fr/ibis-annecy-centre-vieille-ville.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAExuAEHyAEP2AEB6AEB-AECiAIBqAIDuALz6eyzBsACAdICJDYxOWEwMGQ2LTNkMTAtNDFkYy04MTA5LTQ5NThiNDIzMTY3OdgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-28&dest_id=-1407760&dest_type=city&group_adults=3&req_adults=3&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=price&nflt=class%3D3%3Bclass%3D4%3Bclass%3D5%3Bht_id%3D204&srpvid=6bd6965a5e9e019a&srepoch=1719350590&all_sr_blocks=56932503_94493442_2_34_0%2C56932503_94493442_2_34_0&highlighted_blocks=56932503_94493442_2_34_0%2C56932503_94493442_2_34_0&matching_block_id=56932503_94493442_2_34_0&sr_pri_blocks=56932503_94493442_2_34_0__131800%2C56932503_94493442_2_34_0__131800&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Annecy,Hôtel Catalpa,"$2,884",Scored 8.4,"1,765 reviews",https://www.booking.com/hotel/fr/au-faisan-dora-c.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAExuAEHyAEP2AEB6AEB-AECiAIBqAIDuALz6eyzBsACAdICJDYxOWEwMGQ2LTNkMTAtNDFkYy04MTA5LTQ5NThiNDIzMTY3OdgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-28&dest_id=-1407760&dest_type=city&group_adults=3&req_adults=3&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=price&nflt=class%3D3%3Bclass%3D4%3Bclass%3D5%3Bht_id%3D204&srpvid=6bd6965a5e9e019a&srepoch=1719350590&all_sr_blocks=37631304_88560488_0_2_0%2C37631304_88560488_0_2_0&highlighted_blocks=37631304_88560488_0_2_0%2C37631304_88560488_0_2_0&matching_block_id=37631304_88560488_0_2_0&sr_pri_blocks=37631304_88560488_0_2_0__134400%2C37631304_88560488_0_2_0__134400&from=searchresults#hotelTmpl
Annecy,Hôtel de Bonlieu,"$2,901",Scored 8.3,"1,403 reviews",https://www.booking.com/hotel/fr/hoteldebonlieu.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAExuAEHyAEP2AEB6AEB-AECiAIBqAIDuALz6eyzBsACAdICJDYxOWEwMGQ2LTNkMTAtNDFkYy04MTA5LTQ5NThiNDIzMTY3OdgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-28&dest_id=-1407760&dest_type=city&group_adults=3&req_adults=3&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=price&nflt=class%3D3%3Bclass%3D4%3Bclass%3D5%3Bht_id%3D204&srpvid=6bd6965a5e9e019a&srepoch=1719350590&all_sr_blocks=5197702_81662194_2_2_0%2C5197702_81662194_2_2_0&highlighted_blocks=5197702_81662194_2_2_0%2C5197702_81662194_2_2_0&matching_block_id=5197702_81662194_2_2_0&sr_pri_blocks=5197702_81662194_2_2_0__135200%2C5197702_81662194_2_2_0__135200&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
