city,name,hotel_prices,rating,number of review,hotel_link
Avignon,Hôtel Kyriad Cap Sud,$793,Scored 7.7,918 reviews,https://www.booking.com/hotel/fr/kyriad-avignon-cap-sud.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAExuAEHyAEP2AEB6AEB-AECiAIBqAIDuAKu8eyzBsACAdICJGQ3YmU4MzBhLWY2NGUtNDgxOC04MWIwLTY2MjMyYTcxZTk0MNgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-28&dest_id=-1409631&dest_type=city&group_adults=3&req_adults=3&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=price&nflt=class%3D3%3Bclass%3D4%3Bclass%3D5%3Bht_id%3D204&srpvid=6d24982dc4b80330&srepoch=1719351524&all_sr_blocks=21954902_0_3_0_0&highlighted_blocks=21954902_0_3_0_0&matching_block_id=21954902_0_3_0_0&sr_pri_blocks=21954902_0_3_0_0__73922&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Avignon,Hotel Cristol,$798,Scored 6.4,"2,256 reviews",https://www.booking.com/hotel/fr/cristol-avignon-sud.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAExuAEHyAEP2AEB6AEB-AECiAIBqAIDuAKu8eyzBsACAdICJGQ3YmU4MzBhLWY2NGUtNDgxOC04MWIwLTY2MjMyYTcxZTk0MNgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-28&dest_id=-1409631&dest_type=city&group_adults=3&req_adults=3&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=price&nflt=class%3D3%3Bclass%3D4%3Bclass%3D5%3Bht_id%3D204&srpvid=6d24982dc4b80330&srepoch=1719351524&all_sr_blocks=18058107_333972203_3_1_0&highlighted_blocks=18058107_333972203_3_1_0&matching_block_id=18058107_333972203_3_1_0&sr_pri_blocks=18058107_333972203_3_1_0__74336&from=searchresults#hotelTmpl
Avignon,Appart'Hotel Festival Sud Aqua - Avignon TGV,"$1,034",Scored 7.3,853 reviews,https://www.booking.com/hotel/fr/court-inn-aqua.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAExuAEHyAEP2AEB6AEB-AECiAIBqAIDuAKu8eyzBsACAdICJGQ3YmU4MzBhLWY2NGUtNDgxOC04MWIwLTY2MjMyYTcxZTk0MNgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-28&dest_id=-1409631&dest_type=city&group_adults=3&req_adults=3&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=price&nflt=class%3D3%3Bclass%3D4%3Bclass%3D5%3Bht_id%3D204&srpvid=6d24982dc4b80330&srepoch=1719351524&all_sr_blocks=4275614_88560041_0_2_0&highlighted_blocks=4275614_88560041_0_2_0&matching_block_id=4275614_88560041_0_2_0&sr_pri_blocks=4275614_88560041_0_2_0__96400&from=searchresults#hotelTmpl
Avignon,Hôtel Paradou Avignon Sud,"$1,048",Scored 7.6,"3,733 reviews",https://www.booking.com/hotel/fr/paradouavignon.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAExuAEHyAEP2AEB6AEB-AECiAIBqAIDuAKu8eyzBsACAdICJGQ3YmU4MzBhLWY2NGUtNDgxOC04MWIwLTY2MjMyYTcxZTk0MNgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-28&dest_id=-1409631&dest_type=city&group_adults=3&req_adults=3&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=price&nflt=class%3D3%3Bclass%3D4%3Bclass%3D5%3Bht_id%3D204&srpvid=6d24982dc4b80330&srepoch=1719351524&all_sr_blocks=5110532_91458038_0_34_0&highlighted_blocks=5110532_91458038_0_34_0&matching_block_id=5110532_91458038_0_34_0&sr_pri_blocks=5110532_91458038_0_34_0__97700&from=searchresults#hotelTmpl
Avignon,ApartHotel Sainte-Marthe,"$1,298",Scored 7.8,"5,524 reviews",https://www.booking.com/hotel/fr/ra-c-sidence-sainte-marthe.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAExuAEHyAEP2AEB6AEB-AECiAIBqAIDuAKu8eyzBsACAdICJGQ3YmU4MzBhLWY2NGUtNDgxOC04MWIwLTY2MjMyYTcxZTk0MNgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-28&dest_id=-1409631&dest_type=city&group_adults=3&req_adults=3&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=price&nflt=class%3D3%3Bclass%3D4%3Bclass%3D5%3Bht_id%3D204&srpvid=6d24982dc4b80330&srepoch=1719351524&all_sr_blocks=63496115_88934507_0_2_0%2C63496115_88934507_0_2_0&highlighted_blocks=63496115_88934507_0_2_0%2C63496115_88934507_0_2_0&matching_block_id=63496115_88934507_0_2_0&sr_pri_blocks=63496115_88934507_0_2_0__60500%2C63496115_88934507_0_2_0__60500&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Avignon,Aparthotel Adagio Access Avignon,"$1,398",Scored 7.5,"2,505 reviews",https://www.booking.com/hotel/fr/citea-avignon.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAExuAEHyAEP2AEB6AEB-AECiAIBqAIDuAKu8eyzBsACAdICJGQ3YmU4MzBhLWY2NGUtNDgxOC04MWIwLTY2MjMyYTcxZTk0MNgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-28&dest_id=-1409631&dest_type=city&group_adults=3&req_adults=3&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=price&nflt=class%3D3%3Bclass%3D4%3Bclass%3D5%3Bht_id%3D204&srpvid=6d24982dc4b80330&srepoch=1719351524&all_sr_blocks=5860702_94277910_2_2_0%2C5860702_94277910_2_2_0&highlighted_blocks=5860702_94277910_2_2_0%2C5860702_94277910_2_2_0&matching_block_id=5860702_94277910_2_2_0&sr_pri_blocks=5860702_94277910_2_2_0__65140%2C5860702_94277910_2_2_0__65140&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Avignon,Avignon Grand Hotel,"$1,476",Scored 8.2,"3,543 reviews",https://www.booking.com/hotel/fr/avignongrandhotel.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAExuAEHyAEP2AEB6AEB-AECiAIBqAIDuAKu8eyzBsACAdICJGQ3YmU4MzBhLWY2NGUtNDgxOC04MWIwLTY2MjMyYTcxZTk0MNgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-28&dest_id=-1409631&dest_type=city&group_adults=3&req_adults=3&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=price&nflt=class%3D3%3Bclass%3D4%3Bclass%3D5%3Bht_id%3D204&srpvid=6d24982dc4b80330&srepoch=1719351524&all_sr_blocks=5109517_88560044_3_2_0&highlighted_blocks=5109517_88560044_3_2_0&matching_block_id=5109517_88560044_3_2_0&sr_pri_blocks=5109517_88560044_3_2_0__137600&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Avignon,Brit Hotel Avignon Sud Le Calendal,"$1,614",Scored 7.3,604 reviews,https://www.booking.com/hotel/fr/brit-hotel-avignon-sud-le-calendal.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAExuAEHyAEP2AEB6AEB-AECiAIBqAIDuAKu8eyzBsACAdICJGQ3YmU4MzBhLWY2NGUtNDgxOC04MWIwLTY2MjMyYTcxZTk0MNgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-28&dest_id=-1409631&dest_type=city&group_adults=3&req_adults=3&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=price&nflt=class%3D3%3Bclass%3D4%3Bclass%3D5%3Bht_id%3D204&srpvid=6d24982dc4b80330&srepoch=1719351524&all_sr_blocks=17232318_88560063_2_34_0%2C17232302_88560063_2_34_0&highlighted_blocks=17232318_88560063_2_34_0%2C17232302_88560063_2_34_0&matching_block_id=17232318_88560063_2_34_0&sr_pri_blocks=17232318_88560063_2_34_0__74368%2C17232302_88560063_2_34_0__76090&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Avignon,COWOOL AVIGNON,"$1,636",Scored 8.5,151 reviews,https://www.booking.com/hotel/fr/cowool-avignon.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAExuAEHyAEP2AEB6AEB-AECiAIBqAIDuAKu8eyzBsACAdICJGQ3YmU4MzBhLWY2NGUtNDgxOC04MWIwLTY2MjMyYTcxZTk0MNgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-28&dest_id=-1409631&dest_type=city&group_adults=3&req_adults=3&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=price&nflt=class%3D3%3Bclass%3D4%3Bclass%3D5%3Bht_id%3D204&srpvid=6d24982dc4b80330&srepoch=1719351524&all_sr_blocks=759318401_369673124_0_0_0%2C759318401_369673124_0_0_0&highlighted_blocks=759318401_369673124_0_0_0%2C759318401_369673124_0_0_0&matching_block_id=759318401_369673124_0_0_0&sr_pri_blocks=759318401_369673124_0_0_0__76230%2C759318401_369673124_0_0_0__76230&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Avignon,Hôtel de l'Horloge,"$1,860",Scored 8.2,"1,403 reviews",https://www.booking.com/hotel/fr/de-l-horloge.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAExuAEHyAEP2AEB6AEB-AECiAIBqAIDuAKu8eyzBsACAdICJGQ3YmU4MzBhLWY2NGUtNDgxOC04MWIwLTY2MjMyYTcxZTk0MNgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-28&dest_id=-1409631&dest_type=city&group_adults=3&req_adults=3&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=price&nflt=class%3D3%3Bclass%3D4%3Bclass%3D5%3Bht_id%3D204&srpvid=6d24982dc4b80330&srepoch=1719351524&all_sr_blocks=5405715_88560050_3_2_0&highlighted_blocks=5405715_88560050_3_2_0&matching_block_id=5405715_88560050_3_2_0&sr_pri_blocks=5405715_88560050_3_2_0__173350&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Avignon,Le Gîte du Festival Sud Aqua - Avignon TGV,"$1,861",Scored 7.1,7 reviews,https://www.booking.com/hotel/fr/le-gite-du-festival-sud-aqua-avignon-tgv.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAExuAEHyAEP2AEB6AEB-AECiAIBqAIDuAKu8eyzBsACAdICJGQ3YmU4MzBhLWY2NGUtNDgxOC04MWIwLTY2MjMyYTcxZTk0MNgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-28&dest_id=-1409631&dest_type=city&group_adults=3&req_adults=3&no_rooms=1&group_children=0&req_children=0&hpos=11&hapos=11&sr_order=price&nflt=class%3D3%3Bclass%3D4%3Bclass%3D5%3Bht_id%3D204&srpvid=6d24982dc4b80330&srepoch=1719351524&all_sr_blocks=953206003_369597345_0_2_0%2C953206005_369597345_0_2_0&highlighted_blocks=953206003_369597345_0_2_0%2C953206005_369597345_0_2_0&matching_block_id=953206003_369597345_0_2_0&sr_pri_blocks=953206003_369597345_0_2_0__90800%2C953206005_369597345_0_2_0__82600&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Avignon,Appart'Hotel Festival Sud Suites - Avignon TGV,"$1,955",Scored 6.9,61 reviews,https://www.booking.com/hotel/fr/courtinnsuites.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAExuAEHyAEP2AEB6AEB-AECiAIBqAIDuAKu8eyzBsACAdICJGQ3YmU4MzBhLWY2NGUtNDgxOC04MWIwLTY2MjMyYTcxZTk0MNgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-28&dest_id=-1409631&dest_type=city&group_adults=3&req_adults=3&no_rooms=1&group_children=0&req_children=0&hpos=12&hapos=12&sr_order=price&nflt=class%3D3%3Bclass%3D4%3Bclass%3D5%3Bht_id%3D204&srpvid=6d24982dc4b80330&srepoch=1719351524&all_sr_blocks=5316725_88560056_0_2_0%2C5316702_88560056_0_2_0&highlighted_blocks=5316725_88560056_0_2_0%2C5316702_88560056_0_2_0&matching_block_id=5316725_88560056_0_2_0&sr_pri_blocks=5316725_88560056_0_2_0__87800%2C5316702_88560056_0_2_0__94400&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
