city,name,hotel_prices,rating,number of review,hotel_link
Bayeux,Novotel Bayeux,"$1,432",Scored 7.7,668 reviews,https://www.booking.com/hotel/fr/novotel.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAExuAEHyAEP2AEB6AEB-AECiAIBqAIDuALo4OyzBsACAdICJGUyNjRiODU5LWJlZDEtNDJhZi1hMTQ0LTBiNTBiNmE5Yjc4ZdgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-28&dest_id=-1410836&dest_type=city&group_adults=3&req_adults=3&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=price&nflt=class%3D4%3Bclass%3D3%3Bclass%3D5%3Bht_id%3D204&srpvid=32c9940b5dbd01e8&srepoch=1719349410&all_sr_blocks=5369513_94272789_3_2_0&highlighted_blocks=5369513_94272789_3_2_0&matching_block_id=5369513_94272789_3_2_0&sr_pri_blocks=5369513_94272789_3_2_0__133472&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Bayeux,Churchill Hotel Bayeux Centre,"$2,711",Scored 8.1,986 reviews,https://www.booking.com/hotel/fr/churchill-bayeux.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAExuAEHyAEP2AEB6AEB-AECiAIBqAIDuALo4OyzBsACAdICJGUyNjRiODU5LWJlZDEtNDJhZi1hMTQ0LTBiNTBiNmE5Yjc4ZdgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-28&dest_id=-1410836&dest_type=city&group_adults=3&req_adults=3&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=price&nflt=class%3D4%3Bclass%3D3%3Bclass%3D5%3Bht_id%3D204&srpvid=32c9940b5dbd01e8&srepoch=1719349410&all_sr_blocks=7958601_88919554_0_2_0%2C7958610_88919554_0_2_0&highlighted_blocks=7958601_88919554_0_2_0%2C7958610_88919554_0_2_0&matching_block_id=7958601_88919554_0_2_0&sr_pri_blocks=7958601_88919554_0_2_0__120500%2C7958610_88919554_0_2_0__132200&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Bayeux,Hôtel De Brunville &amp; Spa,"$2,961",Scored 8.1,"1,774 reviews",https://www.booking.com/hotel/fr/hoteldebrunville.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAExuAEHyAEP2AEB6AEB-AECiAIBqAIDuALo4OyzBsACAdICJGUyNjRiODU5LWJlZDEtNDJhZi1hMTQ0LTBiNTBiNmE5Yjc4ZdgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-28&dest_id=-1410836&dest_type=city&group_adults=3&req_adults=3&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=price&nflt=class%3D4%3Bclass%3D3%3Bclass%3D5%3Bht_id%3D204&srpvid=32c9940b5dbd01e8&srepoch=1719349410&all_sr_blocks=14716_129566086_0_2_0%2C14716_129566086_0_2_0&highlighted_blocks=14716_129566086_0_2_0%2C14716_129566086_0_2_0&matching_block_id=14716_129566086_0_2_0&sr_pri_blocks=14716_129566086_0_2_0__137970%2C14716_129566086_0_2_0__137970&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Bayeux,Grand Hôtel du Luxembourg &amp; Spa,"$3,334",Scored 7.9,697 reviews,https://www.booking.com/hotel/fr/hotelduluxembourg.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAExuAEHyAEP2AEB6AEB-AECiAIBqAIDuALo4OyzBsACAdICJGUyNjRiODU5LWJlZDEtNDJhZi1hMTQ0LTBiNTBiNmE5Yjc4ZdgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-28&dest_id=-1410836&dest_type=city&group_adults=3&req_adults=3&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=price&nflt=class%3D4%3Bclass%3D3%3Bclass%3D5%3Bht_id%3D204&srpvid=32c9940b5dbd01e8&srepoch=1719349410&all_sr_blocks=20289910_88985274_0_2_0%2C20289904_88985274_0_2_0&highlighted_blocks=20289910_88985274_0_2_0%2C20289904_88985274_0_2_0&matching_block_id=20289910_88985274_0_2_0&sr_pri_blocks=20289910_88985274_0_2_0__151590%2C20289904_88985274_0_2_0__159083&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Bayeux,Hotel Le Lion D'Or et Restaurant La Table Du Lion,"$3,809",Scored 8.8,"1,166 reviews",https://www.booking.com/hotel/fr/le-lion-d-or-bayeux.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAExuAEHyAEP2AEB6AEB-AECiAIBqAIDuALo4OyzBsACAdICJGUyNjRiODU5LWJlZDEtNDJhZi1hMTQ0LTBiNTBiNmE5Yjc4ZdgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-28&dest_id=-1410836&dest_type=city&group_adults=3&req_adults=3&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=price&nflt=class%3D4%3Bclass%3D3%3Bclass%3D5%3Bht_id%3D204&srpvid=32c9940b5dbd01e8&srepoch=1719349410&all_sr_blocks=7694202_201839794_0_2_0%2C7694209_201839794_0_2_0&highlighted_blocks=7694202_201839794_0_2_0%2C7694209_201839794_0_2_0&matching_block_id=7694202_201839794_0_2_0&sr_pri_blocks=7694202_201839794_0_2_0__173400%2C7694209_201839794_0_2_0__181600&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Bayeux,Villa Lara Hotel,"$18,370",Scored 9.6,172 reviews,https://www.booking.com/hotel/fr/villa-lara-ha-tel.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAExuAEHyAEP2AEB6AEB-AECiAIBqAIDuALo4OyzBsACAdICJGUyNjRiODU5LWJlZDEtNDJhZi1hMTQ0LTBiNTBiNmE5Yjc4ZdgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-28&dest_id=-1410836&dest_type=city&group_adults=3&req_adults=3&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=price&nflt=class%3D4%3Bclass%3D3%3Bclass%3D5%3Bht_id%3D204&srpvid=32c9940b5dbd01e8&srepoch=1719349410&all_sr_blocks=32301106_221168195_0_2_0&highlighted_blocks=32301106_221168195_0_2_0&matching_block_id=32301106_221168195_0_2_0&sr_pri_blocks=32301106_221168195_0_2_0__1712000&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Bayeux,Résidence Pierre &amp; Vacances Green Beach,"$1,394",Scored 7.8,929 reviews,https://www.booking.com/hotel/fr/residence-pierre-vacances-omaha-beach.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAExuAEHyAEP2AEB6AEB-AECiAIBqAIDuALo4OyzBsACAdICJGUyNjRiODU5LWJlZDEtNDJhZi1hMTQ0LTBiNTBiNmE5Yjc4ZdgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-28&dest_id=-1410836&dest_type=city&group_adults=3&req_adults=3&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=price&nflt=class%3D4%3Bclass%3D3%3Bclass%3D5%3Bht_id%3D204&srpvid=32c9940b5dbd01e8&srepoch=1719349411&all_sr_blocks=2545403_258598860_5_0_0&highlighted_blocks=2545403_258598860_5_0_0&matching_block_id=2545403_258598860_5_0_0&sr_pri_blocks=2545403_258598860_5_0_0__129960&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Bayeux,Hôtel L'ideal le Mountbatten,"$1,554",Scored 8.4,405 reviews,https://www.booking.com/hotel/fr/ha-tel-le-mountbatten.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAExuAEHyAEP2AEB6AEB-AECiAIBqAIDuALo4OyzBsACAdICJGUyNjRiODU5LWJlZDEtNDJhZi1hMTQ0LTBiNTBiNmE5Yjc4ZdgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-28&dest_id=-1410836&dest_type=city&group_adults=3&req_adults=3&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=price&nflt=class%3D4%3Bclass%3D3%3Bclass%3D5%3Bht_id%3D204&srpvid=32c9940b5dbd01e8&srepoch=1719349411&all_sr_blocks=37636407_375598857_0_2_0&highlighted_blocks=37636407_375598857_0_2_0&matching_block_id=37636407_375598857_0_2_0&sr_pri_blocks=37636407_375598857_0_2_0__144800&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Bayeux,Mercure Bayeux Omaha Beach,"$1,803",Scored 8.0,709 reviews,https://www.booking.com/hotel/fr/omaha-beach.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAExuAEHyAEP2AEB6AEB-AECiAIBqAIDuALo4OyzBsACAdICJGUyNjRiODU5LWJlZDEtNDJhZi1hMTQ0LTBiNTBiNmE5Yjc4ZdgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-28&dest_id=-1410836&dest_type=city&group_adults=3&req_adults=3&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=price&nflt=class%3D4%3Bclass%3D3%3Bclass%3D5%3Bht_id%3D204&srpvid=32c9940b5dbd01e8&srepoch=1719349411&all_sr_blocks=5706607_94275145_3_34_0&highlighted_blocks=5706607_94275145_3_34_0&matching_block_id=5706607_94275145_3_34_0&sr_pri_blocks=5706607_94275145_3_34_0__167990&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Bayeux,ibis Bayeux Port En Bessin,"$2,567",Scored 8.3,"1,225 reviews",https://www.booking.com/hotel/fr/ibis-bayeux-port-en-bessin.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAExuAEHyAEP2AEB6AEB-AECiAIBqAIDuALo4OyzBsACAdICJGUyNjRiODU5LWJlZDEtNDJhZi1hMTQ0LTBiNTBiNmE5Yjc4ZdgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-28&dest_id=-1410836&dest_type=city&group_adults=3&req_adults=3&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=price&nflt=class%3D4%3Bclass%3D3%3Bclass%3D5%3Bht_id%3D204&srpvid=32c9940b5dbd01e8&srepoch=1719349411&all_sr_blocks=23534806_376292072_2_2_0%2C23534806_376292072_2_2_0&highlighted_blocks=23534806_376292072_2_2_0%2C23534806_376292072_2_2_0&matching_block_id=23534806_376292072_2_2_0&sr_pri_blocks=23534806_376292072_2_2_0__119600%2C23534806_376292072_2_2_0__119600&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
