city,name,hotel_prices,rating,number of review,hotel_link
Besançon,Zenitude Hôtel-Résidences Les Hauts Du Chazal,$639,Scored 7.9,"1,549 reviews",https://www.booking.com/hotel/fr/residence-hauts-du-chazal.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAExuAEHyAEP2AEB6AEB-AECiAIBqAIDuAKW6OyzBsACAdICJDZjNDc1OGI0LTdjZWUtNGRhNy1hYWU5LWE1OTgzM2U2NjU0NdgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-28&dest_id=-1412198&dest_type=city&group_adults=3&req_adults=3&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=price&nflt=class%3D3%3Bclass%3D4%3Bht_id%3D204&srpvid=2d7695fa9c400144&srepoch=1719350393&all_sr_blocks=27394706_88985743_0_2_0&highlighted_blocks=27394706_88985743_0_2_0&matching_block_id=27394706_88985743_0_2_0&sr_pri_blocks=27394706_88985743_0_2_0__59574&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Besançon,ibis Besançon Centre la City,$643,Scored 7.7,"3,225 reviews",https://www.booking.com/hotel/fr/ibis-besancon-la-city.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAExuAEHyAEP2AEB6AEB-AECiAIBqAIDuAKW6OyzBsACAdICJDZjNDc1OGI0LTdjZWUtNGRhNy1hYWU5LWE1OTgzM2U2NjU0NdgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-28&dest_id=-1412198&dest_type=city&group_adults=3&req_adults=3&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=price&nflt=class%3D3%3Bclass%3D4%3Bht_id%3D204&srpvid=2d7695fa9c400144&srepoch=1719350393&all_sr_blocks=54375306_94489139_3_42_0&highlighted_blocks=54375306_94489139_3_42_0&matching_block_id=54375306_94489139_3_42_0&sr_pri_blocks=54375306_94489139_3_42_0__59945&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Besançon,Comfort Aparthotel Besancon La City,$828,Scored 7.8,989 reviews,https://www.booking.com/hotel/fr/citea-besancon.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAExuAEHyAEP2AEB6AEB-AECiAIBqAIDuAKW6OyzBsACAdICJDZjNDc1OGI0LTdjZWUtNGRhNy1hYWU5LWE1OTgzM2U2NjU0NdgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-28&dest_id=-1412198&dest_type=city&group_adults=3&req_adults=3&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=price&nflt=class%3D3%3Bclass%3D4%3Bht_id%3D204&srpvid=2d7695fa9c400144&srepoch=1719350393&all_sr_blocks=5339232_91902714_4_2_0&highlighted_blocks=5339232_91902714_4_2_0&matching_block_id=5339232_91902714_4_2_0&sr_pri_blocks=5339232_91902714_4_2_0__77180&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Besançon,All Suites Besançon,$869,Scored 7.8,"2,330 reviews",https://www.booking.com/hotel/fr/all-suites-besancon.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAExuAEHyAEP2AEB6AEB-AECiAIBqAIDuAKW6OyzBsACAdICJDZjNDc1OGI0LTdjZWUtNGRhNy1hYWU5LWE1OTgzM2U2NjU0NdgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-28&dest_id=-1412198&dest_type=city&group_adults=3&req_adults=3&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=price&nflt=class%3D3%3Bclass%3D4%3Bht_id%3D204&srpvid=2d7695fa9c400144&srepoch=1719350393&all_sr_blocks=27253103_127376179_0_0_0&highlighted_blocks=27253103_127376179_0_0_0&matching_block_id=27253103_127376179_0_0_0&sr_pri_blocks=27253103_127376179_0_0_0__81000&from=searchresults#hotelTmpl
Besançon,ibis Styles Besançon,$986,Scored 7.9,"6,673 reviews",https://www.booking.com/hotel/fr/besancon.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAExuAEHyAEP2AEB6AEB-AECiAIBqAIDuAKW6OyzBsACAdICJDZjNDc1OGI0LTdjZWUtNGRhNy1hYWU5LWE1OTgzM2U2NjU0NdgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-28&dest_id=-1412198&dest_type=city&group_adults=3&req_adults=3&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=price&nflt=class%3D3%3Bclass%3D4%3Bht_id%3D204&srpvid=2d7695fa9c400144&srepoch=1719350393&all_sr_blocks=5726219_94276162_3_33_0&highlighted_blocks=5726219_94276162_3_33_0&matching_block_id=5726219_94276162_3_33_0&sr_pri_blocks=5726219_94276162_3_33_0__91867&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Besançon,Hotel Campanile Besançon Nord Ecole Valentin,$999,Scored 7.2,"1,426 reviews",https://www.booking.com/hotel/fr/campanile-besancon-ecole-valentin.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAExuAEHyAEP2AEB6AEB-AECiAIBqAIDuAKW6OyzBsACAdICJDZjNDc1OGI0LTdjZWUtNGRhNy1hYWU5LWE1OTgzM2U2NjU0NdgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-28&dest_id=-1412198&dest_type=city&group_adults=3&req_adults=3&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=price&nflt=class%3D3%3Bclass%3D4%3Bht_id%3D204&srpvid=2d7695fa9c400144&srepoch=1719350393&all_sr_blocks=21990404_393828063_2_42_0%2C21990404_393828063_2_42_0&highlighted_blocks=21990404_393828063_2_42_0%2C21990404_393828063_2_42_0&matching_block_id=21990404_393828063_2_42_0&sr_pri_blocks=21990404_393828063_2_42_0__46560%2C21990404_393828063_2_42_0__46560&from=searchresults#hotelTmpl
Besançon,Campanile Besançon-Ouest Châteaufarine,"$1,017",Scored 6.7,885 reviews,https://www.booking.com/hotel/fr/campanile-besancon-ouest-chateaufarine.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAExuAEHyAEP2AEB6AEB-AECiAIBqAIDuAKW6OyzBsACAdICJDZjNDc1OGI0LTdjZWUtNGRhNy1hYWU5LWE1OTgzM2U2NjU0NdgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-28&dest_id=-1412198&dest_type=city&group_adults=3&req_adults=3&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=price&nflt=class%3D3%3Bclass%3D4%3Bht_id%3D204&srpvid=2d7695fa9c400144&srepoch=1719350393&all_sr_blocks=21945403_393828238_2_2_0%2C21945403_393828238_2_2_0&highlighted_blocks=21945403_393828238_2_2_0%2C21945403_393828238_2_2_0&matching_block_id=21945403_393828238_2_2_0&sr_pri_blocks=21945403_393828238_2_2_0__47400%2C21945403_393828238_2_2_0__47400&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Besançon,Contact Hôtel Foch,"$1,159",Scored 7.3,527 reviews,https://www.booking.com/hotel/fr/foch-besancon.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAExuAEHyAEP2AEB6AEB-AECiAIBqAIDuAKW6OyzBsACAdICJDZjNDc1OGI0LTdjZWUtNGRhNy1hYWU5LWE1OTgzM2U2NjU0NdgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-28&dest_id=-1412198&dest_type=city&group_adults=3&req_adults=3&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=price&nflt=class%3D3%3Bclass%3D4%3Bht_id%3D204&srpvid=2d7695fa9c400144&srepoch=1719350393&all_sr_blocks=2429503_363846831_2_2_0%2C2429503_363846831_2_2_0&highlighted_blocks=2429503_363846831_2_2_0%2C2429503_363846831_2_2_0&matching_block_id=2429503_363846831_2_2_0&sr_pri_blocks=2429503_363846831_2_2_0__54000%2C2429503_363846831_2_2_0__54000&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Besançon,Brit Hotel Besancon l'Horloge,"$1,188",Scored 7.6,688 reviews,https://www.booking.com/hotel/fr/kyriad-besancon-palente.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAExuAEHyAEP2AEB6AEB-AECiAIBqAIDuAKW6OyzBsACAdICJDZjNDc1OGI0LTdjZWUtNGRhNy1hYWU5LWE1OTgzM2U2NjU0NdgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-28&dest_id=-1412198&dest_type=city&group_adults=3&req_adults=3&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=price&nflt=class%3D3%3Bclass%3D4%3Bht_id%3D204&srpvid=2d7695fa9c400144&srepoch=1719350393&all_sr_blocks=17624008_102726069_2_2_0%2C17624008_102726069_2_2_0&highlighted_blocks=17624008_102726069_2_2_0%2C17624008_102726069_2_2_0&matching_block_id=17624008_102726069_2_2_0&sr_pri_blocks=17624008_102726069_2_2_0__55360%2C17624008_102726069_2_2_0__55360&from=searchresults#hotelTmpl
Besançon,ibis Besançon Centre Ville,"$1,325",Scored 8.3,"2,152 reviews",https://www.booking.com/hotel/fr/ibis-besancon-centre-ville.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAExuAEHyAEP2AEB6AEB-AECiAIBqAIDuAKW6OyzBsACAdICJDZjNDc1OGI0LTdjZWUtNGRhNy1hYWU5LWE1OTgzM2U2NjU0NdgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-28&dest_id=-1412198&dest_type=city&group_adults=3&req_adults=3&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=price&nflt=class%3D3%3Bclass%3D4%3Bht_id%3D204&srpvid=2d7695fa9c400144&srepoch=1719350393&all_sr_blocks=58142903_94495340_2_2_0%2C58142903_94495340_2_2_0&highlighted_blocks=58142903_94495340_2_2_0%2C58142903_94495340_2_2_0&matching_block_id=58142903_94495340_2_2_0&sr_pri_blocks=58142903_94495340_2_2_0__61720%2C58142903_94495340_2_2_0__61720&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
