city,name,hotel_prices,rating,number of review,hotel_link
Biarritz,Résidence Pierre &amp; Vacances Premium Haguna,"$1,792",Scored 8.5,947 reviews,https://www.booking.com/hotel/fr/residence-pierre-vacances-haguna.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAExuAEHyAEP2AEB6AEB-AECiAIBqAIDuALs9-yzBsACAdICJGM2ODJkMmY4LTMxY2EtNGM1MC1iMGVlLTY5YjQ5Njg4YjQ1NdgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-28&dest_id=-1412526&dest_type=city&group_adults=3&req_adults=3&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=price&nflt=class%3D3%3Bclass%3D4%3Bclass%3D5%3Bht_id%3D204&srpvid=5d4099c5560f0065&srepoch=1719352334&all_sr_blocks=5361702_258598734_4_0_0&highlighted_blocks=5361702_258598734_4_0_0&matching_block_id=5361702_258598734_4_0_0&sr_pri_blocks=5361702_258598734_4_0_0__167045&from_sustainable_property_sr=1&from=searchresults
Biarritz,Sure Hotel by Best Western Biarritz Aeroport,"$1,830",Scored 7.8,"2,287 reviews",https://www.booking.com/hotel/fr/amaryshotel.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAExuAEHyAEP2AEB6AEB-AECiAIBqAIDuALs9-yzBsACAdICJGM2ODJkMmY4LTMxY2EtNGM1MC1iMGVlLTY5YjQ5Njg4YjQ1NdgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-28&dest_id=-1412526&dest_type=city&group_adults=3&req_adults=3&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=price&nflt=class%3D3%3Bclass%3D4%3Bclass%3D5%3Bht_id%3D204&srpvid=5d4099c5560f0065&srepoch=1719352334&all_sr_blocks=21735425_88559430_2_2_0%2C21735425_88559430_2_2_0&highlighted_blocks=21735425_88559430_2_2_0%2C21735425_88559430_2_2_0&matching_block_id=21735425_88559430_2_2_0&sr_pri_blocks=21735425_88559430_2_2_0__85274%2C21735425_88559430_2_2_0__85274&from_sustainable_property_sr=1&from=searchresults
Biarritz,Campanile Biarritz,"$1,942",Scored 6.8,"2,413 reviews",https://www.booking.com/hotel/fr/campanile-biarritz.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAExuAEHyAEP2AEB6AEB-AECiAIBqAIDuALs9-yzBsACAdICJGM2ODJkMmY4LTMxY2EtNGM1MC1iMGVlLTY5YjQ5Njg4YjQ1NdgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-28&dest_id=-1412526&dest_type=city&group_adults=3&req_adults=3&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=price&nflt=class%3D3%3Bclass%3D4%3Bclass%3D5%3Bht_id%3D204&srpvid=5d4099c5560f0065&srepoch=1719352334&all_sr_blocks=5329406_393827677_2_42_0%2C5329406_393827677_2_42_0&highlighted_blocks=5329406_393827677_2_42_0%2C5329406_393827677_2_42_0&matching_block_id=5329406_393827677_2_42_0&sr_pri_blocks=5329406_393827677_2_42_0__90500%2C5329406_393827677_2_42_0__90500&from_sustainable_property_sr=1&from=searchresults
Biarritz,Hôtel Maïtagaria,"$2,172",Scored 8.4,523 reviews,https://www.booking.com/hotel/fr/maitagaria.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAExuAEHyAEP2AEB6AEB-AECiAIBqAIDuALs9-yzBsACAdICJGM2ODJkMmY4LTMxY2EtNGM1MC1iMGVlLTY5YjQ5Njg4YjQ1NdgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-28&dest_id=-1412526&dest_type=city&group_adults=3&req_adults=3&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=price&nflt=class%3D3%3Bclass%3D4%3Bclass%3D5%3Bht_id%3D204&srpvid=5d4099c5560f0065&srepoch=1719352334&all_sr_blocks=28743303_99007860_0_2_0&highlighted_blocks=28743303_99007860_0_2_0&matching_block_id=28743303_99007860_0_2_0&sr_pri_blocks=28743303_99007860_0_2_0__202400&from_sustainable_property_sr=1&from=searchresults
Biarritz,Hôtel Oxo,"$2,198",Scored 7.7,773 reviews,https://www.booking.com/hotel/fr/christina.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAExuAEHyAEP2AEB6AEB-AECiAIBqAIDuALs9-yzBsACAdICJGM2ODJkMmY4LTMxY2EtNGM1MC1iMGVlLTY5YjQ5Njg4YjQ1NdgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-28&dest_id=-1412526&dest_type=city&group_adults=3&req_adults=3&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=price&nflt=class%3D3%3Bclass%3D4%3Bclass%3D5%3Bht_id%3D204&srpvid=5d4099c5560f0065&srepoch=1719352334&all_sr_blocks=5424612_330479769_3_0_0&highlighted_blocks=5424612_330479769_3_0_0&matching_block_id=5424612_330479769_3_0_0&sr_pri_blocks=5424612_330479769_3_0_0__204815&from=searchresults
Biarritz,Hotel Barnetche,"$2,430",Scored 8.1,218 reviews,https://www.booking.com/hotel/fr/barnetche.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAExuAEHyAEP2AEB6AEB-AECiAIBqAIDuALs9-yzBsACAdICJGM2ODJkMmY4LTMxY2EtNGM1MC1iMGVlLTY5YjQ5Njg4YjQ1NdgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-28&dest_id=-1412526&dest_type=city&group_adults=3&req_adults=3&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=price&nflt=class%3D3%3Bclass%3D4%3Bclass%3D5%3Bht_id%3D204&srpvid=5d4099c5560f0065&srepoch=1719352334&all_sr_blocks=40604107_321573016_0_0_0&highlighted_blocks=40604107_321573016_0_0_0&matching_block_id=40604107_321573016_0_0_0&sr_pri_blocks=40604107_321573016_0_0_0__226500&from_sustainable_property_sr=1&from=searchresults
Biarritz,Nemea Appart Hotel Les Hauts de Milady Biarritz,"$2,445",Scored 7.6,"2,537 reviews",https://www.booking.com/hotel/fr/nemea-appart-les-hauts-de-milady.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAExuAEHyAEP2AEB6AEB-AECiAIBqAIDuALs9-yzBsACAdICJGM2ODJkMmY4LTMxY2EtNGM1MC1iMGVlLTY5YjQ5Njg4YjQ1NdgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-28&dest_id=-1412526&dest_type=city&group_adults=3&req_adults=3&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=price&nflt=class%3D3%3Bclass%3D4%3Bclass%3D5%3Bht_id%3D204&srpvid=5d4099c5560f0065&srepoch=1719352334&all_sr_blocks=0_0_3_0_0&highlighted_blocks=0_0_3_0_0&matching_block_id=0_0_3_0_0&sr_pri_blocks=0_0_3_0_0__227900&from=searchresults
Biarritz,Radisson Blu Hotel Biarritz,"$2,589",Scored 7.7,"2,130 reviews",https://www.booking.com/hotel/fr/radisson-blu-hotel-biarritz.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAExuAEHyAEP2AEB6AEB-AECiAIBqAIDuALs9-yzBsACAdICJGM2ODJkMmY4LTMxY2EtNGM1MC1iMGVlLTY5YjQ5Njg4YjQ1NdgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-28&dest_id=-1412526&dest_type=city&group_adults=3&req_adults=3&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=price&nflt=class%3D3%3Bclass%3D4%3Bclass%3D5%3Bht_id%3D204&srpvid=5d4099c5560f0065&srepoch=1719352334&all_sr_blocks=22254717_93715893_3_42_0&highlighted_blocks=22254717_93715893_3_42_0&matching_block_id=22254717_93715893_3_42_0&sr_pri_blocks=22254717_93715893_3_42_0__241270&from=searchresults
Biarritz,Hôtel Florida,"$2,768",Scored 7.3,"1,281 reviews",https://www.booking.com/hotel/fr/eugenie-biarritz.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAExuAEHyAEP2AEB6AEB-AECiAIBqAIDuALs9-yzBsACAdICJGM2ODJkMmY4LTMxY2EtNGM1MC1iMGVlLTY5YjQ5Njg4YjQ1NdgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-28&dest_id=-1412526&dest_type=city&group_adults=3&req_adults=3&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=price&nflt=class%3D3%3Bclass%3D4%3Bclass%3D5%3Bht_id%3D204&srpvid=5d4099c5560f0065&srepoch=1719352334&all_sr_blocks=39621511_328537214_0_0_0&highlighted_blocks=39621511_328537214_0_0_0&matching_block_id=39621511_328537214_0_0_0&sr_pri_blocks=39621511_328537214_0_0_0__258000&from_sustainable_property_sr=1&from=searchresults
Biarritz,Hôtel Mirano,"$2,916",Scored 8.7,236 reviews,https://www.booking.com/hotel/fr/mirano.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAExuAEHyAEP2AEB6AEB-AECiAIBqAIDuALs9-yzBsACAdICJGM2ODJkMmY4LTMxY2EtNGM1MC1iMGVlLTY5YjQ5Njg4YjQ1NdgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-28&dest_id=-1412526&dest_type=city&group_adults=3&req_adults=3&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=price&nflt=class%3D3%3Bclass%3D4%3Bclass%3D5%3Bht_id%3D204&srpvid=5d4099c5560f0065&srepoch=1719352334&all_sr_blocks=5864402_88559409_0_2_0&highlighted_blocks=5864402_88559409_0_2_0&matching_block_id=5864402_88559409_0_2_0&sr_pri_blocks=5864402_88559409_0_2_0__271800&from_sustainable_property_sr=1&from=searchresults
