city,name,hotel_prices,rating,number of review,hotel_link
Bormes-les-Mimosas,"Hotel Les Jardins de Bormes, sauna &amp; jacuzzi","$2,937",Scored 8.8,268 reviews,https://www.booking.com/hotel/fr/new-life.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAExuAEHyAEP2AEB6AEB-AECiAIBqAIDuAKb3uyzBsACAdICJGJjOTNjNzcyLTYwNzktNDJkMy1iMzRiLTY1MTU5OTkzNTQyMtgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-28&dest_id=-1413801&dest_type=city&group_adults=3&req_adults=3&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=price&nflt=class%3D3%3Bclass%3D4%3Bht_id%3D204&srpvid=4645936055c401b3&srepoch=1719349063&all_sr_blocks=68192404_96862625_3_1_0&highlighted_blocks=68192404_96862625_3_1_0&matching_block_id=68192404_96862625_3_1_0&sr_pri_blocks=68192404_96862625_3_1_0__273690&from_sustainable_property_sr=1&from=searchresults
Bormes-les-Mimosas,Hotel La Voile,"$3,164",Scored 8.9,151 reviews,https://www.booking.com/hotel/fr/hotel-la-voile-fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAExuAEHyAEP2AEB6AEB-AECiAIBqAIDuAKb3uyzBsACAdICJGJjOTNjNzcyLTYwNzktNDJkMy1iMzRiLTY1MTU5OTkzNTQyMtgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-28&dest_id=-1413801&dest_type=city&group_adults=3&req_adults=3&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=price&nflt=class%3D3%3Bclass%3D4%3Bht_id%3D204&srpvid=4645936055c401b3&srepoch=1719349063&all_sr_blocks=5822301_222562351_0_2_0%2C5822301_222562351_0_2_0&highlighted_blocks=5822301_222562351_0_2_0%2C5822301_222562351_0_2_0&matching_block_id=5822301_222562351_0_2_0&sr_pri_blocks=5822301_222562351_0_2_0__147440%2C5822301_222562351_0_2_0__147440&from_sustainable_property_sr=1&from=searchresults
Bormes-les-Mimosas,Eden Rose Grand Hotel BW Premier Collection,"$6,365",Scored 8.8,240 reviews,https://www.booking.com/hotel/fr/eden-rose-grand-bw-premier-collection.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAExuAEHyAEP2AEB6AEB-AECiAIBqAIDuAKb3uyzBsACAdICJGJjOTNjNzcyLTYwNzktNDJkMy1iMzRiLTY1MTU5OTkzNTQyMtgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-28&dest_id=-1413801&dest_type=city&group_adults=3&req_adults=3&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=price&nflt=class%3D3%3Bclass%3D4%3Bht_id%3D204&srpvid=4645936055c401b3&srepoch=1719349063&all_sr_blocks=67230606_309577089_2_42_0%2C67230609_309577089_2_42_0&highlighted_blocks=67230606_309577089_2_42_0%2C67230609_309577089_2_42_0&matching_block_id=67230606_309577089_2_42_0&sr_pri_blocks=67230606_309577089_2_42_0__296586%2C67230609_309577089_2_42_0__296586&from=searchresults
Bormes-les-Mimosas,Anglade Hotel,"$1,577",Scored 9.0,52 reviews,https://www.booking.com/hotel/fr/anglade.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAExuAEHyAEP2AEB6AEB-AECiAIBqAIDuAKb3uyzBsACAdICJGJjOTNjNzcyLTYwNzktNDJkMy1iMzRiLTY1MTU5OTkzNTQyMtgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-28&dest_id=-1413801&dest_type=city&group_adults=3&req_adults=3&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=price&nflt=class%3D3%3Bclass%3D4%3Bht_id%3D204&srpvid=4645936055c401b3&srepoch=1719349063&all_sr_blocks=40772103_88554840_3_2_0&highlighted_blocks=40772103_88554840_3_2_0&matching_block_id=40772103_88554840_3_2_0&sr_pri_blocks=40772103_88554840_3_2_0__147000&from_sustainable_property_sr=1&from=searchresults
Bormes-les-Mimosas,Hôtel La Petite Bohème,"$1,640",Scored 8.6,770 reviews,https://www.booking.com/hotel/fr/la-petite-boheme.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAExuAEHyAEP2AEB6AEB-AECiAIBqAIDuAKb3uyzBsACAdICJGJjOTNjNzcyLTYwNzktNDJkMy1iMzRiLTY1MTU5OTkzNTQyMtgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-28&dest_id=-1413801&dest_type=city&group_adults=3&req_adults=3&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=price&nflt=class%3D3%3Bclass%3D4%3Bht_id%3D204&srpvid=4645936055c401b3&srepoch=1719349063&all_sr_blocks=29150527_102062791_3_2_0&highlighted_blocks=29150527_102062791_3_2_0&matching_block_id=29150527_102062791_3_2_0&sr_pri_blocks=29150527_102062791_3_2_0__152800&from_sustainable_property_sr=1&from=searchresults
Bormes-les-Mimosas,La Résidence du Cap,"$1,717",Scored 7.7,232 reviews,https://www.booking.com/hotel/fr/ra-c-sidence-du-cap.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAExuAEHyAEP2AEB6AEB-AECiAIBqAIDuAKb3uyzBsACAdICJGJjOTNjNzcyLTYwNzktNDJkMy1iMzRiLTY1MTU5OTkzNTQyMtgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-28&dest_id=-1413801&dest_type=city&group_adults=3&req_adults=3&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=price&nflt=class%3D3%3Bclass%3D4%3Bht_id%3D204&srpvid=4645936055c401b3&srepoch=1719349063&all_sr_blocks=30795306_386541428_4_0_0&highlighted_blocks=30795306_386541428_4_0_0&matching_block_id=30795306_386541428_4_0_0&sr_pri_blocks=30795306_386541428_4_0_0__160000&from=searchresults
Bormes-les-Mimosas,Hotel L'Escapade,"$1,739",Scored 8.9,444 reviews,https://www.booking.com/hotel/fr/l-escapade.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAExuAEHyAEP2AEB6AEB-AECiAIBqAIDuAKb3uyzBsACAdICJGJjOTNjNzcyLTYwNzktNDJkMy1iMzRiLTY1MTU5OTkzNTQyMtgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-28&dest_id=-1413801&dest_type=city&group_adults=3&req_adults=3&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=price&nflt=class%3D3%3Bclass%3D4%3Bht_id%3D204&srpvid=4645936055c401b3&srepoch=1719349063&all_sr_blocks=2416915_382321773_3_2_0&highlighted_blocks=2416915_382321773_3_2_0&matching_block_id=2416915_382321773_3_2_0&sr_pri_blocks=2416915_382321773_3_2_0__162080&from_sustainable_property_sr=1&from=searchresults
Bormes-les-Mimosas,Résidence Pierre &amp; Vacances L’Anse De Pramousquier,"$1,792",Scored 8.3,236 reviews,https://www.booking.com/hotel/fr/residence-pierre-vacances-l-anse-de-pramousquier.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAExuAEHyAEP2AEB6AEB-AECiAIBqAIDuAKb3uyzBsACAdICJGJjOTNjNzcyLTYwNzktNDJkMy1iMzRiLTY1MTU5OTkzNTQyMtgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-28&dest_id=-1413801&dest_type=city&group_adults=3&req_adults=3&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=price&nflt=class%3D3%3Bclass%3D4%3Bht_id%3D204&srpvid=4645936055c401b3&srepoch=1719349063&all_sr_blocks=25066706_258598829_4_0_0&highlighted_blocks=25066706_258598829_4_0_0&matching_block_id=25066706_258598829_4_0_0&sr_pri_blocks=25066706_258598829_4_0_0__167004&from=searchresults
Bormes-les-Mimosas,Hôtel Restaurant Notre Dame,"$1,884",Scored 8.4,348 reviews,https://www.booking.com/hotel/fr/ha-tel-na-tre-dame.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAExuAEHyAEP2AEB6AEB-AECiAIBqAIDuAKb3uyzBsACAdICJGJjOTNjNzcyLTYwNzktNDJkMy1iMzRiLTY1MTU5OTkzNTQyMtgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-28&dest_id=-1413801&dest_type=city&group_adults=3&req_adults=3&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=price&nflt=class%3D3%3Bclass%3D4%3Bht_id%3D204&srpvid=4645936055c401b3&srepoch=1719349063&all_sr_blocks=42058608_88557431_2_34_0%2C42058610_88557431_0_34_0&highlighted_blocks=42058608_88557431_2_34_0%2C42058610_88557431_0_34_0&matching_block_id=42058608_88557431_2_34_0&sr_pri_blocks=42058608_88557431_2_34_0__83125%2C42058610_88557431_0_34_0__92500&from_sustainable_property_sr=1&from=searchresults
Bormes-les-Mimosas,Hôtel Beau Site,"$1,888",Scored 9.0,373 reviews,https://www.booking.com/hotel/fr/le-beau-site.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAExuAEHyAEP2AEB6AEB-AECiAIBqAIDuAKb3uyzBsACAdICJGJjOTNjNzcyLTYwNzktNDJkMy1iMzRiLTY1MTU5OTkzNTQyMtgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-28&dest_id=-1413801&dest_type=city&group_adults=3&req_adults=3&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=price&nflt=class%3D3%3Bclass%3D4%3Bht_id%3D204&srpvid=4645936055c401b3&srepoch=1719349063&all_sr_blocks=2430003_340055340_3_34_0&highlighted_blocks=2430003_340055340_3_34_0&matching_block_id=2430003_340055340_3_34_0&sr_pri_blocks=2430003_340055340_3_34_0__176000&from=searchresults
