city,name,hotel_prices,rating,number of review,hotel_link
Carcassonne,Cerise Carcassonne Sud,$790,Scored 7.7,"3,937 reviews",https://www.booking.com/hotel/fr/cerise-carcassonne-sud.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAExuAEHyAEP2AEB6AEB-AECiAIBqAIDuAKw9eyzBsACAdICJDA2YTA0NzY0LWUzYzgtNDRmMi04ZWFhLWU4OTE3OWMxZmQ1NdgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-28&dest_id=-1416701&dest_type=city&group_adults=3&req_adults=3&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=price&nflt=class%3D4%3Bclass%3D3%3Bclass%3D5%3Bht_id%3D204&srpvid=c92f9939286f0178&srepoch=1719352054&all_sr_blocks=50563504_88932323_0_34_0&highlighted_blocks=50563504_88932323_0_34_0&matching_block_id=50563504_88932323_0_34_0&sr_pri_blocks=50563504_88932323_0_34_0__73654&from=searchresults
Carcassonne,"The Originals City, Hôtel Pont Rouge (ex inter-hôtel), Carcassonne","$1,023",Scored 7.9,"1,398 reviews",https://www.booking.com/hotel/fr/balladins-carcassonne.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAExuAEHyAEP2AEB6AEB-AECiAIBqAIDuAKw9eyzBsACAdICJDA2YTA0NzY0LWUzYzgtNDRmMi04ZWFhLWU4OTE3OWMxZmQ1NdgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-28&dest_id=-1416701&dest_type=city&group_adults=3&req_adults=3&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=price&nflt=class%3D4%3Bclass%3D3%3Bclass%3D5%3Bht_id%3D204&srpvid=c92f9939286f0178&srepoch=1719352054&all_sr_blocks=29817406_368809843_4_34_0&highlighted_blocks=29817406_368809843_4_34_0&matching_block_id=29817406_368809843_4_34_0&sr_pri_blocks=29817406_368809843_4_34_0__95380&from_sustainable_property_sr=1&from=searchresults
Carcassonne,Kyriad Carcassonne - Aéroport,"$1,026",Scored 7.9,"2,290 reviews",https://www.booking.com/hotel/fr/kyriad-carcassonne-ouest-la-cita-c-xml.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAExuAEHyAEP2AEB6AEB-AECiAIBqAIDuAKw9eyzBsACAdICJDA2YTA0NzY0LWUzYzgtNDRmMi04ZWFhLWU4OTE3OWMxZmQ1NdgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-28&dest_id=-1416701&dest_type=city&group_adults=3&req_adults=3&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=price&nflt=class%3D4%3Bclass%3D3%3Bclass%3D5%3Bht_id%3D204&srpvid=c92f9939286f0178&srepoch=1719352054&all_sr_blocks=45429106_94469581_4_34_0&highlighted_blocks=45429106_94469581_4_34_0&matching_block_id=45429106_94469581_4_34_0&sr_pri_blocks=45429106_94469581_4_34_0__95580&from_sustainable_property_sr=1&from=searchresults
Carcassonne,Brit Hotel Bosquet Carcassonne Cité,"$1,100",Scored 8.0,"1,550 reviews",https://www.booking.com/hotel/fr/brit-bosquet-carcassonne.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAExuAEHyAEP2AEB6AEB-AECiAIBqAIDuAKw9eyzBsACAdICJDA2YTA0NzY0LWUzYzgtNDRmMi04ZWFhLWU4OTE3OWMxZmQ1NdgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-28&dest_id=-1416701&dest_type=city&group_adults=3&req_adults=3&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=price&nflt=class%3D4%3Bclass%3D3%3Bclass%3D5%3Bht_id%3D204&srpvid=c92f9939286f0178&srepoch=1719352054&all_sr_blocks=21963217_88558205_0_2_0&highlighted_blocks=21963217_88558205_0_2_0&matching_block_id=21963217_88558205_0_2_0&sr_pri_blocks=21963217_88558205_0_2_0__102500&from_sustainable_property_sr=1&from=searchresults
Carcassonne,Zenitude Hôtel-Résidences Carcassonne,"$1,293",Scored 7.6,"2,182 reviews",https://www.booking.com/hotel/fr/appart-city-cap-affaires-carcassonne.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAExuAEHyAEP2AEB6AEB-AECiAIBqAIDuAKw9eyzBsACAdICJDA2YTA0NzY0LWUzYzgtNDRmMi04ZWFhLWU4OTE3OWMxZmQ1NdgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-28&dest_id=-1416701&dest_type=city&group_adults=3&req_adults=3&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=price&nflt=class%3D4%3Bclass%3D3%3Bclass%3D5%3Bht_id%3D204&srpvid=c92f9939286f0178&srepoch=1719352054&all_sr_blocks=5998214_88919485_0_2_0%2C5998214_88919485_0_2_0&highlighted_blocks=5998214_88919485_0_2_0%2C5998214_88919485_0_2_0&matching_block_id=5998214_88919485_0_2_0&sr_pri_blocks=5998214_88919485_0_2_0__60264%2C5998214_88919485_0_2_0__60264&from_sustainable_property_sr=1&from=searchresults
Carcassonne,Campanile Carcassonne Est - La Cité,"$1,391",Scored 7.9,"1,364 reviews",https://www.booking.com/hotel/fr/campanile-carcassonne-est-la-cite.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAExuAEHyAEP2AEB6AEB-AECiAIBqAIDuAKw9eyzBsACAdICJDA2YTA0NzY0LWUzYzgtNDRmMi04ZWFhLWU4OTE3OWMxZmQ1NdgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-28&dest_id=-1416701&dest_type=city&group_adults=3&req_adults=3&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=price&nflt=class%3D4%3Bclass%3D3%3Bclass%3D5%3Bht_id%3D204&srpvid=c92f9939286f0178&srepoch=1719352054&all_sr_blocks=24137602_393827961_2_42_0%2C24137602_393827961_2_42_0&highlighted_blocks=24137602_393827961_2_42_0%2C24137602_393827961_2_42_0&matching_block_id=24137602_393827961_2_42_0&sr_pri_blocks=24137602_393827961_2_42_0__64800%2C24137602_393827961_2_42_0__64800&from_sustainable_property_sr=1&from=searchresults
Carcassonne,ibis Styles Carcassonne La Cité,"$1,594",Scored 8.5,"3,048 reviews",https://www.booking.com/hotel/fr/inter-les-oliviers.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAExuAEHyAEP2AEB6AEB-AECiAIBqAIDuAKw9eyzBsACAdICJDA2YTA0NzY0LWUzYzgtNDRmMi04ZWFhLWU4OTE3OWMxZmQ1NdgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-28&dest_id=-1416701&dest_type=city&group_adults=3&req_adults=3&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=price&nflt=class%3D4%3Bclass%3D3%3Bclass%3D5%3Bht_id%3D204&srpvid=c92f9939286f0178&srepoch=1719352054&all_sr_blocks=5518304_92136155_3_33_0&highlighted_blocks=5518304_92136155_3_33_0&matching_block_id=5518304_92136155_3_33_0&sr_pri_blocks=5518304_92136155_3_33_0__148599&from_sustainable_property_sr=1&from=searchresults
Carcassonne,ibis Carcassonne Centre - La Cité,"$1,669",Scored 7.1,"1,786 reviews",https://www.booking.com/hotel/fr/ibis-carcassonne-centre.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAExuAEHyAEP2AEB6AEB-AECiAIBqAIDuAKw9eyzBsACAdICJDA2YTA0NzY0LWUzYzgtNDRmMi04ZWFhLWU4OTE3OWMxZmQ1NdgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-28&dest_id=-1416701&dest_type=city&group_adults=3&req_adults=3&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=price&nflt=class%3D4%3Bclass%3D3%3Bclass%3D5%3Bht_id%3D204&srpvid=c92f9939286f0178&srepoch=1719352054&all_sr_blocks=33586603_94417102_2_2_0%2C33586603_94417102_2_2_0&highlighted_blocks=33586603_94417102_2_2_0%2C33586603_94417102_2_2_0&matching_block_id=33586603_94417102_2_2_0&sr_pri_blocks=33586603_94417102_2_2_0__77789%2C33586603_94417102_2_2_0__77789&from=searchresults
Carcassonne,ibis Carcassonne Est la Cité,"$1,672",Scored 8.0,"1,191 reviews",https://www.booking.com/hotel/fr/ibis-berriac-2.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAExuAEHyAEP2AEB6AEB-AECiAIBqAIDuAKw9eyzBsACAdICJDA2YTA0NzY0LWUzYzgtNDRmMi04ZWFhLWU4OTE3OWMxZmQ1NdgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-28&dest_id=-1416701&dest_type=city&group_adults=3&req_adults=3&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=price&nflt=class%3D4%3Bclass%3D3%3Bclass%3D5%3Bht_id%3D204&srpvid=c92f9939286f0178&srepoch=1719352054&all_sr_blocks=24218210_376291332_2_34_0%2C24218210_376291332_2_34_0&highlighted_blocks=24218210_376291332_2_34_0%2C24218210_376291332_2_34_0&matching_block_id=24218210_376291332_2_34_0&sr_pri_blocks=24218210_376291332_2_34_0__77910%2C24218210_376291332_2_34_0__77910&from=searchresults
Carcassonne,Hotel Montsegur,"$1,931",Scored 8.2,543 reviews,https://www.booking.com/hotel/fr/logis-montsegur.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAExuAEHyAEP2AEB6AEB-AECiAIBqAIDuAKw9eyzBsACAdICJDA2YTA0NzY0LWUzYzgtNDRmMi04ZWFhLWU4OTE3OWMxZmQ1NdgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-28&dest_id=-1416701&dest_type=city&group_adults=3&req_adults=3&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=price&nflt=class%3D4%3Bclass%3D3%3Bclass%3D5%3Bht_id%3D204&srpvid=c92f9939286f0178&srepoch=1719352054&all_sr_blocks=26018408_184022611_0_0_0&highlighted_blocks=26018408_184022611_0_0_0&matching_block_id=26018408_184022611_0_0_0&sr_pri_blocks=26018408_184022611_0_0_0__180000&from_sustainable_property_sr=1&from=searchresults
