city,name,hotel_prices,rating,number of review,hotel_link
Cassis,Hotel Liautaud,"$2,721",No rating,No reviews,https://www.booking.com/hotel/fr/liautaud.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAExuAEHyAEP2AEB6AEB-AECiAIBqAIDuALx6-yzBsACAdICJDg2MjkyOGM2LWIyOTUtNGJkZi04NmFlLWU2N2FhYTRmMmYyMtgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-28&dest_id=-1416912&dest_type=city&group_adults=3&req_adults=3&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=price&nflt=class%3D4%3Bclass%3D3%3Bclass%3D5%3Bht_id%3D204&srpvid=a81c96daa80b020e&srepoch=1719350843&all_sr_blocks=326791314_365087420_0_2_0&highlighted_blocks=326791314_365087420_0_2_0&matching_block_id=326791314_365087420_0_2_0&sr_pri_blocks=326791314_365087420_0_2_0__253598&from=searchresults#hotelTmpl
Cassis,Hôtel Eden Cassis,"$4,013",Scored 8.6,414 reviews,https://www.booking.com/hotel/fr/ha-tel-de-france-maguy.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAExuAEHyAEP2AEB6AEB-AECiAIBqAIDuALx6-yzBsACAdICJDg2MjkyOGM2LWIyOTUtNGJkZi04NmFlLWU2N2FhYTRmMmYyMtgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-28&dest_id=-1416912&dest_type=city&group_adults=3&req_adults=3&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=price&nflt=class%3D4%3Bclass%3D3%3Bclass%3D5%3Bht_id%3D204&srpvid=a81c96daa80b020e&srepoch=1719350843&all_sr_blocks=39157714_355303350_2_2_0%2C39157704_355303350_0_2_0&highlighted_blocks=39157714_355303350_2_2_0%2C39157704_355303350_0_2_0&matching_block_id=39157714_355303350_2_2_0&sr_pri_blocks=39157714_355303350_2_2_0__187000%2C39157704_355303350_0_2_0__187000&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Cassis,Les Jardins de Cassis,"$4,086",Scored 8.1,"1,646 reviews",https://www.booking.com/hotel/fr/les-jardins-de-cassis.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAExuAEHyAEP2AEB6AEB-AECiAIBqAIDuALx6-yzBsACAdICJDg2MjkyOGM2LWIyOTUtNGJkZi04NmFlLWU2N2FhYTRmMmYyMtgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-28&dest_id=-1416912&dest_type=city&group_adults=3&req_adults=3&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=price&nflt=class%3D4%3Bclass%3D3%3Bclass%3D5%3Bht_id%3D204&srpvid=a81c96daa80b020e&srepoch=1719350843&all_sr_blocks=30119601_309338212_0_2_0%2C30119601_309338212_0_2_0&highlighted_blocks=30119601_309338212_0_2_0%2C30119601_309338212_0_2_0&matching_block_id=30119601_309338212_0_2_0&sr_pri_blocks=30119601_309338212_0_2_0__190400%2C30119601_309338212_0_2_0__190400&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Cassis,Royal Cottage,"$4,240",Scored 8.3,"1,039 reviews",https://www.booking.com/hotel/fr/royal-cottage.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAExuAEHyAEP2AEB6AEB-AECiAIBqAIDuALx6-yzBsACAdICJDg2MjkyOGM2LWIyOTUtNGJkZi04NmFlLWU2N2FhYTRmMmYyMtgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-28&dest_id=-1416912&dest_type=city&group_adults=3&req_adults=3&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=price&nflt=class%3D4%3Bclass%3D3%3Bclass%3D5%3Bht_id%3D204&srpvid=a81c96daa80b020e&srepoch=1719350843&all_sr_blocks=2428101_95148117_2_2_0%2C2428101_95148117_2_2_0&highlighted_blocks=2428101_95148117_2_2_0%2C2428101_95148117_2_2_0&matching_block_id=2428101_95148117_2_2_0&sr_pri_blocks=2428101_95148117_2_2_0__197600%2C2428101_95148117_2_2_0__197600&from=searchresults#hotelTmpl
Cassis,Hôtel Les Roches Blanches Cassis,"$53,637",Scored 8.8,370 reviews,https://www.booking.com/hotel/fr/des-roches-blanches.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAExuAEHyAEP2AEB6AEB-AECiAIBqAIDuALx6-yzBsACAdICJDg2MjkyOGM2LWIyOTUtNGJkZi04NmFlLWU2N2FhYTRmMmYyMtgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-28&dest_id=-1416912&dest_type=city&group_adults=3&req_adults=3&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=price&nflt=class%3D4%3Bclass%3D3%3Bclass%3D5%3Bht_id%3D204&srpvid=a81c96daa80b020e&srepoch=1719350843&all_sr_blocks=330404204_363622839_2_1_0%2C330404213_363622839_1_1_0&highlighted_blocks=330404204_363622839_2_1_0%2C330404213_363622839_1_1_0&matching_block_id=330404204_363622839_2_1_0&sr_pri_blocks=330404204_363622839_2_1_0__1750140%2C330404213_363622839_1_1_0__3248640&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Cassis,La Ciotat Le Saint Estève,"$1,537",Scored 7.9,373 reviews,https://www.booking.com/hotel/fr/la-ciotat-le-saint-esteve.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAExuAEHyAEP2AEB6AEB-AECiAIBqAIDuALx6-yzBsACAdICJDg2MjkyOGM2LWIyOTUtNGJkZi04NmFlLWU2N2FhYTRmMmYyMtgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-28&dest_id=-1416912&dest_type=city&group_adults=3&req_adults=3&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=price&nflt=class%3D4%3Bclass%3D3%3Bclass%3D5%3Bht_id%3D204&srpvid=a81c96daa80b020e&srepoch=1719350843&all_sr_blocks=758054606_389290789_0_0_0&highlighted_blocks=758054606_389290789_0_0_0&matching_block_id=758054606_389290789_0_0_0&sr_pri_blocks=758054606_389290789_0_0_0__143200&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Cassis,Hôtel Le Relais des Brasseurs - Aubagne,"$1,569",Scored 7.0,797 reviews,https://www.booking.com/hotel/fr/lerelaisdaubagne.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAExuAEHyAEP2AEB6AEB-AECiAIBqAIDuALx6-yzBsACAdICJDg2MjkyOGM2LWIyOTUtNGJkZi04NmFlLWU2N2FhYTRmMmYyMtgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-28&dest_id=-1416912&dest_type=city&group_adults=3&req_adults=3&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=price&nflt=class%3D4%3Bclass%3D3%3Bclass%3D5%3Bht_id%3D204&srpvid=a81c96daa80b020e&srepoch=1719350843&all_sr_blocks=5151510_134411587_3_2_0&highlighted_blocks=5151510_134411587_3_2_0&matching_block_id=5151510_134411587_3_2_0&sr_pri_blocks=5151510_134411587_3_2_0__146200&from=searchresults#hotelTmpl
Cassis,Appart'City Confort La Ciotat - Côté Port,"$1,632",Scored 7.7,"1,412 reviews",https://www.booking.com/hotel/fr/my-suite-la-ciotat-cote-port.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAExuAEHyAEP2AEB6AEB-AECiAIBqAIDuALx6-yzBsACAdICJDg2MjkyOGM2LWIyOTUtNGJkZi04NmFlLWU2N2FhYTRmMmYyMtgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-28&dest_id=-1416912&dest_type=city&group_adults=3&req_adults=3&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=price&nflt=class%3D4%3Bclass%3D3%3Bclass%3D5%3Bht_id%3D204&srpvid=a81c96daa80b020e&srepoch=1719350843&all_sr_blocks=18476102_340056208_0_2_0&highlighted_blocks=18476102_340056208_0_2_0&matching_block_id=18476102_340056208_0_2_0&sr_pri_blocks=18476102_340056208_0_2_0__152100&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Cassis,Résidence Pierre et Vacances Cap Cassis Calanques,"$1,769",Scored 7.9,185 reviews,https://www.booking.com/hotel/fr/residence-pierre-et-vacances-cap-cassis-calanques.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAExuAEHyAEP2AEB6AEB-AECiAIBqAIDuALx6-yzBsACAdICJDg2MjkyOGM2LWIyOTUtNGJkZi04NmFlLWU2N2FhYTRmMmYyMtgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-28&dest_id=-1416912&dest_type=city&group_adults=3&req_adults=3&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=price&nflt=class%3D4%3Bclass%3D3%3Bclass%3D5%3Bht_id%3D204&srpvid=a81c96daa80b020e&srepoch=1719350843&all_sr_blocks=966771506_369149231_4_0_0&highlighted_blocks=966771506_369149231_4_0_0&matching_block_id=966771506_369149231_4_0_0&sr_pri_blocks=966771506_369149231_4_0_0__164880&from=searchresults#hotelTmpl
Cassis,Les Lavandes,"$1,957",Scored 6.9,449 reviews,https://www.booking.com/hotel/fr/hotel-les-lavandes.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAExuAEHyAEP2AEB6AEB-AECiAIBqAIDuALx6-yzBsACAdICJDg2MjkyOGM2LWIyOTUtNGJkZi04NmFlLWU2N2FhYTRmMmYyMtgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-28&dest_id=-1416912&dest_type=city&group_adults=3&req_adults=3&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=price&nflt=class%3D4%3Bclass%3D3%3Bclass%3D5%3Bht_id%3D204&srpvid=a81c96daa80b020e&srepoch=1719350843&all_sr_blocks=20272508_375037368_0_2_0%2C20272508_375037368_0_2_0&highlighted_blocks=20272508_375037368_0_2_0%2C20272508_375037368_0_2_0&matching_block_id=20272508_375037368_0_2_0&sr_pri_blocks=20272508_375037368_0_2_0__91200%2C20272508_375037368_0_2_0__91200&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
