city,name,hotel_prices,rating,number of review,hotel_link
Collioure,Residence Pierre &amp; Vacances Les Balcons de Collioure,"$1,481",Scored 8.0,574 reviews,https://www.booking.com/hotel/fr/maevabalconsdecollioure.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAExuAEHyAEP2AEB6AEB-AECiAIBqAIDuALB9OyzBsACAdICJGY4MTkyZDBlLWUyM2YtNGZjOS1hMjYzLTkzOTYxMTA4NWE0NtgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-28&dest_id=-1421032&dest_type=city&group_adults=3&req_adults=3&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=price&nflt=class%3D4%3Bclass%3D3%3Bht_id%3D204&srpvid=68ab9904b4bc013b&srepoch=1719351953&all_sr_blocks=5170902_258598807_4_0_0&highlighted_blocks=5170902_258598807_4_0_0&matching_block_id=5170902_258598807_4_0_0&sr_pri_blocks=5170902_258598807_4_0_0__138040&from=searchresults#hotelTmpl
Collioure,HOTEL AMBEILLE,"$2,507",Scored 7.8,145 reviews,https://www.booking.com/hotel/fr/ambeille-collioure.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAExuAEHyAEP2AEB6AEB-AECiAIBqAIDuALB9OyzBsACAdICJGY4MTkyZDBlLWUyM2YtNGZjOS1hMjYzLTkzOTYxMTA4NWE0NtgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-28&dest_id=-1421032&dest_type=city&group_adults=3&req_adults=3&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=price&nflt=class%3D4%3Bclass%3D3%3Bht_id%3D204&srpvid=68ab9904b4bc013b&srepoch=1719351953&all_sr_blocks=545623974_196574604_0_1_0_504834&highlighted_blocks=545623974_196574604_0_1_0_504834&matching_block_id=545623974_196574604_0_1_0_504834&sr_pri_blocks=545623974_196574604_0_1_0_504834_233640&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Collioure,Le Mas des Citronniers,"$2,552",Scored 8.3,"1,420 reviews",https://www.booking.com/hotel/fr/lesmasdescitronniers.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAExuAEHyAEP2AEB6AEB-AECiAIBqAIDuALB9OyzBsACAdICJGY4MTkyZDBlLWUyM2YtNGZjOS1hMjYzLTkzOTYxMTA4NWE0NtgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-28&dest_id=-1421032&dest_type=city&group_adults=3&req_adults=3&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=price&nflt=class%3D4%3Bclass%3D3%3Bht_id%3D204&srpvid=68ab9904b4bc013b&srepoch=1719351953&all_sr_blocks=5185902_295711275_0_2_0%2C5185902_295711275_0_2_0&highlighted_blocks=5185902_295711275_0_2_0%2C5185902_295711275_0_2_0&matching_block_id=5185902_295711275_0_2_0&sr_pri_blocks=5185902_295711275_0_2_0__118902%2C5185902_295711275_0_2_0__118902&from=searchresults#hotelTmpl
Collioure,Le Madeloc Hôtel &amp; Spa,"$2,619",Scored 9.0,900 reviews,https://www.booking.com/hotel/fr/madeloc.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAExuAEHyAEP2AEB6AEB-AECiAIBqAIDuALB9OyzBsACAdICJGY4MTkyZDBlLWUyM2YtNGZjOS1hMjYzLTkzOTYxMTA4NWE0NtgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-28&dest_id=-1421032&dest_type=city&group_adults=3&req_adults=3&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=price&nflt=class%3D4%3Bclass%3D3%3Bht_id%3D204&srpvid=68ab9904b4bc013b&srepoch=1719351953&all_sr_blocks=4851429_93698778_4_2_0_494185&highlighted_blocks=4851429_93698778_4_2_0_494185&matching_block_id=4851429_93698778_4_2_0_494185&sr_pri_blocks=4851429_93698778_4_2_0_494185_244037&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Collioure,La Frégate,"$3,331",Scored 8.3,"1,492 reviews",https://www.booking.com/hotel/fr/la-fra-c-gate-collioure.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAExuAEHyAEP2AEB6AEB-AECiAIBqAIDuALB9OyzBsACAdICJGY4MTkyZDBlLWUyM2YtNGZjOS1hMjYzLTkzOTYxMTA4NWE0NtgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-28&dest_id=-1421032&dest_type=city&group_adults=3&req_adults=3&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=price&nflt=class%3D4%3Bclass%3D3%3Bht_id%3D204&srpvid=68ab9904b4bc013b&srepoch=1719351953&all_sr_blocks=5818601_327756712_2_1_0%2C5818601_327756712_2_1_0&highlighted_blocks=5818601_327756712_2_1_0%2C5818601_327756712_2_1_0&matching_block_id=5818601_327756712_2_1_0&sr_pri_blocks=5818601_327756712_2_1_0__155200%2C5818601_327756712_2_1_0__155200&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Collioure,Grand Hotel Du Golfe - Spa &amp; Gastronomie,"$3,350",Scored 8.2,985 reviews,https://www.booking.com/hotel/fr/grand-du-golfe.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAExuAEHyAEP2AEB6AEB-AECiAIBqAIDuALB9OyzBsACAdICJGY4MTkyZDBlLWUyM2YtNGZjOS1hMjYzLTkzOTYxMTA4NWE0NtgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-28&dest_id=-1421032&dest_type=city&group_adults=3&req_adults=3&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=price&nflt=class%3D4%3Bclass%3D3%3Bht_id%3D204&srpvid=68ab9904b4bc013b&srepoch=1719351953&all_sr_blocks=5946014_360143684_3_1_0_120175&highlighted_blocks=5946014_360143684_3_1_0_120175&matching_block_id=5946014_360143684_3_1_0_120175&sr_pri_blocks=5946014_360143684_3_1_0_120175_312200&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Collioure,Hotel Le Bon Port,"$3,691",Scored 8.3,437 reviews,https://www.booking.com/hotel/fr/le-bon-port.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAExuAEHyAEP2AEB6AEB-AECiAIBqAIDuALB9OyzBsACAdICJGY4MTkyZDBlLWUyM2YtNGZjOS1hMjYzLTkzOTYxMTA4NWE0NtgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-28&dest_id=-1421032&dest_type=city&group_adults=3&req_adults=3&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=price&nflt=class%3D4%3Bclass%3D3%3Bht_id%3D204&srpvid=68ab9904b4bc013b&srepoch=1719351953&all_sr_blocks=2243109_335041082_2_2_0%2C2243109_335041082_2_2_0&highlighted_blocks=2243109_335041082_2_2_0%2C2243109_335041082_2_2_0&matching_block_id=2243109_335041082_2_2_0&sr_pri_blocks=2243109_335041082_2_2_0__172000%2C2243109_335041082_2_2_0__172000&from=searchresults#hotelTmpl
Collioure,Le Relais Des Trois Mas,"$5,575",Scored 8.8,310 reviews,https://www.booking.com/hotel/fr/le-relais-des-trois-mas.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAExuAEHyAEP2AEB6AEB-AECiAIBqAIDuALB9OyzBsACAdICJGY4MTkyZDBlLWUyM2YtNGZjOS1hMjYzLTkzOTYxMTA4NWE0NtgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-28&dest_id=-1421032&dest_type=city&group_adults=3&req_adults=3&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=price&nflt=class%3D4%3Bclass%3D3%3Bht_id%3D204&srpvid=68ab9904b4bc013b&srepoch=1719351953&all_sr_blocks=2271802_276632470_2_42_0%2C2271802_276632470_2_42_0&highlighted_blocks=2271802_276632470_2_42_0%2C2271802_276632470_2_42_0&matching_block_id=2271802_276632470_2_42_0&sr_pri_blocks=2271802_276632470_2_42_0__259800%2C2271802_276632470_2_42_0__259800&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Collioure,Maison Nova - Boutique Hôtel &amp; Spa,"$7,400",Scored 9.4,11 reviews,https://www.booking.com/hotel/fr/boutique-maison-nova.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAExuAEHyAEP2AEB6AEB-AECiAIBqAIDuALB9OyzBsACAdICJGY4MTkyZDBlLWUyM2YtNGZjOS1hMjYzLTkzOTYxMTA4NWE0NtgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-28&dest_id=-1421032&dest_type=city&group_adults=3&req_adults=3&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=price&nflt=class%3D4%3Bclass%3D3%3Bht_id%3D204&srpvid=68ab9904b4bc013b&srepoch=1719351953&all_sr_blocks=1087692801_391901902_2_1_0_365353%2C1087692802_391901902_1_1_0_365353&highlighted_blocks=1087692801_391901902_2_1_0_365353%2C1087692802_391901902_1_1_0_365353&matching_block_id=1087692801_391901902_2_1_0_365353&sr_pri_blocks=1087692801_391901902_2_1_0_365353_338256%2C1087692802_391901902_1_1_0_365353_351396&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Collioure,Vacancéole - Les demeures de la Massane - Argelès-sur-Mer,$874,Scored 7.0,"1,572 reviews",https://www.booking.com/hotel/fr/les-demeures-de-la-massane.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAExuAEHyAEP2AEB6AEB-AECiAIBqAIDuALB9OyzBsACAdICJGY4MTkyZDBlLWUyM2YtNGZjOS1hMjYzLTkzOTYxMTA4NWE0NtgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-28&dest_id=-1421032&dest_type=city&group_adults=3&req_adults=3&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=price&nflt=class%3D4%3Bclass%3D3%3Bht_id%3D204&srpvid=68ab9904b4bc013b&srepoch=1719351953&all_sr_blocks=36381714_343777673_0_2_0&highlighted_blocks=36381714_343777673_0_2_0&matching_block_id=36381714_343777673_0_2_0&sr_pri_blocks=36381714_343777673_0_2_0__81450&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
