city,name,hotel_prices,rating,number of review,hotel_link
Colmar,Résidence Pierre &amp; Vacances La Petite Venise,$934,Scored 8.1,"2,292 reviews",https://www.booking.com/hotel/fr/la-petite-venise.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAExuAEHyAEP2AEB6AEB-AECiAIBqAIDuALo5uyzBsACAdICJDI1MzdjMDg1LWJiZGMtNDI5OC1iNmRlLTdhMDAyYjQzYjBhM9gCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-28&dest_id=-1421049&dest_type=city&group_adults=3&req_adults=3&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=price&nflt=class%3D3%3Bclass%3D4%3Bclass%3D5%3Bht_id%3D204&srpvid=626c959431d800c6&srepoch=1719350190&all_sr_blocks=140219902_258598825_4_2_0&highlighted_blocks=140219902_258598825_4_2_0&matching_block_id=140219902_258598825_4_2_0&sr_pri_blocks=140219902_258598825_4_2_0__87064&from_sustainable_property_sr=1&from=searchresults
Colmar,"The Originals City, Hôtel Colmar Gare","$1,073",Scored 7.2,"2,249 reviews",https://www.booking.com/hotel/fr/le-colbert.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAExuAEHyAEP2AEB6AEB-AECiAIBqAIDuALo5uyzBsACAdICJDI1MzdjMDg1LWJiZGMtNDI5OC1iNmRlLTdhMDAyYjQzYjBhM9gCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-28&dest_id=-1421049&dest_type=city&group_adults=3&req_adults=3&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=price&nflt=class%3D3%3Bclass%3D4%3Bclass%3D5%3Bht_id%3D204&srpvid=626c959431d800c6&srepoch=1719350190&all_sr_blocks=5330304_327162927_0_2_0&highlighted_blocks=5330304_327162927_0_2_0&matching_block_id=5330304_327162927_0_2_0&sr_pri_blocks=5330304_327162927_0_2_0__100000&from_sustainable_property_sr=1&from=searchresults
Colmar,"Travel Homes - Rapp, charm in the heart of Colmar","$1,256",Scored 7.8,28 reviews,https://www.booking.com/hotel/fr/travel-homes-rapp-charm-in-the-heart-of-colmar-colmar.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAExuAEHyAEP2AEB6AEB-AECiAIBqAIDuALo5uyzBsACAdICJDI1MzdjMDg1LWJiZGMtNDI5OC1iNmRlLTdhMDAyYjQzYjBhM9gCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-28&dest_id=-1421049&dest_type=city&group_adults=3&req_adults=3&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=price&nflt=class%3D3%3Bclass%3D4%3Bclass%3D5%3Bht_id%3D204&srpvid=626c959431d800c6&srepoch=1719350190&all_sr_blocks=1115447203_384445992_0_0_0&highlighted_blocks=1115447203_384445992_0_0_0&matching_block_id=1115447203_384445992_0_0_0&sr_pri_blocks=1115447203_384445992_0_0_0__117100&from=searchresults
Colmar,Hotel L'Europe,"$1,422",Scored 8.1,"5,342 reviews",https://www.booking.com/hotel/fr/l-europe.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAExuAEHyAEP2AEB6AEB-AECiAIBqAIDuALo5uyzBsACAdICJDI1MzdjMDg1LWJiZGMtNDI5OC1iNmRlLTdhMDAyYjQzYjBhM9gCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-28&dest_id=-1421049&dest_type=city&group_adults=3&req_adults=3&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=price&nflt=class%3D3%3Bclass%3D4%3Bclass%3D5%3Bht_id%3D204&srpvid=626c959431d800c6&srepoch=1719350190&all_sr_blocks=5496115_242704943_3_2_0&highlighted_blocks=5496115_242704943_3_2_0&matching_block_id=5496115_242704943_3_2_0&sr_pri_blocks=5496115_242704943_3_2_0__132561&from=searchresults
Colmar,Campanile Colmar - Parc des Expositions,"$1,498",Scored 7.4,"2,628 reviews",https://www.booking.com/hotel/fr/campanile-colmar-aeroport.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAExuAEHyAEP2AEB6AEB-AECiAIBqAIDuALo5uyzBsACAdICJDI1MzdjMDg1LWJiZGMtNDI5OC1iNmRlLTdhMDAyYjQzYjBhM9gCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-28&dest_id=-1421049&dest_type=city&group_adults=3&req_adults=3&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=price&nflt=class%3D3%3Bclass%3D4%3Bclass%3D5%3Bht_id%3D204&srpvid=626c959431d800c6&srepoch=1719350190&all_sr_blocks=23297_393828042_2_34_0%2C23297_393828042_2_34_0&highlighted_blocks=23297_393828042_2_34_0%2C23297_393828042_2_34_0&matching_block_id=23297_393828042_2_34_0&sr_pri_blocks=23297_393828042_2_34_0__69800%2C23297_393828042_2_34_0__69800&from_sustainable_property_sr=1&from=searchresults
Colmar,Odalys City Colmar La Rose d'Argent,"$1,719",Scored 7.9,"5,528 reviews",https://www.booking.com/hotel/fr/appart-39-odalys-la-rose-d-39-argent.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAExuAEHyAEP2AEB6AEB-AECiAIBqAIDuALo5uyzBsACAdICJDI1MzdjMDg1LWJiZGMtNDI5OC1iNmRlLTdhMDAyYjQzYjBhM9gCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-28&dest_id=-1421049&dest_type=city&group_adults=3&req_adults=3&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=price&nflt=class%3D3%3Bclass%3D4%3Bclass%3D5%3Bht_id%3D204&srpvid=626c959431d800c6&srepoch=1719350190&all_sr_blocks=126686402_88557422_4_2_0&highlighted_blocks=126686402_88557422_4_2_0&matching_block_id=126686402_88557422_4_2_0&sr_pri_blocks=126686402_88557422_4_2_0__160160&from_sustainable_property_sr=1&from=searchresults
Colmar,Grand Hôtel Bristol,"$1,769",Scored 7.9,"4,081 reviews",https://www.booking.com/hotel/fr/grandhotelbristol.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAExuAEHyAEP2AEB6AEB-AECiAIBqAIDuALo5uyzBsACAdICJDI1MzdjMDg1LWJiZGMtNDI5OC1iNmRlLTdhMDAyYjQzYjBhM9gCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-28&dest_id=-1421049&dest_type=city&group_adults=3&req_adults=3&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=price&nflt=class%3D3%3Bclass%3D4%3Bclass%3D5%3Bht_id%3D204&srpvid=626c959431d800c6&srepoch=1719350190&all_sr_blocks=21047024_88557421_3_2_0&highlighted_blocks=21047024_88557421_3_2_0&matching_block_id=21047024_88557421_3_2_0&sr_pri_blocks=21047024_88557421_3_2_0__164835&from_sustainable_property_sr=1&from=searchresults
Colmar,ibis Colmar Est - Hotel Restaurant en Alsace,"$1,875",Scored 7.4,"5,793 reviews",https://www.booking.com/hotel/fr/ibis-colmar-horbourg-wihr.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAExuAEHyAEP2AEB6AEB-AECiAIBqAIDuALo5uyzBsACAdICJDI1MzdjMDg1LWJiZGMtNDI5OC1iNmRlLTdhMDAyYjQzYjBhM9gCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-28&dest_id=-1421049&dest_type=city&group_adults=3&req_adults=3&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=price&nflt=class%3D3%3Bclass%3D4%3Bclass%3D5%3Bht_id%3D204&srpvid=626c959431d800c6&srepoch=1719350190&all_sr_blocks=18571804_376292187_2_34_0%2C18571804_376292187_2_34_0&highlighted_blocks=18571804_376292187_2_34_0%2C18571804_376292187_2_34_0&matching_block_id=18571804_376292187_2_34_0&sr_pri_blocks=18571804_376292187_2_34_0__87360%2C18571804_376292187_2_34_0__87360&from_sustainable_property_sr=1&from=searchresults
Colmar,Logis Hôtel Beauséjour Colmar,"$1,905",Scored 7.8,836 reviews,https://www.booking.com/hotel/fr/beausejourcolmar.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAExuAEHyAEP2AEB6AEB-AECiAIBqAIDuALo5uyzBsACAdICJDI1MzdjMDg1LWJiZGMtNDI5OC1iNmRlLTdhMDAyYjQzYjBhM9gCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-28&dest_id=-1421049&dest_type=city&group_adults=3&req_adults=3&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=price&nflt=class%3D3%3Bclass%3D4%3Bclass%3D5%3Bht_id%3D204&srpvid=626c959431d800c6&srepoch=1719350190&all_sr_blocks=5146618_391864796_0_2_0%2C5146619_391864796_0_2_0&highlighted_blocks=5146618_391864796_0_2_0%2C5146619_391864796_0_2_0&matching_block_id=5146618_391864796_0_2_0&sr_pri_blocks=5146618_391864796_0_2_0__88064%2C5146619_391864796_0_2_0__89440&from_sustainable_property_sr=1&from=searchresults
Colmar,Hotel Saint-Martin,"$1,905",Scored 8.3,"4,323 reviews",https://www.booking.com/hotel/fr/hotelsaintmartin.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAExuAEHyAEP2AEB6AEB-AECiAIBqAIDuALo5uyzBsACAdICJDI1MzdjMDg1LWJiZGMtNDI5OC1iNmRlLTdhMDAyYjQzYjBhM9gCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-28&dest_id=-1421049&dest_type=city&group_adults=3&req_adults=3&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=price&nflt=class%3D3%3Bclass%3D4%3Bclass%3D5%3Bht_id%3D204&srpvid=626c959431d800c6&srepoch=1719350190&all_sr_blocks=5151408_375699446_0_2_0&highlighted_blocks=5151408_375699446_0_2_0&matching_block_id=5151408_375699446_0_2_0&sr_pri_blocks=5151408_375699446_0_2_0__177570&from_sustainable_property_sr=1&from=searchresults
