city,name,hotel_prices,rating,number of review,hotel_link
Dijon,Appart'City Classic Dijon - Toison D'Or,$722,Scored 6.9,"1,772 reviews",https://www.booking.com/hotel/fr/residence-le-clos-des-ducs.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAExuAEHyAEP2AEB6AEB-AECiAIBqAIDuAKO6eyzBsACAdICJGQ4MmFiODgxLWE1OTUtNDE0MC1iM2NkLWZlMzA1NTdjNTJlNNgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-28&dest_id=-1423981&dest_type=city&group_adults=3&req_adults=3&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=price&nflt=class%3D3%3Bclass%3D4%3Bclass%3D5%3Bht_id%3D204&srpvid=2b9b96294c1002ab&srepoch=1719350486&all_sr_blocks=5909803_88556980_0_2_0_335261&highlighted_blocks=5909803_88556980_0_2_0_335261&matching_block_id=5909803_88556980_0_2_0_335261&sr_pri_blocks=5909803_88556980_0_2_0_335261_67300&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Dijon,Campanile Dijon Centre - Gare,$944,Scored 7.1,"2,545 reviews",https://www.booking.com/hotel/fr/campanile-dijon-centre-gare-xml.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAExuAEHyAEP2AEB6AEB-AECiAIBqAIDuAKO6eyzBsACAdICJGQ4MmFiODgxLWE1OTUtNDE0MC1iM2NkLWZlMzA1NTdjNTJlNNgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-28&dest_id=-1423981&dest_type=city&group_adults=3&req_adults=3&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=price&nflt=class%3D3%3Bclass%3D4%3Bclass%3D5%3Bht_id%3D204&srpvid=2b9b96294c1002ab&srepoch=1719350486&all_sr_blocks=48044303_375931090_3_2_0&highlighted_blocks=48044303_375931090_3_2_0&matching_block_id=48044303_375931090_3_2_0&sr_pri_blocks=48044303_375931090_3_2_0__88000&from=searchresults#hotelTmpl
Dijon,Apparteo Dijon,$985,Scored 7.5,327 reviews,https://www.booking.com/hotel/fr/apparteo-dijon.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAExuAEHyAEP2AEB6AEB-AECiAIBqAIDuAKO6eyzBsACAdICJGQ4MmFiODgxLWE1OTUtNDE0MC1iM2NkLWZlMzA1NTdjNTJlNNgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-28&dest_id=-1423981&dest_type=city&group_adults=3&req_adults=3&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=price&nflt=class%3D3%3Bclass%3D4%3Bclass%3D5%3Bht_id%3D204&srpvid=2b9b96294c1002ab&srepoch=1719350486&all_sr_blocks=188216604_92396776_0_0_0%2C188216603_92396776_0_0_0&highlighted_blocks=188216604_92396776_0_0_0%2C188216603_92396776_0_0_0&matching_block_id=188216604_92396776_0_0_0&sr_pri_blocks=188216604_92396776_0_0_0__49900%2C188216603_92396776_0_0_0__41900&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Dijon,Aparthotel Adagio Access Dijon République,"$1,030",Scored 8.3,"2,589 reviews",https://www.booking.com/hotel/fr/aparthotel-adagio-access-dijon-republique.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAExuAEHyAEP2AEB6AEB-AECiAIBqAIDuAKO6eyzBsACAdICJGQ4MmFiODgxLWE1OTUtNDE0MC1iM2NkLWZlMzA1NTdjNTJlNNgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-28&dest_id=-1423981&dest_type=city&group_adults=3&req_adults=3&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=price&nflt=class%3D3%3Bclass%3D4%3Bclass%3D5%3Bht_id%3D204&srpvid=2b9b96294c1002ab&srepoch=1719350486&all_sr_blocks=112063107_93775465_2_2_0%2C112063107_93775465_2_2_0&highlighted_blocks=112063107_93775465_2_2_0%2C112063107_93775465_2_2_0&matching_block_id=112063107_93775465_2_2_0&sr_pri_blocks=112063107_93775465_2_2_0__48000%2C112063107_93775465_2_2_0__48000&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Dijon,Comfort Hotel Dijon Sud - 21600 LONGVIC,"$1,082",Scored 7.7,"6,998 reviews",https://www.booking.com/hotel/fr/comfort-longvic.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAExuAEHyAEP2AEB6AEB-AECiAIBqAIDuAKO6eyzBsACAdICJGQ4MmFiODgxLWE1OTUtNDE0MC1iM2NkLWZlMzA1NTdjNTJlNNgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-28&dest_id=-1423981&dest_type=city&group_adults=3&req_adults=3&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=price&nflt=class%3D3%3Bclass%3D4%3Bclass%3D5%3Bht_id%3D204&srpvid=2b9b96294c1002ab&srepoch=1719350486&all_sr_blocks=24295003_331338079_3_2_0&highlighted_blocks=24295003_331338079_3_2_0&matching_block_id=24295003_331338079_3_2_0&sr_pri_blocks=24295003_331338079_3_2_0__100800&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Dijon,Kyriad Dijon Est Mirande,"$1,236",Scored 7.2,"2,589 reviews",https://www.booking.com/hotel/fr/kyriad-dijon-est-mirande.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAExuAEHyAEP2AEB6AEB-AECiAIBqAIDuAKO6eyzBsACAdICJGQ4MmFiODgxLWE1OTUtNDE0MC1iM2NkLWZlMzA1NTdjNTJlNNgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-28&dest_id=-1423981&dest_type=city&group_adults=3&req_adults=3&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=price&nflt=class%3D3%3Bclass%3D4%3Bclass%3D5%3Bht_id%3D204&srpvid=2b9b96294c1002ab&srepoch=1719350486&all_sr_blocks=21949708_393827937_2_2_0%2C21949711_88556979_1_2_0&highlighted_blocks=21949708_393827937_2_2_0%2C21949711_88556979_1_2_0&matching_block_id=21949708_393827937_2_2_0&sr_pri_blocks=21949708_393827937_2_2_0__60800%2C21949711_88556979_1_2_0__54400&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Dijon,Ibis budget Dijon Centre Clemenceau,"$1,288",Scored 7.8,"2,040 reviews",https://www.booking.com/hotel/fr/ibis-budget-dijon-centre-clemenceau.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAExuAEHyAEP2AEB6AEB-AECiAIBqAIDuAKO6eyzBsACAdICJGQ4MmFiODgxLWE1OTUtNDE0MC1iM2NkLWZlMzA1NTdjNTJlNNgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-28&dest_id=-1423981&dest_type=city&group_adults=3&req_adults=3&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=price&nflt=class%3D3%3Bclass%3D4%3Bclass%3D5%3Bht_id%3D204&srpvid=2b9b96294c1002ab&srepoch=1719350486&all_sr_blocks=315771301_113717000_2_2_0%2C315771301_113717000_2_2_0&highlighted_blocks=315771301_113717000_2_2_0%2C315771301_113717000_2_2_0&matching_block_id=315771301_113717000_2_2_0&sr_pri_blocks=315771301_113717000_2_2_0__60015%2C315771301_113717000_2_2_0__60015&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Dijon,Residhome Dijon Cité Des Vignes,"$1,292",Scored 8.6,"2,704 reviews",https://www.booking.com/hotel/fr/residhome-dijon-cite-des-vignes.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAExuAEHyAEP2AEB6AEB-AECiAIBqAIDuAKO6eyzBsACAdICJGQ4MmFiODgxLWE1OTUtNDE0MC1iM2NkLWZlMzA1NTdjNTJlNNgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-28&dest_id=-1423981&dest_type=city&group_adults=3&req_adults=3&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=price&nflt=class%3D3%3Bclass%3D4%3Bclass%3D5%3Bht_id%3D204&srpvid=2b9b96294c1002ab&srepoch=1719350486&all_sr_blocks=860323401_353879023_0_2_0%2C860323401_353879023_0_2_0&highlighted_blocks=860323401_353879023_0_2_0%2C860323401_353879023_0_2_0&matching_block_id=860323401_353879023_0_2_0&sr_pri_blocks=860323401_353879023_0_2_0__60200%2C860323401_353879023_0_2_0__60200&from=searchresults#hotelTmpl
Dijon,Campanile Dijon Congrès Clemenceau,"$1,325",Scored 7.9,"2,553 reviews",https://www.booking.com/hotel/fr/campanile-dijon-congra-s-cla-c-menceau.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAExuAEHyAEP2AEB6AEB-AECiAIBqAIDuAKO6eyzBsACAdICJGQ4MmFiODgxLWE1OTUtNDE0MC1iM2NkLWZlMzA1NTdjNTJlNNgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-28&dest_id=-1423981&dest_type=city&group_adults=3&req_adults=3&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=price&nflt=class%3D3%3Bclass%3D4%3Bclass%3D5%3Bht_id%3D204&srpvid=2b9b96294c1002ab&srepoch=1719350486&all_sr_blocks=68000401_393827666_2_2_0%2C68000401_393827666_2_2_0&highlighted_blocks=68000401_393827666_2_2_0%2C68000401_393827666_2_2_0&matching_block_id=68000401_393827666_2_2_0&sr_pri_blocks=68000401_393827666_2_2_0__61760%2C68000401_393827666_2_2_0__61760&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Dijon,L'aparthoteL LhL,"$1,365",Scored 7.6,976 reviews,https://www.booking.com/hotel/fr/aparthotel-lhl.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAExuAEHyAEP2AEB6AEB-AECiAIBqAIDuAKO6eyzBsACAdICJGQ4MmFiODgxLWE1OTUtNDE0MC1iM2NkLWZlMzA1NTdjNTJlNNgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-28&dest_id=-1423981&dest_type=city&group_adults=3&req_adults=3&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=price&nflt=class%3D3%3Bclass%3D4%3Bclass%3D5%3Bht_id%3D204&srpvid=2b9b96294c1002ab&srepoch=1719350486&all_sr_blocks=25908307_365834143_0_2_0%2C25908307_365834143_0_2_0&highlighted_blocks=25908307_365834143_0_2_0%2C25908307_365834143_0_2_0&matching_block_id=25908307_365834143_0_2_0&sr_pri_blocks=25908307_365834143_0_2_0__63600%2C25908307_365834143_0_2_0__63600&from=searchresults#hotelTmpl
