city,name,hotel_prices,rating,number of review,hotel_link
Gorges du Verdon,"Villa Borghese, The Originals Relais","$1,991",Scored 7.7,677 reviews,https://www.booking.com/hotel/fr/villa-borghese.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAExuAEHyAEP2AEB6AEB-AECiAIBqAIDuALl3uyzBsACAdICJDUwN2M4ZWM4LWIzY2UtNGM4ZC04NWQ4LTA2NTM4M2I3OTBkNNgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-28&dest_id=2746&dest_type=region&group_adults=3&req_adults=3&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=price&nflt=class%3D3%3Bclass%3D4%3Bht_id%3D204&srpvid=c92f9393819a00d8&srepoch=1719349163&all_sr_blocks=67374_388542831_3_42_0&highlighted_blocks=67374_388542831_3_42_0&matching_block_id=67374_388542831_3_42_0&sr_pri_blocks=67374_388542831_3_42_0__185600&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Gorges du Verdon,Hôtel Les Deux Lions,"$2,082",Scored 8.2,635 reviews,https://www.booking.com/hotel/fr/ha-tel-les-deux-lions.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAExuAEHyAEP2AEB6AEB-AECiAIBqAIDuALl3uyzBsACAdICJDUwN2M4ZWM4LWIzY2UtNGM4ZC04NWQ4LTA2NTM4M2I3OTBkNNgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-28&dest_id=2746&dest_type=region&group_adults=3&req_adults=3&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=price&nflt=class%3D3%3Bclass%3D4%3Bht_id%3D204&srpvid=c92f9393819a00d8&srepoch=1719349163&all_sr_blocks=42260501_106673373_2_2_0%2C42260503_106673373_2_2_0&highlighted_blocks=42260501_106673373_2_2_0%2C42260503_106673373_2_2_0&matching_block_id=42260501_106673373_2_2_0&sr_pri_blocks=42260501_106673373_2_2_0__92000%2C42260503_106673373_2_2_0__102000&from=searchresults#hotelTmpl
Gorges du Verdon,Résidence les Grands Pins,"$2,232",Scored 8.0,250 reviews,https://www.booking.com/hotel/fr/ra-c-sidence-les-grands-pins.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAExuAEHyAEP2AEB6AEB-AECiAIBqAIDuALl3uyzBsACAdICJDUwN2M4ZWM4LWIzY2UtNGM4ZC04NWQ4LTA2NTM4M2I3OTBkNNgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-28&dest_id=2746&dest_type=region&group_adults=3&req_adults=3&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=price&nflt=class%3D3%3Bclass%3D4%3Bht_id%3D204&srpvid=c92f9393819a00d8&srepoch=1719349163&all_sr_blocks=42078501_194918098_2_0_0%2C42078501_194918098_2_0_0&highlighted_blocks=42078501_194918098_2_0_0%2C42078501_194918098_2_0_0&matching_block_id=42078501_194918098_2_0_0&sr_pri_blocks=42078501_194918098_2_0_0__104000%2C42078501_194918098_2_0_0__104000&from=searchresults#hotelTmpl
Gorges du Verdon,Hotel Le Provence - Restaurant Le Styx,"$2,266",Scored 8.2,462 reviews,https://www.booking.com/hotel/fr/le-provence-la-palud1.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAExuAEHyAEP2AEB6AEB-AECiAIBqAIDuALl3uyzBsACAdICJDUwN2M4ZWM4LWIzY2UtNGM4ZC04NWQ4LTA2NTM4M2I3OTBkNNgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-28&dest_id=2746&dest_type=region&group_adults=3&req_adults=3&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=price&nflt=class%3D3%3Bclass%3D4%3Bht_id%3D204&srpvid=c92f9393819a00d8&srepoch=1719349163&all_sr_blocks=195997607_116584355_3_1_0&highlighted_blocks=195997607_116584355_3_1_0&matching_block_id=195997607_116584355_3_1_0&sr_pri_blocks=195997607_116584355_3_1_0__211200&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Gorges du Verdon,Le Verdon,"$2,296",Scored 8.0,995 reviews,https://www.booking.com/hotel/fr/le-verdon.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAExuAEHyAEP2AEB6AEB-AECiAIBqAIDuALl3uyzBsACAdICJDUwN2M4ZWM4LWIzY2UtNGM4ZC04NWQ4LTA2NTM4M2I3OTBkNNgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-28&dest_id=2746&dest_type=region&group_adults=3&req_adults=3&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=price&nflt=class%3D3%3Bclass%3D4%3Bht_id%3D204&srpvid=c92f9393819a00d8&srepoch=1719349163&all_sr_blocks=40296502_367712026_0_2_0%2C40296501_367712026_0_2_0&highlighted_blocks=40296502_367712026_0_2_0%2C40296501_367712026_0_2_0&matching_block_id=40296502_367712026_0_2_0&sr_pri_blocks=40296502_367712026_0_2_0__94160%2C40296501_367712026_0_2_0__119840&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Gorges du Verdon,Belambra Clubs Montpezat - Le Verdon,"$2,505",Scored 7.6,82 reviews,https://www.booking.com/hotel/fr/belambra-le-verdon.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAExuAEHyAEP2AEB6AEB-AECiAIBqAIDuALl3uyzBsACAdICJDUwN2M4ZWM4LWIzY2UtNGM4ZC04NWQ4LTA2NTM4M2I3OTBkNNgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-28&dest_id=2746&dest_type=region&group_adults=3&req_adults=3&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=price&nflt=class%3D3%3Bclass%3D4%3Bht_id%3D204&srpvid=c92f9393819a00d8&srepoch=1719349163&all_sr_blocks=30111753_365694473_0_17_0&highlighted_blocks=30111753_365694473_0_17_0&matching_block_id=30111753_365694473_0_17_0&sr_pri_blocks=30111753_365694473_0_17_0__233475&from=searchresults#hotelTmpl
Gorges du Verdon,Le Relais Notre Dame,"$2,678",Scored 8.7,433 reviews,https://www.booking.com/hotel/fr/relais-notre-dame.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAExuAEHyAEP2AEB6AEB-AECiAIBqAIDuALl3uyzBsACAdICJDUwN2M4ZWM4LWIzY2UtNGM4ZC04NWQ4LTA2NTM4M2I3OTBkNNgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-28&dest_id=2746&dest_type=region&group_adults=3&req_adults=3&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=price&nflt=class%3D3%3Bclass%3D4%3Bht_id%3D204&srpvid=c92f9393819a00d8&srepoch=1719349163&all_sr_blocks=36071310_389091850_2_2_0%2C36071310_389091850_2_2_0&highlighted_blocks=36071310_389091850_2_2_0%2C36071310_389091850_2_2_0&matching_block_id=36071310_389091850_2_2_0&sr_pri_blocks=36071310_389091850_2_2_0__124800%2C36071310_389091850_2_2_0__124800&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Gorges du Verdon,Hotel Grand Canyon du Verdon,"$2,715",Scored 7.8,399 reviews,https://www.booking.com/hotel/fr/grand-canyon-du-verdon.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAExuAEHyAEP2AEB6AEB-AECiAIBqAIDuALl3uyzBsACAdICJDUwN2M4ZWM4LWIzY2UtNGM4ZC04NWQ4LTA2NTM4M2I3OTBkNNgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-28&dest_id=2746&dest_type=region&group_adults=3&req_adults=3&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=price&nflt=class%3D3%3Bclass%3D4%3Bht_id%3D204&srpvid=c92f9393819a00d8&srepoch=1719349163&all_sr_blocks=67438603_387635315_3_17_0&highlighted_blocks=67438603_387635315_3_17_0&matching_block_id=67438603_387635315_3_17_0&sr_pri_blocks=67438603_387635315_3_17_0__253000&from=searchresults#hotelTmpl
Gorges du Verdon,Hôtel Le Colombier,"$3,022",Scored 9.2,482 reviews,https://www.booking.com/hotel/fr/le-colombier-moustiers-sainte-marie.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAExuAEHyAEP2AEB6AEB-AECiAIBqAIDuALl3uyzBsACAdICJDUwN2M4ZWM4LWIzY2UtNGM4ZC04NWQ4LTA2NTM4M2I3OTBkNNgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-28&dest_id=2746&dest_type=region&group_adults=3&req_adults=3&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=price&nflt=class%3D3%3Bclass%3D4%3Bht_id%3D204&srpvid=c92f9393819a00d8&srepoch=1719349163&all_sr_blocks=28915217_88552873_0_2_0%2C28915202_88552873_0_2_0&highlighted_blocks=28915217_88552873_0_2_0%2C28915202_88552873_0_2_0&matching_block_id=28915217_88552873_0_2_0&sr_pri_blocks=28915217_88552873_0_2_0__139200%2C28915202_88552873_0_2_0__142400&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Gorges du Verdon,La Bastide du Calalou; BW Signature Collection,"$3,289",Scored 8.6,741 reviews,https://www.booking.com/hotel/fr/bastide-du-calalou.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAExuAEHyAEP2AEB6AEB-AECiAIBqAIDuALl3uyzBsACAdICJDUwN2M4ZWM4LWIzY2UtNGM4ZC04NWQ4LTA2NTM4M2I3OTBkNNgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-28&dest_id=2746&dest_type=region&group_adults=3&req_adults=3&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=price&nflt=class%3D3%3Bclass%3D4%3Bht_id%3D204&srpvid=c92f9393819a00d8&srepoch=1719349163&all_sr_blocks=21427310_88553260_2_42_0%2C21427310_88553260_2_42_0&highlighted_blocks=21427310_88553260_2_42_0%2C21427310_88553260_2_42_0&matching_block_id=21427310_88553260_2_42_0&sr_pri_blocks=21427310_88553260_2_42_0__153280%2C21427310_88553260_2_42_0__153280&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
