city,name,hotel_prices,rating,number of review,hotel_link
Grenoble,Adagio Grenoble Centre,$556,Scored 7.3,"1,168 reviews",https://www.booking.com/hotel/fr/hipark.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAExuAEHyAEP2AEB6AEB-AECiAIBqAIDuALd6uyzBsACAdICJDI5Nzk1MmNiLWIwYWItNDRkMS1hM2U5LWFjNzdjODdlMGRmOdgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-28&dest_id=-1430647&dest_type=city&group_adults=3&req_adults=3&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=price&nflt=class%3D4%3Bclass%3D3%3Bht_id%3D204&srpvid=7ca0968468bb0593&srepoch=1719350668&all_sr_blocks=23631411_91913143_4_2_0&highlighted_blocks=23631411_91913143_4_2_0&matching_block_id=23631411_91913143_4_2_0&sr_pri_blocks=23631411_91913143_4_2_0__51840&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Grenoble,COWOOL GRENOBLE,$609,Scored 7.8,169 reviews,https://www.booking.com/hotel/fr/cowool-grenoble.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAExuAEHyAEP2AEB6AEB-AECiAIBqAIDuALd6uyzBsACAdICJDI5Nzk1MmNiLWIwYWItNDRkMS1hM2U5LWFjNzdjODdlMGRmOdgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-28&dest_id=-1430647&dest_type=city&group_adults=3&req_adults=3&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=price&nflt=class%3D4%3Bclass%3D3%3Bht_id%3D204&srpvid=7ca0968468bb0593&srepoch=1719350668&all_sr_blocks=887005003_372292050_3_0_0&highlighted_blocks=887005003_372292050_3_0_0&matching_block_id=887005003_372292050_3_0_0&sr_pri_blocks=887005003_372292050_3_0_0__56802&from=searchresults#hotelTmpl
Grenoble,Residhome Grenoble Caserne De Bonne,$722,Scored 7.6,"1,457 reviews",https://www.booking.com/hotel/fr/residhome-prestige-grenoble-caserne-de-bonne.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAExuAEHyAEP2AEB6AEB-AECiAIBqAIDuALd6uyzBsACAdICJDI5Nzk1MmNiLWIwYWItNDRkMS1hM2U5LWFjNzdjODdlMGRmOdgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-28&dest_id=-1430647&dest_type=city&group_adults=3&req_adults=3&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=price&nflt=class%3D4%3Bclass%3D3%3Bht_id%3D204&srpvid=7ca0968468bb0593&srepoch=1719350668&all_sr_blocks=7949202_93707476_4_2_0&highlighted_blocks=7949202_93707476_4_2_0&matching_block_id=7949202_93707476_4_2_0&sr_pri_blocks=7949202_93707476_4_2_0__67260&from=searchresults#hotelTmpl
Grenoble,The Originals Residence KOSY appart'hôtels - Les Cèdres,$725,Scored 6.8,660 reviews,https://www.booking.com/hotel/fr/adagio-city-aparthotel-grenoble-berthelot.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAExuAEHyAEP2AEB6AEB-AECiAIBqAIDuALd6uyzBsACAdICJDI5Nzk1MmNiLWIwYWItNDRkMS1hM2U5LWFjNzdjODdlMGRmOdgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-28&dest_id=-1430647&dest_type=city&group_adults=3&req_adults=3&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=price&nflt=class%3D4%3Bclass%3D3%3Bht_id%3D204&srpvid=7ca0968468bb0593&srepoch=1719350668&all_sr_blocks=17182203_310964471_4_2_0&highlighted_blocks=17182203_310964471_4_2_0&matching_block_id=17182203_310964471_4_2_0&sr_pri_blocks=17182203_310964471_4_2_0__67600&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Grenoble,Apparthotel Le Hüb Grenoble,$807,Scored 7.7,"1,646 reviews",https://www.booking.com/hotel/fr/le-hub-grenoble.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAExuAEHyAEP2AEB6AEB-AECiAIBqAIDuALd6uyzBsACAdICJDI5Nzk1MmNiLWIwYWItNDRkMS1hM2U5LWFjNzdjODdlMGRmOdgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-28&dest_id=-1430647&dest_type=city&group_adults=3&req_adults=3&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=price&nflt=class%3D4%3Bclass%3D3%3Bht_id%3D204&srpvid=7ca0968468bb0593&srepoch=1719350668&all_sr_blocks=548104903_198375003_0_42_0&highlighted_blocks=548104903_198375003_0_42_0&matching_block_id=548104903_198375003_0_42_0&sr_pri_blocks=548104903_198375003_0_42_0__75240&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Grenoble,Residhotel Grenette,$846,Scored 7.5,"2,120 reviews",https://www.booking.com/hotel/fr/le-royal-grenoble.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAExuAEHyAEP2AEB6AEB-AECiAIBqAIDuALd6uyzBsACAdICJDI5Nzk1MmNiLWIwYWItNDRkMS1hM2U5LWFjNzdjODdlMGRmOdgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-28&dest_id=-1430647&dest_type=city&group_adults=3&req_adults=3&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=price&nflt=class%3D4%3Bclass%3D3%3Bht_id%3D204&srpvid=7ca0968468bb0593&srepoch=1719350668&all_sr_blocks=5476802_99592304_4_2_0&highlighted_blocks=5476802_99592304_4_2_0&matching_block_id=5476802_99592304_4_2_0&sr_pri_blocks=5476802_99592304_4_2_0__78800&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Grenoble,Residhotel Le Central'Gare,$936,Scored 8.1,476 reviews,https://www.booking.com/hotel/fr/residhotel-le-central-gare.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAExuAEHyAEP2AEB6AEB-AECiAIBqAIDuALd6uyzBsACAdICJDI5Nzk1MmNiLWIwYWItNDRkMS1hM2U5LWFjNzdjODdlMGRmOdgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-28&dest_id=-1430647&dest_type=city&group_adults=3&req_adults=3&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=price&nflt=class%3D4%3Bclass%3D3%3Bht_id%3D204&srpvid=7ca0968468bb0593&srepoch=1719350668&all_sr_blocks=5417102_99592111_4_2_0&highlighted_blocks=5417102_99592111_4_2_0&matching_block_id=5417102_99592111_4_2_0&sr_pri_blocks=5417102_99592111_4_2_0__87200&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Grenoble,Novotel Grenoble Centre,$949,Scored 7.7,"1,606 reviews",https://www.booking.com/hotel/fr/grenoble-centre.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAExuAEHyAEP2AEB6AEB-AECiAIBqAIDuALd6uyzBsACAdICJDI5Nzk1MmNiLWIwYWItNDRkMS1hM2U5LWFjNzdjODdlMGRmOdgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-28&dest_id=-1430647&dest_type=city&group_adults=3&req_adults=3&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=price&nflt=class%3D4%3Bclass%3D3%3Bht_id%3D204&srpvid=7ca0968468bb0593&srepoch=1719350668&all_sr_blocks=5721904_94275869_3_42_0&highlighted_blocks=5721904_94275869_3_42_0&matching_block_id=5721904_94275869_3_42_0&sr_pri_blocks=5721904_94275869_3_42_0__88407&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Grenoble,ibis Grenoble Gare,"$1,277",Scored 7.4,"1,273 reviews",https://www.booking.com/hotel/fr/ibis-grenoble-gare.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAExuAEHyAEP2AEB6AEB-AECiAIBqAIDuALd6uyzBsACAdICJDI5Nzk1MmNiLWIwYWItNDRkMS1hM2U5LWFjNzdjODdlMGRmOdgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-28&dest_id=-1430647&dest_type=city&group_adults=3&req_adults=3&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=price&nflt=class%3D4%3Bclass%3D3%3Bht_id%3D204&srpvid=7ca0968468bb0593&srepoch=1719350668&all_sr_blocks=59906802_94497011_2_2_0%2C59906802_94497011_2_2_0&highlighted_blocks=59906802_94497011_2_2_0%2C59906802_94497011_2_2_0&matching_block_id=59906802_94497011_2_2_0&sr_pri_blocks=59906802_94497011_2_2_0__59496%2C59906802_94497011_2_2_0__59496&from=searchresults#hotelTmpl
Grenoble,Mercure Grenoble Centre Alpotel,"$1,500",Scored 7.4,380 reviews,https://www.booking.com/hotel/fr/mercure-grenoble-centre-alpotel.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAExuAEHyAEP2AEB6AEB-AECiAIBqAIDuALd6uyzBsACAdICJDI5Nzk1MmNiLWIwYWItNDRkMS1hM2U5LWFjNzdjODdlMGRmOdgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-28&dest_id=-1430647&dest_type=city&group_adults=3&req_adults=3&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=price&nflt=class%3D4%3Bclass%3D3%3Bht_id%3D204&srpvid=7ca0968468bb0593&srepoch=1719350668&all_sr_blocks=5703103_94274947_2_34_0%2C5703103_94274947_2_34_0&highlighted_blocks=5703103_94274947_2_34_0%2C5703103_94274947_2_34_0&matching_block_id=5703103_94274947_2_34_0&sr_pri_blocks=5703103_94274947_2_34_0__69920%2C5703103_94274947_2_34_0__69920&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
