city,name,hotel_prices,rating,number of review,hotel_link
La Rochelle,Séjours &amp; Affaires La Rochelle Les Minimes,$795,Scored 7.6,917 reviews,https://www.booking.com/hotel/fr/residence-les-minimes.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAExuAEHyAEP2AEB6AEB-AECiAIBqAIDuAK5-eyzBsACAdICJDZjZjU4YTU2LWU4MTAtNDVlYS05MDI2LTdlZDBjMGQwZmIwMtgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-28&dest_id=-1438604&dest_type=city&group_adults=3&req_adults=3&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=price&nflt=class%3D3%3Bclass%3D4%3Bclass%3D5%3Bht_id%3D204&srpvid=1a219a303f1a0120&srepoch=1719352549&all_sr_blocks=5367105_262917814_3_2_0&highlighted_blocks=5367105_262917814_3_2_0&matching_block_id=5367105_262917814_3_2_0&sr_pri_blocks=5367105_262917814_3_2_0__74100&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
La Rochelle,Résidence Pierre &amp; Vacances Centre,"$1,074",Scored 7.5,"1,389 reviews",https://www.booking.com/hotel/fr/pierre-vacances-centre.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAExuAEHyAEP2AEB6AEB-AECiAIBqAIDuAK5-eyzBsACAdICJDZjZjU4YTU2LWU4MTAtNDVlYS05MDI2LTdlZDBjMGQwZmIwMtgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-28&dest_id=-1438604&dest_type=city&group_adults=3&req_adults=3&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=price&nflt=class%3D3%3Bclass%3D4%3Bclass%3D5%3Bht_id%3D204&srpvid=1a219a303f1a0120&srepoch=1719352549&all_sr_blocks=5171509_258598758_4_0_0&highlighted_blocks=5171509_258598758_4_0_0&matching_block_id=5171509_258598758_4_0_0&sr_pri_blocks=5171509_258598758_4_0_0__100079&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
La Rochelle,Logis Hôtel Le Rochelois,"$1,275",Scored 7.8,"3,322 reviews",https://www.booking.com/hotel/fr/le-rochelois.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAExuAEHyAEP2AEB6AEB-AECiAIBqAIDuAK5-eyzBsACAdICJDZjZjU4YTU2LWU4MTAtNDVlYS05MDI2LTdlZDBjMGQwZmIwMtgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-28&dest_id=-1438604&dest_type=city&group_adults=3&req_adults=3&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=price&nflt=class%3D3%3Bclass%3D4%3Bclass%3D5%3Bht_id%3D204&srpvid=1a219a303f1a0120&srepoch=1719352549&all_sr_blocks=63305705_88860926_3_2_0&highlighted_blocks=63305705_88860926_3_2_0&matching_block_id=63305705_88860926_3_2_0&sr_pri_blocks=63305705_88860926_3_2_0__118800&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
La Rochelle,ibis La Rochelle Vieux Port,"$1,276",Scored 8.2,"1,711 reviews",https://www.booking.com/hotel/fr/ibis-la-rochelle-vieux-port.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAExuAEHyAEP2AEB6AEB-AECiAIBqAIDuAK5-eyzBsACAdICJDZjZjU4YTU2LWU4MTAtNDVlYS05MDI2LTdlZDBjMGQwZmIwMtgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-28&dest_id=-1438604&dest_type=city&group_adults=3&req_adults=3&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=price&nflt=class%3D3%3Bclass%3D4%3Bclass%3D5%3Bht_id%3D204&srpvid=1a219a303f1a0120&srepoch=1719352549&all_sr_blocks=54374307_94489096_3_2_0&highlighted_blocks=54374307_94489096_3_2_0&matching_block_id=54374307_94489096_3_2_0&sr_pri_blocks=54374307_94489096_3_2_0__118912&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
La Rochelle,Hotel Les Rosiers,"$1,331",Scored 7.1,249 reviews,https://www.booking.com/hotel/fr/lesrosiers.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAExuAEHyAEP2AEB6AEB-AECiAIBqAIDuAK5-eyzBsACAdICJDZjZjU4YTU2LWU4MTAtNDVlYS05MDI2LTdlZDBjMGQwZmIwMtgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-28&dest_id=-1438604&dest_type=city&group_adults=3&req_adults=3&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=price&nflt=class%3D3%3Bclass%3D4%3Bclass%3D5%3Bht_id%3D204&srpvid=1a219a303f1a0120&srepoch=1719352549&all_sr_blocks=884205402_360617162_2_2_0%2C884205405_360617162_1_2_0&highlighted_blocks=884205402_360617162_2_2_0%2C884205405_360617162_1_2_0&matching_block_id=884205402_360617162_2_2_0&sr_pri_blocks=884205402_360617162_2_2_0__64000%2C884205405_360617162_1_2_0__60000&from=searchresults#hotelTmpl
La Rochelle,Hôtel La Fabrique,"$1,401",Scored 8.4,"2,483 reviews",https://www.booking.com/hotel/fr/la-fabrique-la-rochelle.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAExuAEHyAEP2AEB6AEB-AECiAIBqAIDuAK5-eyzBsACAdICJDZjZjU4YTU2LWU4MTAtNDVlYS05MDI2LTdlZDBjMGQwZmIwMtgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-28&dest_id=-1438604&dest_type=city&group_adults=3&req_adults=3&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=price&nflt=class%3D3%3Bclass%3D4%3Bclass%3D5%3Bht_id%3D204&srpvid=1a219a303f1a0120&srepoch=1719352549&all_sr_blocks=252179704_103732124_0_2_0&highlighted_blocks=252179704_103732124_0_2_0&matching_block_id=252179704_103732124_0_2_0&sr_pri_blocks=252179704_103732124_0_2_0__130600&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
La Rochelle,Kyriad La Rochelle Centre - Les Minimes,"$1,445",Scored 8.1,"2,360 reviews",https://www.booking.com/hotel/fr/kyriad-la-rochelle-centre-les-minimes-xml.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAExuAEHyAEP2AEB6AEB-AECiAIBqAIDuAK5-eyzBsACAdICJDZjZjU4YTU2LWU4MTAtNDVlYS05MDI2LTdlZDBjMGQwZmIwMtgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-28&dest_id=-1438604&dest_type=city&group_adults=3&req_adults=3&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=price&nflt=class%3D3%3Bclass%3D4%3Bclass%3D5%3Bht_id%3D204&srpvid=1a219a303f1a0120&srepoch=1719352549&all_sr_blocks=50003901_371225990_0_2_0%2C50003901_371225990_0_2_0&highlighted_blocks=50003901_371225990_0_2_0%2C50003901_371225990_0_2_0&matching_block_id=50003901_371225990_0_2_0&sr_pri_blocks=50003901_371225990_0_2_0__67320%2C50003901_371225990_0_2_0__67320&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
La Rochelle,Hotel Inn Design La Rochelle,"$1,459",Scored 7.9,594 reviews,https://www.booking.com/hotel/fr/inn-design.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAExuAEHyAEP2AEB6AEB-AECiAIBqAIDuAK5-eyzBsACAdICJDZjZjU4YTU2LWU4MTAtNDVlYS05MDI2LTdlZDBjMGQwZmIwMtgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-28&dest_id=-1438604&dest_type=city&group_adults=3&req_adults=3&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=price&nflt=class%3D3%3Bclass%3D4%3Bclass%3D5%3Bht_id%3D204&srpvid=1a219a303f1a0120&srepoch=1719352549&all_sr_blocks=86179701_367932018_0_2_0%2C86179701_367932018_0_2_0&highlighted_blocks=86179701_367932018_0_2_0%2C86179701_367932018_0_2_0&matching_block_id=86179701_367932018_0_2_0&sr_pri_blocks=86179701_367932018_0_2_0__68000%2C86179701_367932018_0_2_0__68000&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
La Rochelle,Hôtel Atlantic,"$1,643",Scored 8.1,"1,197 reviews",https://www.booking.com/hotel/fr/atlantic-la-rochelle.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAExuAEHyAEP2AEB6AEB-AECiAIBqAIDuAK5-eyzBsACAdICJDZjZjU4YTU2LWU4MTAtNDVlYS05MDI2LTdlZDBjMGQwZmIwMtgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-28&dest_id=-1438604&dest_type=city&group_adults=3&req_adults=3&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=price&nflt=class%3D3%3Bclass%3D4%3Bclass%3D5%3Bht_id%3D204&srpvid=1a219a303f1a0120&srepoch=1719352549&all_sr_blocks=24464206_388185580_4_2_0&highlighted_blocks=24464206_388185580_4_2_0&matching_block_id=24464206_388185580_4_2_0&sr_pri_blocks=24464206_388185580_4_2_0__153100&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
La Rochelle,ibis La Rochelle Centre Historique,"$1,798",Scored 7.7,"1,118 reviews",https://www.booking.com/hotel/fr/ibis-la-rochelle-vieille-ville.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAExuAEHyAEP2AEB6AEB-AECiAIBqAIDuAK5-eyzBsACAdICJDZjZjU4YTU2LWU4MTAtNDVlYS05MDI2LTdlZDBjMGQwZmIwMtgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-28&dest_id=-1438604&dest_type=city&group_adults=3&req_adults=3&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=price&nflt=class%3D3%3Bclass%3D4%3Bclass%3D5%3Bht_id%3D204&srpvid=1a219a303f1a0120&srepoch=1719352549&all_sr_blocks=54903502_94490642_2_2_0%2C54903502_94490642_2_2_0&highlighted_blocks=54903502_94490642_2_2_0%2C54903502_94490642_2_2_0&matching_block_id=54903502_94490642_2_2_0&sr_pri_blocks=54903502_94490642_2_2_0__83781%2C54903502_94490642_2_2_0__83781&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
