city,name,hotel_prices,rating,number of review,hotel_link
Le Havre,Birgit Hôtel Le Havre Centre,$595,Scored 8.3,"1,341 reviews",https://www.booking.com/hotel/fr/kyriadlehavrecentre.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAExuAEHyAEP2AEB6AEB-AECiAIBqAIDuAL_4eyzBsACAdICJDAzMmY0ZTQ2LThmNjYtNDEwYy05YzQyLWYyMTViNzJkYWMwYtgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-28&dest_id=-1441598&dest_type=city&group_adults=3&req_adults=3&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=price&nflt=class%3D3%3Bclass%3D4%3Bht_id%3D204&srpvid=33409451cf7800ff&srepoch=1719349545&all_sr_blocks=5193907_394523863_0_2_0&highlighted_blocks=5193907_394523863_0_2_0&matching_block_id=5193907_394523863_0_2_0&sr_pri_blocks=5193907_394523863_0_2_0__55474&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Le Havre,ibis Le Havre Centre,$753,Scored 8.0,"2,199 reviews",https://www.booking.com/hotel/fr/hotelibislehavre.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAExuAEHyAEP2AEB6AEB-AECiAIBqAIDuAL_4eyzBsACAdICJDAzMmY0ZTQ2LThmNjYtNDEwYy05YzQyLWYyMTViNzJkYWMwYtgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-28&dest_id=-1441598&dest_type=city&group_adults=3&req_adults=3&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=price&nflt=class%3D3%3Bclass%3D4%3Bht_id%3D204&srpvid=33409451cf7800ff&srepoch=1719349545&all_sr_blocks=21358910_94349077_4_1_0&highlighted_blocks=21358910_94349077_4_1_0&matching_block_id=21358910_94349077_4_1_0&sr_pri_blocks=21358910_94349077_4_1_0__70172&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Le Havre,All Suites Appart Hotel Le Havre,$805,Scored 8.6,939 reviews,https://www.booking.com/hotel/fr/all-suites-appart-le-havre.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAExuAEHyAEP2AEB6AEB-AECiAIBqAIDuAL_4eyzBsACAdICJDAzMmY0ZTQ2LThmNjYtNDEwYy05YzQyLWYyMTViNzJkYWMwYtgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-28&dest_id=-1441598&dest_type=city&group_adults=3&req_adults=3&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=price&nflt=class%3D3%3Bclass%3D4%3Bht_id%3D204&srpvid=33409451cf7800ff&srepoch=1719349545&all_sr_blocks=1054936909_378453684_3_2_0&highlighted_blocks=1054936909_378453684_3_2_0&matching_block_id=1054936909_378453684_3_2_0&sr_pri_blocks=1054936909_378453684_3_2_0__74992&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Le Havre,Aparthotel Adagio Access Le Havre Les Docks,$871,Scored 8.3,921 reviews,https://www.booking.com/hotel/fr/adagio-access-le-havre-les-docks.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAExuAEHyAEP2AEB6AEB-AECiAIBqAIDuAL_4eyzBsACAdICJDAzMmY0ZTQ2LThmNjYtNDEwYy05YzQyLWYyMTViNzJkYWMwYtgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-28&dest_id=-1441598&dest_type=city&group_adults=3&req_adults=3&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=price&nflt=class%3D3%3Bclass%3D4%3Bht_id%3D204&srpvid=33409451cf7800ff&srepoch=1719349545&all_sr_blocks=58503204_94495718_4_2_0&highlighted_blocks=58503204_94495718_4_2_0&matching_block_id=58503204_94495718_4_2_0&sr_pri_blocks=58503204_94495718_4_2_0__81180&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Le Havre,Lh Rooms Location,$906,Scored 6.6,791 reviews,https://www.booking.com/hotel/fr/lh-rooms-location.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAExuAEHyAEP2AEB6AEB-AECiAIBqAIDuAL_4eyzBsACAdICJDAzMmY0ZTQ2LThmNjYtNDEwYy05YzQyLWYyMTViNzJkYWMwYtgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-28&dest_id=-1441598&dest_type=city&group_adults=3&req_adults=3&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=price&nflt=class%3D3%3Bclass%3D4%3Bht_id%3D204&srpvid=33409451cf7800ff&srepoch=1719349545&all_sr_blocks=719228809_306633020_2_0_0%2C719228808_306633020_2_0_0&highlighted_blocks=719228809_306633020_2_0_0%2C719228808_306633020_2_0_0&matching_block_id=719228809_306633020_2_0_0&sr_pri_blocks=719228809_306633020_2_0_0__42234%2C719228808_306633020_2_0_0__42234&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Le Havre,Novotel Le Havre Centre Gare,$918,Scored 8.0,907 reviews,https://www.booking.com/hotel/fr/novotellehavre.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAExuAEHyAEP2AEB6AEB-AECiAIBqAIDuAL_4eyzBsACAdICJDAzMmY0ZTQ2LThmNjYtNDEwYy05YzQyLWYyMTViNzJkYWMwYtgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-28&dest_id=-1441598&dest_type=city&group_adults=3&req_adults=3&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=price&nflt=class%3D3%3Bclass%3D4%3Bht_id%3D204&srpvid=33409451cf7800ff&srepoch=1719349545&all_sr_blocks=5193825_94272499_3_34_0&highlighted_blocks=5193825_94272499_3_34_0&matching_block_id=5193825_94272499_3_34_0&sr_pri_blocks=5193825_94272499_3_34_0__85592&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Le Havre,Odalys City Le Havre Centre Gare,$926,Scored 8.6,"1,100 reviews",https://www.booking.com/hotel/fr/odalys-city-le-havre-centre-gare.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAExuAEHyAEP2AEB6AEB-AECiAIBqAIDuAL_4eyzBsACAdICJDAzMmY0ZTQ2LThmNjYtNDEwYy05YzQyLWYyMTViNzJkYWMwYtgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-28&dest_id=-1441598&dest_type=city&group_adults=3&req_adults=3&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=price&nflt=class%3D3%3Bclass%3D4%3Bht_id%3D204&srpvid=33409451cf7800ff&srepoch=1719349545&all_sr_blocks=867266502_355203425_0_2_0&highlighted_blocks=867266502_355203425_0_2_0&matching_block_id=867266502_355203425_0_2_0&sr_pri_blocks=867266502_355203425_0_2_0__86256&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Le Havre,Odalys City Le Havre Centre Les Docks,$933,Scored 8.6,"1,061 reviews",https://www.booking.com/hotel/fr/odalys-city-le-havre-centre-les-docks.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAExuAEHyAEP2AEB6AEB-AECiAIBqAIDuAL_4eyzBsACAdICJDAzMmY0ZTQ2LThmNjYtNDEwYy05YzQyLWYyMTViNzJkYWMwYtgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-28&dest_id=-1441598&dest_type=city&group_adults=3&req_adults=3&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=price&nflt=class%3D3%3Bclass%3D4%3Bht_id%3D204&srpvid=33409451cf7800ff&srepoch=1719349545&all_sr_blocks=1012728802_373954739_0_2_0&highlighted_blocks=1012728802_373954739_0_2_0&matching_block_id=1012728802_373954739_0_2_0&sr_pri_blocks=1012728802_373954739_0_2_0__86960&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Le Havre,Résidence Hôtelière de l'Estuaire,$993,Scored 7.1,237 reviews,https://www.booking.com/hotel/fr/residence-hoteliere-de-l-estuaire.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAExuAEHyAEP2AEB6AEB-AECiAIBqAIDuAL_4eyzBsACAdICJDAzMmY0ZTQ2LThmNjYtNDEwYy05YzQyLWYyMTViNzJkYWMwYtgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-28&dest_id=-1441598&dest_type=city&group_adults=3&req_adults=3&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=price&nflt=class%3D3%3Bclass%3D4%3Bht_id%3D204&srpvid=33409451cf7800ff&srepoch=1719349545&all_sr_blocks=253862703_103936599_2_0_0%2C253862703_103936599_2_0_0&highlighted_blocks=253862703_103936599_2_0_0%2C253862703_103936599_2_0_0&matching_block_id=253862703_103936599_2_0_0&sr_pri_blocks=253862703_103936599_2_0_0__46267%2C253862703_103936599_2_0_0__46267&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Le Havre,Smart Appart Le Havre 105,"$1,112",Scored 8.1,20 reviews,https://www.booking.com/hotel/fr/smart-appart-le-havre-105.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAExuAEHyAEP2AEB6AEB-AECiAIBqAIDuAL_4eyzBsACAdICJDAzMmY0ZTQ2LThmNjYtNDEwYy05YzQyLWYyMTViNzJkYWMwYtgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-28&dest_id=-1441598&dest_type=city&group_adults=3&req_adults=3&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=price&nflt=class%3D3%3Bclass%3D4%3Bht_id%3D204&srpvid=33409451cf7800ff&srepoch=1719349545&all_sr_blocks=1192599201_391556777_2_0_0%2C1192599201_391556777_2_0_0&highlighted_blocks=1192599201_391556777_2_0_0%2C1192599201_391556777_2_0_0&matching_block_id=1192599201_391556777_2_0_0&sr_pri_blocks=1192599201_391556777_2_0_0__51840%2C1192599201_391556777_2_0_0__51840&from=searchresults#hotelTmpl
