city,name,hotel_prices,rating,number of review,hotel_link
Le Mont Saint Michel,Hôtel la Croix Blanche,"$2,618",Scored 7.8,624 reviews,https://www.booking.com/hotel/fr/ha-el-la-croix-blanche.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAExuAEHyAEP2AEB6AEB-AECiAIBqAIDuAK83-yzBsACAdICJDNkNGJlMjM0LWMwZjItNDIxMS04ZTRjLWFkM2I2YjQ1MzBhONgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-28&dest_id=900039327&dest_type=city&group_adults=3&req_adults=3&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=price&nflt=class%3D3%3Bclass%3D4%3Bclass%3D5%3Bht_id%3D204&srpvid=c68793bf524a00c5&srepoch=1719349254&all_sr_blocks=47546802_372743593_0_0_0&highlighted_blocks=47546802_372743593_0_0_0&matching_block_id=47546802_372743593_0_0_0&sr_pri_blocks=47546802_372743593_0_0_0__244000&from_sustainable_property_sr=1&from=searchresults
Le Mont Saint Michel,Mercure Mont Saint Michel,"$2,707",Scored 8.2,"4,338 reviews",https://www.booking.com/hotel/fr/mont-saint-michel.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAExuAEHyAEP2AEB6AEB-AECiAIBqAIDuAK83-yzBsACAdICJDNkNGJlMjM0LWMwZjItNDIxMS04ZTRjLWFkM2I2YjQ1MzBhONgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-28&dest_id=900039327&dest_type=city&group_adults=3&req_adults=3&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=price&nflt=class%3D3%3Bclass%3D4%3Bclass%3D5%3Bht_id%3D204&srpvid=c68793bf524a00c5&srepoch=1719349254&all_sr_blocks=5717604_94275705_2_2_0%2C5717604_94275705_1_2_0&highlighted_blocks=5717604_94275705_2_2_0%2C5717604_94275705_1_2_0&matching_block_id=5717604_94275705_2_2_0&sr_pri_blocks=5717604_94275705_2_2_0__128219%2C5717604_94275705_1_2_0__124040&from_sustainable_property_sr=1&from=searchresults
Le Mont Saint Michel,Le Relais Du Roy,"$3,136",Scored 8.1,"1,763 reviews",https://www.booking.com/hotel/fr/le-relais-du-roy.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAExuAEHyAEP2AEB6AEB-AECiAIBqAIDuAK83-yzBsACAdICJDNkNGJlMjM0LWMwZjItNDIxMS04ZTRjLWFkM2I2YjQ1MzBhONgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-28&dest_id=900039327&dest_type=city&group_adults=3&req_adults=3&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=price&nflt=class%3D3%3Bclass%3D4%3Bclass%3D5%3Bht_id%3D204&srpvid=c68793bf524a00c5&srepoch=1719349254&all_sr_blocks=5356008_369541953_0_2_0%2C5356008_369541953_0_2_0&highlighted_blocks=5356008_369541953_0_2_0%2C5356008_369541953_0_2_0&matching_block_id=5356008_369541953_0_2_0&sr_pri_blocks=5356008_369541953_0_2_0__146110%2C5356008_369541953_0_2_0__146110&from_sustainable_property_sr=1&from=searchresults
Le Mont Saint Michel,Auberge Saint Pierre,"$3,348",Scored 8.1,"1,142 reviews",https://www.booking.com/hotel/fr/auberge-saint-pierre.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAExuAEHyAEP2AEB6AEB-AECiAIBqAIDuAK83-yzBsACAdICJDNkNGJlMjM0LWMwZjItNDIxMS04ZTRjLWFkM2I2YjQ1MzBhONgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-28&dest_id=900039327&dest_type=city&group_adults=3&req_adults=3&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=price&nflt=class%3D3%3Bclass%3D4%3Bclass%3D5%3Bht_id%3D204&srpvid=c68793bf524a00c5&srepoch=1719349254&all_sr_blocks=5721303_372743567_0_2_0&highlighted_blocks=5721303_372743567_0_2_0&matching_block_id=5721303_372743567_0_2_0&sr_pri_blocks=5721303_372743567_0_2_0__312000&from=searchresults
Le Mont Saint Michel,Le Relais Saint Michel,"$8,138",Scored 8.0,"4,797 reviews",https://www.booking.com/hotel/fr/le-relais-saint-michel.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAExuAEHyAEP2AEB6AEB-AECiAIBqAIDuAK83-yzBsACAdICJDNkNGJlMjM0LWMwZjItNDIxMS04ZTRjLWFkM2I2YjQ1MzBhONgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-28&dest_id=900039327&dest_type=city&group_adults=3&req_adults=3&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=price&nflt=class%3D3%3Bclass%3D4%3Bclass%3D5%3Bht_id%3D204&srpvid=c68793bf524a00c5&srepoch=1719349254&all_sr_blocks=23079515_93716278_0_1_0%2C23079515_93716278_0_1_0&highlighted_blocks=23079515_93716278_0_1_0%2C23079515_93716278_0_1_0&matching_block_id=23079515_93716278_0_1_0&sr_pri_blocks=23079515_93716278_0_1_0__379200%2C23079515_93716278_0_1_0__379200&from_sustainable_property_sr=1&from=searchresults
Le Mont Saint Michel,Vacancéole - Le Domaine du Mont - Mont St Michel,$752,Scored 7.2,604 reviews,https://www.booking.com/hotel/fr/et-residence-club-mmv-le-domaine-du-mont.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAExuAEHyAEP2AEB6AEB-AECiAIBqAIDuAK83-yzBsACAdICJDNkNGJlMjM0LWMwZjItNDIxMS04ZTRjLWFkM2I2YjQ1MzBhONgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-28&dest_id=900039327&dest_type=city&group_adults=3&req_adults=3&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=price&nflt=class%3D3%3Bclass%3D4%3Bclass%3D5%3Bht_id%3D204&srpvid=c68793bf524a00c5&srepoch=1719349254&all_sr_blocks=37173811_343770889_0_2_0&highlighted_blocks=37173811_343770889_0_2_0&matching_block_id=37173811_343770889_0_2_0&sr_pri_blocks=37173811_343770889_0_2_0__70085&from_sustainable_property_sr=1&from=searchresults
Le Mont Saint Michel,"Manoir de la Roche Torin, The Originals Relais (Relais du Silence)","$1,914",Scored 8.1,671 reviews,https://www.booking.com/hotel/fr/le-manoir-de-la-roche-torin.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAExuAEHyAEP2AEB6AEB-AECiAIBqAIDuAK83-yzBsACAdICJDNkNGJlMjM0LWMwZjItNDIxMS04ZTRjLWFkM2I2YjQ1MzBhONgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-28&dest_id=900039327&dest_type=city&group_adults=3&req_adults=3&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=price&nflt=class%3D3%3Bclass%3D4%3Bclass%3D5%3Bht_id%3D204&srpvid=c68793bf524a00c5&srepoch=1719349254&all_sr_blocks=50322105_193830035_0_42_0&highlighted_blocks=50322105_193830035_0_42_0&matching_block_id=50322105_193830035_0_42_0&sr_pri_blocks=50322105_193830035_0_42_0__178400&from_sustainable_property_sr=1&from=searchresults
Le Mont Saint Michel,"The Originals Boutique, Hôtel Les Quatre Salines, Le Mont Saint-Michel Sud (Inter-Hotel)","$1,925",Scored 7.7,943 reviews,https://www.booking.com/hotel/fr/lessalines.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAExuAEHyAEP2AEB6AEB-AECiAIBqAIDuAK83-yzBsACAdICJDNkNGJlMjM0LWMwZjItNDIxMS04ZTRjLWFkM2I2YjQ1MzBhONgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-28&dest_id=900039327&dest_type=city&group_adults=3&req_adults=3&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=price&nflt=class%3D3%3Bclass%3D4%3Bclass%3D5%3Bht_id%3D204&srpvid=c68793bf524a00c5&srepoch=1719349254&all_sr_blocks=5186515_380479086_2_34_0%2C5186514_380479086_0_34_0&highlighted_blocks=5186515_380479086_2_34_0%2C5186514_380479086_0_34_0&matching_block_id=5186515_380479086_2_34_0&sr_pri_blocks=5186515_380479086_2_34_0__87400%2C5186514_380479086_0_34_0__92000&from_sustainable_property_sr=1&from=searchresults
Le Mont Saint Michel,Ermitage - Mont-Saint-Michel,"$7,826",Scored 8.5,218 reviews,https://www.booking.com/hotel/fr/ermitage-mont-saint-michel-beauvoir.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAExuAEHyAEP2AEB6AEB-AECiAIBqAIDuAK83-yzBsACAdICJDNkNGJlMjM0LWMwZjItNDIxMS04ZTRjLWFkM2I2YjQ1MzBhONgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-28&dest_id=900039327&dest_type=city&group_adults=3&req_adults=3&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=price&nflt=class%3D3%3Bclass%3D4%3Bclass%3D5%3Bht_id%3D204&srpvid=c68793bf524a00c5&srepoch=1719349254&all_sr_blocks=735353106_370792090_3_42_0_136349&highlighted_blocks=735353106_370792090_3_42_0_136349&matching_block_id=735353106_370792090_3_42_0_136349&sr_pri_blocks=735353106_370792090_3_42_0_136349_729385&from_sustainable_property_sr=1&from=searchresults
Le Mont Saint Michel,Ducey Appart'Hôtel - Les Rivières,"$1,197",Scored 9.3,22 reviews,https://www.booking.com/hotel/fr/ducey-appart-les-rivieres.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAExuAEHyAEP2AEB6AEB-AECiAIBqAIDuAK83-yzBsACAdICJDNkNGJlMjM0LWMwZjItNDIxMS04ZTRjLWFkM2I2YjQ1MzBhONgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-28&dest_id=900039327&dest_type=city&group_adults=3&req_adults=3&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=price&nflt=class%3D3%3Bclass%3D4%3Bclass%3D5%3Bht_id%3D204&srpvid=c68793bf524a00c5&srepoch=1719349254&all_sr_blocks=1175167701_390067786_3_2_0&highlighted_blocks=1175167701_390067786_3_2_0&matching_block_id=1175167701_390067786_3_2_0&sr_pri_blocks=1175167701_390067786_3_2_0__111600&from=searchresults
