city,name,hotel_prices,rating,number of review,hotel_link
Lille,Twenty Business Flats Lille - Bayard,$955,Scored 8.1,465 reviews,https://www.booking.com/hotel/fr/residence-intergenerationnelle-de-lille.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAExuAEHyAEP2AEB6AEB-AECiAIBqAIDuAKd5eyzBsACAdICJDMyZmVlNTg2LWY1NDEtNDJhNi1iMTk2LTIxMzc3ZGYxN2ZiM9gCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-28&dest_id=-1447079&dest_type=city&group_adults=3&req_adults=3&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=price&nflt=class%3D4%3Bclass%3D3%3Bclass%3D5%3Bht_id%3D204&srpvid=bb75951fa99d0058&srepoch=1719349958&all_sr_blocks=915548605_363027639_3_0_0&highlighted_blocks=915548605_363027639_3_0_0&matching_block_id=915548605_363027639_3_0_0&sr_pri_blocks=915548605_363027639_3_0_0__89000&from_sustainable_property_sr=1&from=searchresults
Lille,Aparthotel Adagio Access Lille Vauban,"$1,255",Scored 7.2,"1,140 reviews",https://www.booking.com/hotel/fr/citea-lille-vauban.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAExuAEHyAEP2AEB6AEB-AECiAIBqAIDuAKd5eyzBsACAdICJDMyZmVlNTg2LWY1NDEtNDJhNi1iMTk2LTIxMzc3ZGYxN2ZiM9gCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-28&dest_id=-1447079&dest_type=city&group_adults=3&req_adults=3&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=price&nflt=class%3D4%3Bclass%3D3%3Bclass%3D5%3Bht_id%3D204&srpvid=bb75951fa99d0058&srepoch=1719349958&all_sr_blocks=5547602_94274056_2_2_0%2C5547602_94274056_2_2_0&highlighted_blocks=5547602_94274056_2_2_0%2C5547602_94274056_2_2_0&matching_block_id=5547602_94274056_2_2_0&sr_pri_blocks=5547602_94274056_2_2_0__58500%2C5547602_94274056_2_2_0__58500&from_sustainable_property_sr=1&from=searchresults
Lille,B&amp;B HOTEL Lille Centre Grand Palais,"$1,459",Scored 7.8,"4,633 reviews",https://www.booking.com/hotel/fr/b-b-lille-centre-grand-palais.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAExuAEHyAEP2AEB6AEB-AECiAIBqAIDuAKd5eyzBsACAdICJDMyZmVlNTg2LWY1NDEtNDJhNi1iMTk2LTIxMzc3ZGYxN2ZiM9gCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-28&dest_id=-1447079&dest_type=city&group_adults=3&req_adults=3&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=price&nflt=class%3D4%3Bclass%3D3%3Bclass%3D5%3Bht_id%3D204&srpvid=bb75951fa99d0058&srepoch=1719349958&all_sr_blocks=25461402_88554401_0_40_0%2C25461402_88554401_0_40_0&highlighted_blocks=25461402_88554401_0_40_0%2C25461402_88554401_0_40_0&matching_block_id=25461402_88554401_0_40_0&sr_pri_blocks=25461402_88554401_0_40_0__68000%2C25461402_88554401_0_40_0__68000&from_sustainable_property_sr=1&from=searchresults
Lille,Residhotel Lille Vauban,"$1,513",Scored 7.6,"1,902 reviews",https://www.booking.com/hotel/fr/residhotel-lille-vauban.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAExuAEHyAEP2AEB6AEB-AECiAIBqAIDuAKd5eyzBsACAdICJDMyZmVlNTg2LWY1NDEtNDJhNi1iMTk2LTIxMzc3ZGYxN2ZiM9gCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-28&dest_id=-1447079&dest_type=city&group_adults=3&req_adults=3&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=price&nflt=class%3D4%3Bclass%3D3%3Bclass%3D5%3Bht_id%3D204&srpvid=bb75951fa99d0058&srepoch=1719349958&all_sr_blocks=18029301_88532552_2_2_0%2C18029301_88532552_2_2_0&highlighted_blocks=18029301_88532552_2_2_0%2C18029301_88532552_2_2_0&matching_block_id=18029301_88532552_2_2_0&sr_pri_blocks=18029301_88532552_2_2_0__70500%2C18029301_88532552_2_2_0__70500&from_sustainable_property_sr=1&from=searchresults
Lille,Hotel Art Deco Euralille,"$1,605",Scored 7.6,"2,865 reviews",https://www.booking.com/hotel/fr/hotelsrtdecoromarinlille.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAExuAEHyAEP2AEB6AEB-AECiAIBqAIDuAKd5eyzBsACAdICJDMyZmVlNTg2LWY1NDEtNDJhNi1iMTk2LTIxMzc3ZGYxN2ZiM9gCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-28&dest_id=-1447079&dest_type=city&group_adults=3&req_adults=3&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=price&nflt=class%3D4%3Bclass%3D3%3Bclass%3D5%3Bht_id%3D204&srpvid=bb75951fa99d0058&srepoch=1719349958&all_sr_blocks=5133806_88554383_2_2_0%2C5133806_88554383_2_2_0&highlighted_blocks=5133806_88554383_2_2_0%2C5133806_88554383_2_2_0&matching_block_id=5133806_88554383_2_2_0&sr_pri_blocks=5133806_88554383_2_2_0__74800%2C5133806_88554383_2_2_0__74800&from_sustainable_property_sr=1&from=searchresults
Lille,CALM Appart' &amp; Hostel,"$1,646",Scored 8.1,"3,520 reviews",https://www.booking.com/hotel/fr/calm-apparthotel.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAExuAEHyAEP2AEB6AEB-AECiAIBqAIDuAKd5eyzBsACAdICJDMyZmVlNTg2LWY1NDEtNDJhNi1iMTk2LTIxMzc3ZGYxN2ZiM9gCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-28&dest_id=-1447079&dest_type=city&group_adults=3&req_adults=3&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=price&nflt=class%3D4%3Bclass%3D3%3Bclass%3D5%3Bht_id%3D204&srpvid=bb75951fa99d0058&srepoch=1719349958&all_sr_blocks=44286008_91929044_0_42_0%2C44286001_91929044_0_42_0&highlighted_blocks=44286008_91929044_0_42_0%2C44286001_91929044_0_42_0&matching_block_id=44286008_91929044_0_42_0&sr_pri_blocks=44286008_91929044_0_42_0__40860%2C44286001_91929044_0_42_0__112500&from_sustainable_property_sr=1&from=searchresults
Lille,Best Western Urban Hotel,"$1,654",Scored 7.8,"1,653 reviews",https://www.booking.com/hotel/fr/hotel-spa-grand-palais-lille.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAExuAEHyAEP2AEB6AEB-AECiAIBqAIDuAKd5eyzBsACAdICJDMyZmVlNTg2LWY1NDEtNDJhNi1iMTk2LTIxMzc3ZGYxN2ZiM9gCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-28&dest_id=-1447079&dest_type=city&group_adults=3&req_adults=3&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=price&nflt=class%3D4%3Bclass%3D3%3Bclass%3D5%3Bht_id%3D204&srpvid=bb75951fa99d0058&srepoch=1719349958&all_sr_blocks=24317846_88985491_2_34_0%2C24317814_88985491_1_34_0&highlighted_blocks=24317846_88985491_2_34_0%2C24317814_88985491_1_34_0&matching_block_id=24317846_88985491_2_34_0&sr_pri_blocks=24317846_88985491_2_34_0__82937%2C24317814_88985491_1_34_0__71249&from_sustainable_property_sr=1&from=searchresults
Lille,Boa Hotel - BW Signature Collection - Lille Centre Gares,"$1,670",Scored 8.7,"1,678 reviews",https://www.booking.com/hotel/fr/up.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAExuAEHyAEP2AEB6AEB-AECiAIBqAIDuAKd5eyzBsACAdICJDMyZmVlNTg2LWY1NDEtNDJhNi1iMTk2LTIxMzc3ZGYxN2ZiM9gCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-28&dest_id=-1447079&dest_type=city&group_adults=3&req_adults=3&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=price&nflt=class%3D4%3Bclass%3D3%3Bclass%3D5%3Bht_id%3D204&srpvid=bb75951fa99d0058&srepoch=1719349958&all_sr_blocks=24111811_88554399_3_34_0&highlighted_blocks=24111811_88554399_3_34_0&matching_block_id=24111811_88554399_3_34_0&sr_pri_blocks=24111811_88554399_3_34_0__155621&from_sustainable_property_sr=1&from=searchresults
Lille,Best Western Premier Why Hotel,"$1,790",Scored 8.4,"1,831 reviews",https://www.booking.com/hotel/fr/why.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAExuAEHyAEP2AEB6AEB-AECiAIBqAIDuAKd5eyzBsACAdICJDMyZmVlNTg2LWY1NDEtNDJhNi1iMTk2LTIxMzc3ZGYxN2ZiM9gCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-28&dest_id=-1447079&dest_type=city&group_adults=3&req_adults=3&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=price&nflt=class%3D4%3Bclass%3D3%3Bclass%3D5%3Bht_id%3D204&srpvid=bb75951fa99d0058&srepoch=1719349958&all_sr_blocks=42929913_88930001_4_34_0&highlighted_blocks=42929913_88930001_4_34_0&matching_block_id=42929913_88930001_4_34_0&sr_pri_blocks=42929913_88930001_4_34_0__166847&from_sustainable_property_sr=1&from=searchresults
Lille,Hotel Kanaï,"$1,797",Scored 7.9,"1,946 reviews",https://www.booking.com/hotel/fr/k.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAExuAEHyAEP2AEB6AEB-AECiAIBqAIDuAKd5eyzBsACAdICJDMyZmVlNTg2LWY1NDEtNDJhNi1iMTk2LTIxMzc3ZGYxN2ZiM9gCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-28&dest_id=-1447079&dest_type=city&group_adults=3&req_adults=3&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=price&nflt=class%3D4%3Bclass%3D3%3Bclass%3D5%3Bht_id%3D204&srpvid=bb75951fa99d0058&srepoch=1719349958&all_sr_blocks=5411701_88554390_2_2_0%2C5411702_88554390_2_2_0&highlighted_blocks=5411701_88554390_2_2_0%2C5411702_88554390_2_2_0&matching_block_id=5411701_88554390_2_2_0&sr_pri_blocks=5411701_88554390_2_2_0__82300%2C5411702_88554390_2_2_0__85200&from_sustainable_property_sr=1&from=searchresults
