city,name,hotel_prices,rating,number of review,hotel_link
Lyon,Residhome Lyon Gerland,$683,Scored 7.6,"1,667 reviews",https://www.booking.com/hotel/fr/residence-park-avenue.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAExuAEHyAEP2AEB6AEB-AECiAIBqAIDuAKp6-yzBsACAdICJGRjM2ZhZmRkLTRjNGEtNDBjZi1iZTBiLTUzMDcxOGY0OWZlYtgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-28&dest_id=-1448468&dest_type=city&group_adults=3&req_adults=3&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=price&nflt=class%3D4%3Bclass%3D3%3Bclass%3D5%3Bht_id%3D204&srpvid=114c96a44bb203ec&srepoch=1719350737&all_sr_blocks=5771402_93700940_4_2_0&highlighted_blocks=5771402_93700940_4_2_0&matching_block_id=5771402_93700940_4_2_0&sr_pri_blocks=5771402_93700940_4_2_0__63630&from=searchresults#hotelTmpl
Lyon,Appart’City Confort Lyon Gerland,$713,Scored 7.5,"1,107 reviews",https://www.booking.com/hotel/fr/park-suites-elegance-lyon-gerland.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAExuAEHyAEP2AEB6AEB-AECiAIBqAIDuAKp6-yzBsACAdICJGRjM2ZhZmRkLTRjNGEtNDBjZi1iZTBiLTUzMDcxOGY0OWZlYtgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-28&dest_id=-1448468&dest_type=city&group_adults=3&req_adults=3&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=price&nflt=class%3D4%3Bclass%3D3%3Bclass%3D5%3Bht_id%3D204&srpvid=114c96a44bb203ec&srepoch=1719350737&all_sr_blocks=23998202_88553930_0_2_0&highlighted_blocks=23998202_88553930_0_2_0&matching_block_id=23998202_88553930_0_2_0&sr_pri_blocks=23998202_88553930_0_2_0__66420&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Lyon,Appart'City Classic Lyon Part-Dieu,$768,Scored 6.4,"1,469 reviews",https://www.booking.com/hotel/fr/parksuitespartdieu.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAExuAEHyAEP2AEB6AEB-AECiAIBqAIDuAKp6-yzBsACAdICJGRjM2ZhZmRkLTRjNGEtNDBjZi1iZTBiLTUzMDcxOGY0OWZlYtgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-28&dest_id=-1448468&dest_type=city&group_adults=3&req_adults=3&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=price&nflt=class%3D4%3Bclass%3D3%3Bclass%3D5%3Bht_id%3D204&srpvid=114c96a44bb203ec&srepoch=1719350737&all_sr_blocks=5144302_88553885_4_34_0&highlighted_blocks=5144302_88553885_4_34_0&matching_block_id=5144302_88553885_4_34_0&sr_pri_blocks=5144302_88553885_4_34_0__71600&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Lyon,Appart'City Classic Lyon Part Dieu Villette,$797,Scored 7.5,"1,664 reviews",https://www.booking.com/hotel/fr/appart-city-cap-affaires-lyon-partdieu.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAExuAEHyAEP2AEB6AEB-AECiAIBqAIDuAKp6-yzBsACAdICJGRjM2ZhZmRkLTRjNGEtNDBjZi1iZTBiLTUzMDcxOGY0OWZlYtgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-28&dest_id=-1448468&dest_type=city&group_adults=3&req_adults=3&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=price&nflt=class%3D4%3Bclass%3D3%3Bclass%3D5%3Bht_id%3D204&srpvid=114c96a44bb203ec&srepoch=1719350737&all_sr_blocks=22870421_93716137_4_2_0&highlighted_blocks=22870421_93716137_4_2_0&matching_block_id=22870421_93716137_4_2_0&sr_pri_blocks=22870421_93716137_4_2_0__74250&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Lyon,Odalys City Lyon Bioparc,$943,Scored 8.1,536 reviews,https://www.booking.com/hotel/fr/residence-hoteliere-bioparc.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAExuAEHyAEP2AEB6AEB-AECiAIBqAIDuAKp6-yzBsACAdICJGRjM2ZhZmRkLTRjNGEtNDBjZi1iZTBiLTUzMDcxOGY0OWZlYtgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-28&dest_id=-1448468&dest_type=city&group_adults=3&req_adults=3&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=price&nflt=class%3D4%3Bclass%3D3%3Bclass%3D5%3Bht_id%3D204&srpvid=114c96a44bb203ec&srepoch=1719350737&all_sr_blocks=5995902_88984997_4_2_0&highlighted_blocks=5995902_88984997_4_2_0&matching_block_id=5995902_88984997_4_2_0&sr_pri_blocks=5995902_88984997_4_2_0__87912&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Lyon,Odalys City Lyon Confluence,$956,Scored 7.3,"2,485 reviews",https://www.booking.com/hotel/fr/appart-ha-tel-odalys-lyon-confluence.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAExuAEHyAEP2AEB6AEB-AECiAIBqAIDuAKp6-yzBsACAdICJGRjM2ZhZmRkLTRjNGEtNDBjZi1iZTBiLTUzMDcxOGY0OWZlYtgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-28&dest_id=-1448468&dest_type=city&group_adults=3&req_adults=3&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=price&nflt=class%3D4%3Bclass%3D3%3Bclass%3D5%3Bht_id%3D204&srpvid=114c96a44bb203ec&srepoch=1719350737&all_sr_blocks=63164403_88553962_4_2_0&highlighted_blocks=63164403_88553962_4_2_0&matching_block_id=63164403_88553962_4_2_0&sr_pri_blocks=63164403_88553962_4_2_0__89136&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Lyon,Lagrange Aparthotel Lyon Lumière,"$1,043",Scored 8.0,"6,216 reviews",https://www.booking.com/hotel/fr/lagrange-city-apartha-tel-lyon-lumia-re.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAExuAEHyAEP2AEB6AEB-AECiAIBqAIDuAKp6-yzBsACAdICJGRjM2ZhZmRkLTRjNGEtNDBjZi1iZTBiLTUzMDcxOGY0OWZlYtgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-28&dest_id=-1448468&dest_type=city&group_adults=3&req_adults=3&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=price&nflt=class%3D4%3Bclass%3D3%3Bclass%3D5%3Bht_id%3D204&srpvid=114c96a44bb203ec&srepoch=1719350737&all_sr_blocks=36540402_88553942_0_2_0&highlighted_blocks=36540402_88553942_0_2_0&matching_block_id=36540402_88553942_0_2_0&sr_pri_blocks=36540402_88553942_0_2_0__97200&from=searchresults#hotelTmpl
Lyon,Appart hôtel Q7 Lodge Lyon 7,"$1,047",Scored 8.0,"1,682 reviews",https://www.booking.com/hotel/fr/quality-suites-lyon-7-lodge.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAExuAEHyAEP2AEB6AEB-AECiAIBqAIDuAKp6-yzBsACAdICJGRjM2ZhZmRkLTRjNGEtNDBjZi1iZTBiLTUzMDcxOGY0OWZlYtgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-28&dest_id=-1448468&dest_type=city&group_adults=3&req_adults=3&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=price&nflt=class%3D4%3Bclass%3D3%3Bclass%3D5%3Bht_id%3D204&srpvid=114c96a44bb203ec&srepoch=1719350737&all_sr_blocks=54512914_94489529_4_2_0&highlighted_blocks=54512914_94489529_4_2_0&matching_block_id=54512914_94489529_4_2_0&sr_pri_blocks=54512914_94489529_4_2_0__97560&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Lyon,Hôtel Maison Lacassagne Lyon,"$1,057",Scored 8.9,"1,146 reviews",https://www.booking.com/hotel/fr/lacassagne.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAExuAEHyAEP2AEB6AEB-AECiAIBqAIDuAKp6-yzBsACAdICJGRjM2ZhZmRkLTRjNGEtNDBjZi1iZTBiLTUzMDcxOGY0OWZlYtgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-28&dest_id=-1448468&dest_type=city&group_adults=3&req_adults=3&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=price&nflt=class%3D4%3Bclass%3D3%3Bclass%3D5%3Bht_id%3D204&srpvid=114c96a44bb203ec&srepoch=1719350737&all_sr_blocks=7846209_88553889_3_2_0&highlighted_blocks=7846209_88553889_3_2_0&matching_block_id=7846209_88553889_3_2_0&sr_pri_blocks=7846209_88553889_3_2_0__98496&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Lyon,Aparthotel Adagio Lyon Patio Confluence,"$1,091",Scored 8.5,"3,389 reviews",https://www.booking.com/hotel/fr/quality-suites-lyon-confluence.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAExuAEHyAEP2AEB6AEB-AECiAIBqAIDuAKp6-yzBsACAdICJGRjM2ZhZmRkLTRjNGEtNDBjZi1iZTBiLTUzMDcxOGY0OWZlYtgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-28&dest_id=-1448468&dest_type=city&group_adults=3&req_adults=3&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=price&nflt=class%3D4%3Bclass%3D3%3Bclass%3D5%3Bht_id%3D204&srpvid=114c96a44bb203ec&srepoch=1719350737&all_sr_blocks=44147715_94466612_3_2_0&highlighted_blocks=44147715_94466612_3_2_0&matching_block_id=44147715_94466612_3_2_0&sr_pri_blocks=44147715_94466612_3_2_0__101700&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
