city,name,hotel_prices,rating,number of review,hotel_link
Marseille,Appart'City Confort Marseille Centre Prado Vélodrome,"$1,271",Scored 7.7,"2,465 reviews",https://www.booking.com/hotel/fr/seven-urban-suites.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAExuAEHyAEP2AEB6AEB-AECiAIBqAIDuAKP7-yzBsACAdICJDc2MmVkZWM4LTQ1ZTYtNGYwZi1hMmY3LTFjZGE1MjA4N2RhYtgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-28&dest_id=-1449947&dest_type=city&group_adults=3&req_adults=3&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=price&nflt=class%3D3%3Bclass%3D4%3Bclass%3D5%3Bht_id%3D204&srpvid=83f697acbd450499&srepoch=1719351261&all_sr_blocks=35955503_88927438_3_2_0&highlighted_blocks=35955503_88927438_3_2_0&matching_block_id=35955503_88927438_3_2_0&sr_pri_blocks=35955503_88927438_3_2_0__118440&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Marseille,Staycity Aparthotels Marseille Centre Vieux Port,"$1,444",Scored 8.5,"1,360 reviews",https://www.booking.com/hotel/fr/staycity-aparthotels-centre-vieux-port.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAExuAEHyAEP2AEB6AEB-AECiAIBqAIDuAKP7-yzBsACAdICJDc2MmVkZWM4LTQ1ZTYtNGYwZi1hMmY3LTFjZGE1MjA4N2RhYtgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-28&dest_id=-1449947&dest_type=city&group_adults=3&req_adults=3&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=price&nflt=class%3D3%3Bclass%3D4%3Bclass%3D5%3Bht_id%3D204&srpvid=83f697acbd450499&srepoch=1719351261&all_sr_blocks=198372802_93980877_3_2_0&highlighted_blocks=198372802_93980877_3_2_0&matching_block_id=198372802_93980877_3_2_0&sr_pri_blocks=198372802_93980877_3_2_0__134568&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Marseille,Résidence Carpe Diem,"$1,597",Scored 7.2,701 reviews,https://www.booking.com/hotel/fr/residence-carpe-diem.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAExuAEHyAEP2AEB6AEB-AECiAIBqAIDuAKP7-yzBsACAdICJDc2MmVkZWM4LTQ1ZTYtNGYwZi1hMmY3LTFjZGE1MjA4N2RhYtgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-28&dest_id=-1449947&dest_type=city&group_adults=3&req_adults=3&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=price&nflt=class%3D3%3Bclass%3D4%3Bclass%3D5%3Bht_id%3D204&srpvid=83f697acbd450499&srepoch=1719351261&all_sr_blocks=170633701_367331471_0_0_0%2C170633701_367331471_0_0_0&highlighted_blocks=170633701_367331471_0_0_0%2C170633701_367331471_0_0_0&matching_block_id=170633701_367331471_0_0_0&sr_pri_blocks=170633701_367331471_0_0_0__74400%2C170633701_367331471_0_0_0__74400&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Marseille,Appart'City Classic Marseille Euromed,"$1,619",Scored 7.5,203 reviews,https://www.booking.com/hotel/fr/appart-city-marseille-euromed.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAExuAEHyAEP2AEB6AEB-AECiAIBqAIDuAKP7-yzBsACAdICJDc2MmVkZWM4LTQ1ZTYtNGYwZi1hMmY3LTFjZGE1MjA4N2RhYtgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-28&dest_id=-1449947&dest_type=city&group_adults=3&req_adults=3&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=price&nflt=class%3D3%3Bclass%3D4%3Bclass%3D5%3Bht_id%3D204&srpvid=83f697acbd450499&srepoch=1719351261&all_sr_blocks=45026401_93756970_0_2_0%2C45026401_93756970_0_2_0&highlighted_blocks=45026401_93756970_0_2_0%2C45026401_93756970_0_2_0&matching_block_id=45026401_93756970_0_2_0&sr_pri_blocks=45026401_93756970_0_2_0__75420%2C45026401_93756970_0_2_0__75420&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Marseille,Aparthotel Adagio Access Marseille Prado Périer,"$1,796",Scored 7.7,"1,847 reviews",https://www.booking.com/hotel/fr/citea-marseille-prado-perier.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAExuAEHyAEP2AEB6AEB-AECiAIBqAIDuAKP7-yzBsACAdICJDc2MmVkZWM4LTQ1ZTYtNGYwZi1hMmY3LTFjZGE1MjA4N2RhYtgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-28&dest_id=-1449947&dest_type=city&group_adults=3&req_adults=3&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=price&nflt=class%3D3%3Bclass%3D4%3Bclass%3D5%3Bht_id%3D204&srpvid=83f697acbd450499&srepoch=1719351261&all_sr_blocks=5343221_94272594_2_2_0%2C5343221_94272594_2_2_0&highlighted_blocks=5343221_94272594_2_2_0%2C5343221_94272594_2_2_0&matching_block_id=5343221_94272594_2_2_0&sr_pri_blocks=5343221_94272594_2_2_0__83700%2C5343221_94272594_2_2_0__83700&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Marseille,Citadines Castellane Marseille,"$1,848",Scored 8.0,"1,909 reviews",https://www.booking.com/hotel/fr/citadines-aparthotel-marseilleprado.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAExuAEHyAEP2AEB6AEB-AECiAIBqAIDuAKP7-yzBsACAdICJDc2MmVkZWM4LTQ1ZTYtNGYwZi1hMmY3LTFjZGE1MjA4N2RhYtgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-28&dest_id=-1449947&dest_type=city&group_adults=3&req_adults=3&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=price&nflt=class%3D3%3Bclass%3D4%3Bclass%3D5%3Bht_id%3D204&srpvid=83f697acbd450499&srepoch=1719351261&all_sr_blocks=21858911_93945031_4_2_0&highlighted_blocks=21858911_93945031_4_2_0&matching_block_id=21858911_93945031_4_2_0&sr_pri_blocks=21858911_93945031_4_2_0__172260&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Marseille,Citadines Prado Chanot Marseille,"$1,888",Scored 8.0,"2,007 reviews",https://www.booking.com/hotel/fr/citadines-aparthotel-marseillepradochanot.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAExuAEHyAEP2AEB6AEB-AECiAIBqAIDuAKP7-yzBsACAdICJDc2MmVkZWM4LTQ1ZTYtNGYwZi1hMmY3LTFjZGE1MjA4N2RhYtgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-28&dest_id=-1449947&dest_type=city&group_adults=3&req_adults=3&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=price&nflt=class%3D3%3Bclass%3D4%3Bclass%3D5%3Bht_id%3D204&srpvid=83f697acbd450499&srepoch=1719351261&all_sr_blocks=65864_93945028_4_2_0&highlighted_blocks=65864_93945028_4_2_0&matching_block_id=65864_93945028_4_2_0&sr_pri_blocks=65864_93945028_4_2_0__175950&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Marseille,Odalys City Marseille Prado Castellane,"$1,983",Scored 7.5,"2,040 reviews",https://www.booking.com/hotel/fr/appart-39-odalys-prado-castellane.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAExuAEHyAEP2AEB6AEB-AECiAIBqAIDuAKP7-yzBsACAdICJDc2MmVkZWM4LTQ1ZTYtNGYwZi1hMmY3LTFjZGE1MjA4N2RhYtgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-28&dest_id=-1449947&dest_type=city&group_adults=3&req_adults=3&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=price&nflt=class%3D3%3Bclass%3D4%3Bclass%3D5%3Bht_id%3D204&srpvid=83f697acbd450499&srepoch=1719351261&all_sr_blocks=144601203_389763694_4_2_0&highlighted_blocks=144601203_389763694_4_2_0&matching_block_id=144601203_389763694_4_2_0&sr_pri_blocks=144601203_389763694_4_2_0__184842&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Marseille,Odalys City Marseille Le Dôme,"$2,012",Scored 6.8,"2,219 reviews",https://www.booking.com/hotel/fr/appart-39-odalys-le-dome.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAExuAEHyAEP2AEB6AEB-AECiAIBqAIDuAKP7-yzBsACAdICJDc2MmVkZWM4LTQ1ZTYtNGYwZi1hMmY3LTFjZGE1MjA4N2RhYtgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-28&dest_id=-1449947&dest_type=city&group_adults=3&req_adults=3&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=price&nflt=class%3D3%3Bclass%3D4%3Bclass%3D5%3Bht_id%3D204&srpvid=83f697acbd450499&srepoch=1719351261&all_sr_blocks=190976301_92902923_2_2_0%2C190976301_92902923_2_2_0&highlighted_blocks=190976301_92902923_2_2_0%2C190976301_92902923_2_2_0&matching_block_id=190976301_92902923_2_2_0&sr_pri_blocks=190976301_92902923_2_2_0__93744%2C190976301_92902923_2_2_0__93744&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Marseille,Aparthotel Adagio Marseille Timone,"$2,045",Scored 7.7,"2,742 reviews",https://www.booking.com/hotel/fr/hipark-residences-marseille.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAExuAEHyAEP2AEB6AEB-AECiAIBqAIDuAKP7-yzBsACAdICJDc2MmVkZWM4LTQ1ZTYtNGYwZi1hMmY3LTFjZGE1MjA4N2RhYtgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-28&dest_id=-1449947&dest_type=city&group_adults=3&req_adults=3&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=price&nflt=class%3D3%3Bclass%3D4%3Bclass%3D5%3Bht_id%3D204&srpvid=83f697acbd450499&srepoch=1719351261&all_sr_blocks=29231106_91918987_2_2_0%2C29231106_91918987_2_2_0&highlighted_blocks=29231106_91918987_2_2_0%2C29231106_91918987_2_2_0&matching_block_id=29231106_91918987_2_2_0&sr_pri_blocks=29231106_91918987_2_2_0__95310%2C29231106_91918987_2_2_0__95310&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
