city,name,hotel_prices,rating,number of review,hotel_link
Paris,Home in Paris - Paris East,$913,Scored 6.4,17 reviews,https://www.booking.com/hotel/fr/home-in-paris-paris-east.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAExuAEHyAEP2AEB6AEB-AECiAIBqAIDuAKL4-yzBsACAdICJDk2NDlmMzRkLWUzODItNGNkOC1hM2JkLWE1YTQwYmNlMzZhN9gCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-28&dest_id=-1456928&dest_type=city&group_adults=3&req_adults=3&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=price&nflt=class%3D3%3Bclass%3D4%3Bclass%3D5%3Bht_id%3D204&srpvid=875c94aaee9301ef&srepoch=1719349729&all_sr_blocks=823233101_380648696_3_0_0&highlighted_blocks=823233101_380648696_3_0_0&matching_block_id=823233101_380648696_3_0_0&sr_pri_blocks=823233101_380648696_3_0_0__85050&from=searchresults#hotelTmpl
Paris,Loft in paris,"$1,078",Scored 7.1,27 reviews,https://www.booking.com/hotel/fr/loft-in-paris-paris1.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAExuAEHyAEP2AEB6AEB-AECiAIBqAIDuAKL4-yzBsACAdICJDk2NDlmMzRkLWUzODItNGNkOC1hM2JkLWE1YTQwYmNlMzZhN9gCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-28&dest_id=-1456928&dest_type=city&group_adults=3&req_adults=3&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=price&nflt=class%3D3%3Bclass%3D4%3Bclass%3D5%3Bht_id%3D204&srpvid=875c94aaee9301ef&srepoch=1719349729&all_sr_blocks=784377102_380648708_4_0_0&highlighted_blocks=784377102_380648708_4_0_0&matching_block_id=784377102_380648708_4_0_0&sr_pri_blocks=784377102_380648708_4_0_0__100430&from=searchresults#hotelTmpl
Paris,MBM - TERRAGE,"$1,123",Scored 5.5,2 reviews,https://www.booking.com/hotel/fr/mbm-terrage.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAExuAEHyAEP2AEB6AEB-AECiAIBqAIDuAKL4-yzBsACAdICJDk2NDlmMzRkLWUzODItNGNkOC1hM2JkLWE1YTQwYmNlMzZhN9gCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-28&dest_id=-1456928&dest_type=city&group_adults=3&req_adults=3&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=price&nflt=class%3D3%3Bclass%3D4%3Bclass%3D5%3Bht_id%3D204&srpvid=875c94aaee9301ef&srepoch=1719349729&all_sr_blocks=784366501_380648709_4_0_0&highlighted_blocks=784366501_380648709_4_0_0&matching_block_id=784366501_380648709_4_0_0&sr_pri_blocks=784366501_380648709_4_0_0__104665&from=searchresults#hotelTmpl
Paris,Aparthotel Adagio Access Paris La Villette,"$1,236",Scored 7.4,"1,425 reviews",https://www.booking.com/hotel/fr/citea-la-villette.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAExuAEHyAEP2AEB6AEB-AECiAIBqAIDuAKL4-yzBsACAdICJDk2NDlmMzRkLWUzODItNGNkOC1hM2JkLWE1YTQwYmNlMzZhN9gCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-28&dest_id=-1456928&dest_type=city&group_adults=3&req_adults=3&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=price&nflt=class%3D3%3Bclass%3D4%3Bclass%3D5%3Bht_id%3D204&srpvid=875c94aaee9301ef&srepoch=1719349729&all_sr_blocks=5358802_94272635_3_2_0&highlighted_blocks=5358802_94272635_3_2_0&matching_block_id=5358802_94272635_3_2_0&sr_pri_blocks=5358802_94272635_3_2_0__115193&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Paris,Huni Hôtel,"$1,273",Scored 7.0,"1,382 reviews",https://www.booking.com/hotel/fr/eden.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAExuAEHyAEP2AEB6AEB-AECiAIBqAIDuAKL4-yzBsACAdICJDk2NDlmMzRkLWUzODItNGNkOC1hM2JkLWE1YTQwYmNlMzZhN9gCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-28&dest_id=-1456928&dest_type=city&group_adults=3&req_adults=3&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=price&nflt=class%3D3%3Bclass%3D4%3Bclass%3D5%3Bht_id%3D204&srpvid=875c94aaee9301ef&srepoch=1719349729&all_sr_blocks=5419203_93699888_0_2_0&highlighted_blocks=5419203_93699888_0_2_0&matching_block_id=5419203_93699888_0_2_0&sr_pri_blocks=5419203_93699888_0_2_0__118600&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Paris,MBM - LOFT MARAIS,"$1,288",Scored 6.8,142 reviews,https://www.booking.com/hotel/fr/mbm-loft-marais.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAExuAEHyAEP2AEB6AEB-AECiAIBqAIDuAKL4-yzBsACAdICJDk2NDlmMzRkLWUzODItNGNkOC1hM2JkLWE1YTQwYmNlMzZhN9gCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-28&dest_id=-1456928&dest_type=city&group_adults=3&req_adults=3&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=price&nflt=class%3D3%3Bclass%3D4%3Bclass%3D5%3Bht_id%3D204&srpvid=875c94aaee9301ef&srepoch=1719349729&all_sr_blocks=773660801_335432139_4_0_0&highlighted_blocks=773660801_335432139_4_0_0&matching_block_id=773660801_335432139_4_0_0&sr_pri_blocks=773660801_335432139_4_0_0__120032&from=searchresults#hotelTmpl
Paris,MBM - CHEMIN VERT,"$1,314",Scored 7.4,9 reviews,https://www.booking.com/hotel/fr/mbm-chemin-vert.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAExuAEHyAEP2AEB6AEB-AECiAIBqAIDuAKL4-yzBsACAdICJDk2NDlmMzRkLWUzODItNGNkOC1hM2JkLWE1YTQwYmNlMzZhN9gCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-28&dest_id=-1456928&dest_type=city&group_adults=3&req_adults=3&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=price&nflt=class%3D3%3Bclass%3D4%3Bclass%3D5%3Bht_id%3D204&srpvid=875c94aaee9301ef&srepoch=1719349729&all_sr_blocks=784388201_380648706_4_0_0&highlighted_blocks=784388201_380648706_4_0_0&matching_block_id=784388201_380648706_4_0_0&sr_pri_blocks=784388201_380648706_4_0_0__122452&from=searchresults#hotelTmpl
Paris,Hôtel Paris Gambetta,"$1,586",Scored 7.5,"1,215 reviews",https://www.booking.com/hotel/fr/paris-gambetta.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAExuAEHyAEP2AEB6AEB-AECiAIBqAIDuAKL4-yzBsACAdICJDk2NDlmMzRkLWUzODItNGNkOC1hM2JkLWE1YTQwYmNlMzZhN9gCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-28&dest_id=-1456928&dest_type=city&group_adults=3&req_adults=3&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=price&nflt=class%3D3%3Bclass%3D4%3Bclass%3D5%3Bht_id%3D204&srpvid=875c94aaee9301ef&srepoch=1719349729&all_sr_blocks=107355404_122940520_3_2_0&highlighted_blocks=107355404_122940520_3_2_0&matching_block_id=107355404_122940520_3_2_0&sr_pri_blocks=107355404_122940520_3_2_0__147840&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Paris,Hôtel Lebron,"$1,604",Scored 6.8,502 reviews,https://www.booking.com/hotel/fr/lebron.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAExuAEHyAEP2AEB6AEB-AECiAIBqAIDuAKL4-yzBsACAdICJDk2NDlmMzRkLWUzODItNGNkOC1hM2JkLWE1YTQwYmNlMzZhN9gCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-28&dest_id=-1456928&dest_type=city&group_adults=3&req_adults=3&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=price&nflt=class%3D3%3Bclass%3D4%3Bclass%3D5%3Bht_id%3D204&srpvid=875c94aaee9301ef&srepoch=1719349729&all_sr_blocks=27845103_0_3_0_0&highlighted_blocks=27845103_0_3_0_0&matching_block_id=27845103_0_3_0_0&sr_pri_blocks=27845103_0_3_0_0__149480&from=searchresults#hotelTmpl
Paris,Ibis Paris Gare Montparnasse Catalogne,"$1,706",Scored 8.4,"2,947 reviews",https://www.booking.com/hotel/fr/ibis-paris-gare-montparnasse-catalogne.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAExuAEHyAEP2AEB6AEB-AECiAIBqAIDuAKL4-yzBsACAdICJDk2NDlmMzRkLWUzODItNGNkOC1hM2JkLWE1YTQwYmNlMzZhN9gCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-28&dest_id=-1456928&dest_type=city&group_adults=3&req_adults=3&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=price&nflt=class%3D3%3Bclass%3D4%3Bclass%3D5%3Bht_id%3D204&srpvid=875c94aaee9301ef&srepoch=1719349729&all_sr_blocks=847369804_351887120_3_2_0&highlighted_blocks=847369804_351887120_3_2_0&matching_block_id=847369804_351887120_3_2_0&sr_pri_blocks=847369804_351887120_3_2_0__158950&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
