city,name,hotel_prices,rating,number of review,hotel_link
Rouen,Grand Hôtel De La Seine,"$1,211",Scored 6.9,"2,457 reviews",https://www.booking.com/hotel/fr/rouencentre.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAExuAEHyAEP2AEB6AEB-AECiAIBqAIDuALG4uyzBsACAdICJGRkYWE1OWM0LWM5OGItNDBmMS1hODJjLTk1YTY5NzU3MTAwMtgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-28&dest_id=-1462807&dest_type=city&group_adults=3&req_adults=3&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=price&nflt=class%3D3%3Bclass%3D4%3Bclass%3D5%3Bht_id%3D204&srpvid=9f2994743068066b&srepoch=1719349613&all_sr_blocks=5151004_94105630_0_2_0%2C5151004_94105630_0_2_0&highlighted_blocks=5151004_94105630_0_2_0%2C5151004_94105630_0_2_0&matching_block_id=5151004_94105630_0_2_0&sr_pri_blocks=5151004_94105630_0_2_0__56448%2C5151004_94105630_0_2_0__56448&from=searchresults#hotelTmpl
Rouen,Hotel De Quebec,"$1,281",Scored 8.2,"2,706 reviews",https://www.booking.com/hotel/fr/alive-hotel-de-quebec.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAExuAEHyAEP2AEB6AEB-AECiAIBqAIDuALG4uyzBsACAdICJGRkYWE1OWM0LWM5OGItNDBmMS1hODJjLTk1YTY5NzU3MTAwMtgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-28&dest_id=-1462807&dest_type=city&group_adults=3&req_adults=3&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=price&nflt=class%3D3%3Bclass%3D4%3Bclass%3D5%3Bht_id%3D204&srpvid=9f2994743068066b&srepoch=1719349613&all_sr_blocks=56297_91912691_0_2_0&highlighted_blocks=56297_91912691_0_2_0&matching_block_id=56297_91912691_0_2_0&sr_pri_blocks=56297_91912691_0_2_0__119430&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Rouen,Aparthotel Adagio Access Rouen Centre Cathédrale,"$1,293",Scored 8.2,85 reviews,https://www.booking.com/hotel/fr/aparthotel-adagio-access-rouen-centre-cathedrale.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAExuAEHyAEP2AEB6AEB-AECiAIBqAIDuALG4uyzBsACAdICJGRkYWE1OWM0LWM5OGItNDBmMS1hODJjLTk1YTY5NzU3MTAwMtgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-28&dest_id=-1462807&dest_type=city&group_adults=3&req_adults=3&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=price&nflt=class%3D3%3Bclass%3D4%3Bclass%3D5%3Bht_id%3D204&srpvid=9f2994743068066b&srepoch=1719349613&all_sr_blocks=1157789701_388545789_2_2_0%2C1157789701_388545789_2_2_0&highlighted_blocks=1157789701_388545789_2_2_0%2C1157789701_388545789_2_2_0&matching_block_id=1157789701_388545789_2_2_0&sr_pri_blocks=1157789701_388545789_2_2_0__60240%2C1157789701_388545789_2_2_0__60240&from=searchresults#hotelTmpl
Rouen,Mercure Rouen Centre Cathédrale,"$1,367",Scored 8.3,"3,126 reviews",https://www.booking.com/hotel/fr/mercure-rouen-centre.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAExuAEHyAEP2AEB6AEB-AECiAIBqAIDuALG4uyzBsACAdICJGRkYWE1OWM0LWM5OGItNDBmMS1hODJjLTk1YTY5NzU3MTAwMtgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-28&dest_id=-1462807&dest_type=city&group_adults=3&req_adults=3&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=price&nflt=class%3D3%3Bclass%3D4%3Bclass%3D5%3Bht_id%3D204&srpvid=9f2994743068066b&srepoch=1719349613&all_sr_blocks=5703812_94275005_3_2_0&highlighted_blocks=5703812_94275005_3_2_0&matching_block_id=5703812_94275005_3_2_0&sr_pri_blocks=5703812_94275005_3_2_0__127380&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Rouen,DOMITYS Les Mosaïques,"$1,391",Scored 8.8,"1,353 reviews",https://www.booking.com/hotel/fr/domitys-les-mosaiques.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAExuAEHyAEP2AEB6AEB-AECiAIBqAIDuALG4uyzBsACAdICJGRkYWE1OWM0LWM5OGItNDBmMS1hODJjLTk1YTY5NzU3MTAwMtgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-28&dest_id=-1462807&dest_type=city&group_adults=3&req_adults=3&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=price&nflt=class%3D3%3Bclass%3D4%3Bclass%3D5%3Bht_id%3D204&srpvid=9f2994743068066b&srepoch=1719349613&all_sr_blocks=873446802_367148432_0_10_0&highlighted_blocks=873446802_367148432_0_10_0&matching_block_id=873446802_367148432_0_10_0&sr_pri_blocks=873446802_367148432_0_10_0__129600&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Rouen,KYRIAD ROUEN SUD - Sotteville les Rouen,"$1,442",Scored 8.2,"2,389 reviews",https://www.booking.com/hotel/fr/kyriad-rouen-sud.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAExuAEHyAEP2AEB6AEB-AECiAIBqAIDuALG4uyzBsACAdICJGRkYWE1OWM0LWM5OGItNDBmMS1hODJjLTk1YTY5NzU3MTAwMtgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-28&dest_id=-1462807&dest_type=city&group_adults=3&req_adults=3&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=price&nflt=class%3D3%3Bclass%3D4%3Bclass%3D5%3Bht_id%3D204&srpvid=9f2994743068066b&srepoch=1719349613&all_sr_blocks=788825809_393827016_2_2_0%2C788825809_393827016_2_2_0&highlighted_blocks=788825809_393827016_2_2_0%2C788825809_393827016_2_2_0&matching_block_id=788825809_393827016_2_2_0&sr_pri_blocks=788825809_393827016_2_2_0__67200%2C788825809_393827016_2_2_0__67200&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Rouen,"Holiday Inn Express - Rouen Centre - Rive Gauche, an IHG Hotel","$1,621",Scored 8.3,"2,936 reviews",https://www.booking.com/hotel/fr/holiday-inn-express-rouen-centre-rive-gauche.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAExuAEHyAEP2AEB6AEB-AECiAIBqAIDuALG4uyzBsACAdICJGRkYWE1OWM0LWM5OGItNDBmMS1hODJjLTk1YTY5NzU3MTAwMtgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-28&dest_id=-1462807&dest_type=city&group_adults=3&req_adults=3&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=price&nflt=class%3D3%3Bclass%3D4%3Bclass%3D5%3Bht_id%3D204&srpvid=9f2994743068066b&srepoch=1719349613&all_sr_blocks=451367701_136730264_2_41_0%2C451367705_136730264_1_41_0&highlighted_blocks=451367701_136730264_2_41_0%2C451367705_136730264_1_41_0&matching_block_id=451367701_136730264_2_41_0&sr_pri_blocks=451367701_136730264_2_41_0__81530%2C451367705_136730264_1_41_0__69530&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Rouen,Mercure Rouen Centre Champ de Mars,"$1,647",Scored 7.8,973 reviews,https://www.booking.com/hotel/fr/mercure-rouen-champ-de-mars.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAExuAEHyAEP2AEB6AEB-AECiAIBqAIDuALG4uyzBsACAdICJGRkYWE1OWM0LWM5OGItNDBmMS1hODJjLTk1YTY5NzU3MTAwMtgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-28&dest_id=-1462807&dest_type=city&group_adults=3&req_adults=3&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=price&nflt=class%3D3%3Bclass%3D4%3Bclass%3D5%3Bht_id%3D204&srpvid=9f2994743068066b&srepoch=1719349613&all_sr_blocks=5704810_94820571_2_34_0%2C5704810_94820571_2_34_0&highlighted_blocks=5704810_94820571_2_34_0%2C5704810_94820571_2_34_0&matching_block_id=5704810_94820571_2_34_0&sr_pri_blocks=5704810_94820571_2_34_0__76760%2C5704810_94820571_2_34_0__76760&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Rouen,Hôtel d'Angleterre Rouen Centre Gare,"$1,682",Scored 6.9,793 reviews,https://www.booking.com/hotel/fr/d-angleterre-rouen.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAExuAEHyAEP2AEB6AEB-AECiAIBqAIDuALG4uyzBsACAdICJGRkYWE1OWM0LWM5OGItNDBmMS1hODJjLTk1YTY5NzU3MTAwMtgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-28&dest_id=-1462807&dest_type=city&group_adults=3&req_adults=3&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=price&nflt=class%3D3%3Bclass%3D4%3Bclass%3D5%3Bht_id%3D204&srpvid=9f2994743068066b&srepoch=1719349613&all_sr_blocks=902360905_370965350_2_2_0%2C902360905_370965350_2_2_0&highlighted_blocks=902360905_370965350_2_2_0%2C902360905_370965350_2_2_0&matching_block_id=902360905_370965350_2_2_0&sr_pri_blocks=902360905_370965350_2_2_0__78400%2C902360905_370965350_2_2_0__78400&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Rouen,Ibis Styles Rouen Centre Rive Gauche,"$1,756",Scored 8.3,"1,359 reviews",https://www.booking.com/hotel/fr/ibis-styles-rouen-centre-rive-gauche.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAExuAEHyAEP2AEB6AEB-AECiAIBqAIDuALG4uyzBsACAdICJGRkYWE1OWM0LWM5OGItNDBmMS1hODJjLTk1YTY5NzU3MTAwMtgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-28&dest_id=-1462807&dest_type=city&group_adults=3&req_adults=3&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=price&nflt=class%3D3%3Bclass%3D4%3Bclass%3D5%3Bht_id%3D204&srpvid=9f2994743068066b&srepoch=1719349613&all_sr_blocks=641074202_258568152_2_1_0%2C641074201_258568152_1_1_0&highlighted_blocks=641074202_258568152_2_1_0%2C641074201_258568152_1_1_0&matching_block_id=641074202_258568152_2_1_0&sr_pri_blocks=641074202_258568152_2_1_0__85804%2C641074201_258568152_1_1_0__77804&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
