city,name,hotel_prices,rating,number of review,hotel_link
Saint Malo,Résidence Pierre &amp; Vacances Ty Mat,$873,Scored 8.0,"1,682 reviews",https://www.booking.com/hotel/fr/maevatymat.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAExuAEHyAEP2AEB6AEB-AECiAIBqAIDuAKd4OyzBsACAdICJDFiN2ZhZjA1LTU2MDEtNDIxNS04NjBmLTBjNjc2Y2I2NjMyNtgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-28&dest_id=-1466824&dest_type=city&group_adults=3&req_adults=3&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=price&nflt=class%3D3%3Bclass%3D4%3Bclass%3D5%3Bht_id%3D204&srpvid=0d3b93e10dad0227&srepoch=1719349323&all_sr_blocks=5172301_258598875_0_0_0&highlighted_blocks=5172301_258598875_0_0_0&matching_block_id=5172301_258598875_0_0_0&sr_pri_blocks=5172301_258598875_0_0_0__81320&from_sustainable_property_sr=1&from=searchresults
Saint Malo,Hotel Kyriad Saint Malo Centre Plage,"$1,846",Scored 8.3,"1,692 reviews",https://www.booking.com/hotel/fr/bleumarinesaintmalo.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAExuAEHyAEP2AEB6AEB-AECiAIBqAIDuAKd4OyzBsACAdICJDFiN2ZhZjA1LTU2MDEtNDIxNS04NjBmLTBjNjc2Y2I2NjMyNtgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-28&dest_id=-1466824&dest_type=city&group_adults=3&req_adults=3&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=price&nflt=class%3D3%3Bclass%3D4%3Bclass%3D5%3Bht_id%3D204&srpvid=0d3b93e10dad0227&srepoch=1719349323&all_sr_blocks=5042105_82341252_0_2_0&highlighted_blocks=5042105_82341252_0_2_0&matching_block_id=5042105_82341252_0_2_0&sr_pri_blocks=5042105_82341252_0_2_0__172000&from_sustainable_property_sr=1&from=searchresults
Saint Malo,La Maison des Armateurs,"$1,893",Scored 8.6,"1,452 reviews",https://www.booking.com/hotel/fr/la-maison-des-armateurs.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAExuAEHyAEP2AEB6AEB-AECiAIBqAIDuAKd4OyzBsACAdICJDFiN2ZhZjA1LTU2MDEtNDIxNS04NjBmLTBjNjc2Y2I2NjMyNtgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-28&dest_id=-1466824&dest_type=city&group_adults=3&req_adults=3&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=price&nflt=class%3D3%3Bclass%3D4%3Bclass%3D5%3Bht_id%3D204&srpvid=0d3b93e10dad0227&srepoch=1719349323&all_sr_blocks=36287303_91924301_0_2_0&highlighted_blocks=36287303_91924301_0_2_0&matching_block_id=36287303_91924301_0_2_0&sr_pri_blocks=36287303_91924301_0_2_0__176456&from_sustainable_property_sr=1&from=searchresults
Saint Malo,Hotel Elizabeth - Intra Muros,"$1,944",Scored 8.6,100 reviews,https://www.booking.com/hotel/fr/elizabeth.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAExuAEHyAEP2AEB6AEB-AECiAIBqAIDuAKd4OyzBsACAdICJDFiN2ZhZjA1LTU2MDEtNDIxNS04NjBmLTBjNjc2Y2I2NjMyNtgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-28&dest_id=-1466824&dest_type=city&group_adults=3&req_adults=3&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=price&nflt=class%3D3%3Bclass%3D4%3Bclass%3D5%3Bht_id%3D204&srpvid=0d3b93e10dad0227&srepoch=1719349323&all_sr_blocks=5548802_389884512_0_2_0&highlighted_blocks=5548802_389884512_0_2_0&matching_block_id=5548802_389884512_0_2_0&sr_pri_blocks=5548802_389884512_0_2_0__181200&from_sustainable_property_sr=1&from=searchresults
Saint Malo,Hotel De L'univers,"$2,069",Scored 8.1,"2,852 reviews",https://www.booking.com/hotel/fr/de-l-univers.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAExuAEHyAEP2AEB6AEB-AECiAIBqAIDuAKd4OyzBsACAdICJDFiN2ZhZjA1LTU2MDEtNDIxNS04NjBmLTBjNjc2Y2I2NjMyNtgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-28&dest_id=-1466824&dest_type=city&group_adults=3&req_adults=3&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=price&nflt=class%3D3%3Bclass%3D4%3Bclass%3D5%3Bht_id%3D204&srpvid=0d3b93e10dad0227&srepoch=1719349323&all_sr_blocks=5424105_88548298_3_2_0&highlighted_blocks=5424105_88548298_3_2_0&matching_block_id=5424105_88548298_3_2_0&sr_pri_blocks=5424105_88548298_3_2_0__192800&from=searchresults
Saint Malo,Brit Hotel Le Surcouf,"$2,189",Scored 7.7,715 reviews,https://www.booking.com/hotel/fr/le-surcouf.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAExuAEHyAEP2AEB6AEB-AECiAIBqAIDuAKd4OyzBsACAdICJDFiN2ZhZjA1LTU2MDEtNDIxNS04NjBmLTBjNjc2Y2I2NjMyNtgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-28&dest_id=-1466824&dest_type=city&group_adults=3&req_adults=3&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=price&nflt=class%3D3%3Bclass%3D4%3Bclass%3D5%3Bht_id%3D204&srpvid=0d3b93e10dad0227&srepoch=1719349323&all_sr_blocks=5343406_331251928_2_2_0%2C5343406_331251928_2_2_0&highlighted_blocks=5343406_331251928_2_2_0%2C5343406_331251928_2_2_0&matching_block_id=5343406_331251928_2_2_0&sr_pri_blocks=5343406_331251928_2_2_0__102000%2C5343406_331251928_2_2_0__102000&from=searchresults
Saint Malo,Hotel Ajoncs d'Or,"$2,438",Scored 8.4,"1,352 reviews",https://www.booking.com/hotel/fr/ajoncsdor.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAExuAEHyAEP2AEB6AEB-AECiAIBqAIDuAKd4OyzBsACAdICJDFiN2ZhZjA1LTU2MDEtNDIxNS04NjBmLTBjNjc2Y2I2NjMyNtgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-28&dest_id=-1466824&dest_type=city&group_adults=3&req_adults=3&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=price&nflt=class%3D3%3Bclass%3D4%3Bclass%3D5%3Bht_id%3D204&srpvid=0d3b93e10dad0227&srepoch=1719349323&all_sr_blocks=5140303_394354186_2_2_0%2C5140303_394354186_2_2_0&highlighted_blocks=5140303_394354186_2_2_0%2C5140303_394354186_2_2_0&matching_block_id=5140303_394354186_2_2_0&sr_pri_blocks=5140303_394354186_2_2_0__113600%2C5140303_394354186_2_2_0__113600&from=searchresults
Saint Malo,ibis Styles Saint Malo Port,"$2,467",Scored 7.8,"2,169 reviews",https://www.booking.com/hotel/fr/ibis-styles-saint-malo-port.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAExuAEHyAEP2AEB6AEB-AECiAIBqAIDuAKd4OyzBsACAdICJDFiN2ZhZjA1LTU2MDEtNDIxNS04NjBmLTBjNjc2Y2I2NjMyNtgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-28&dest_id=-1466824&dest_type=city&group_adults=3&req_adults=3&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=price&nflt=class%3D3%3Bclass%3D4%3Bclass%3D5%3Bht_id%3D204&srpvid=0d3b93e10dad0227&srepoch=1719349323&all_sr_blocks=110855805_91345695_2_41_0%2C110855805_91345695_1_41_0&highlighted_blocks=110855805_91345695_2_41_0%2C110855805_91345695_1_41_0&matching_block_id=110855805_91345695_2_41_0&sr_pri_blocks=110855805_91345695_2_41_0__118936%2C110855805_91345695_1_41_0__110936&from_sustainable_property_sr=1&from=searchresults
Saint Malo,Kyriad Prestige Saint-Malo,"$2,472",Scored 8.6,"4,044 reviews",https://www.booking.com/hotel/fr/kyriad-prestige-saint-malo-xml.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAExuAEHyAEP2AEB6AEB-AECiAIBqAIDuAKd4OyzBsACAdICJDFiN2ZhZjA1LTU2MDEtNDIxNS04NjBmLTBjNjc2Y2I2NjMyNtgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-28&dest_id=-1466824&dest_type=city&group_adults=3&req_adults=3&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=price&nflt=class%3D3%3Bclass%3D4%3Bclass%3D5%3Bht_id%3D204&srpvid=0d3b93e10dad0227&srepoch=1719349323&all_sr_blocks=88652301_160841125_2_2_0%2C88652301_160841125_2_2_0&highlighted_blocks=88652301_160841125_2_2_0%2C88652301_160841125_2_2_0&matching_block_id=88652301_160841125_2_2_0&sr_pri_blocks=88652301_160841125_2_2_0__115200%2C88652301_160841125_2_2_0__115200&from_sustainable_property_sr=1&from=searchresults
Saint Malo,Otonali Hôtel by Breizh Café,"$2,499",Scored 8.1,"1,435 reviews",https://www.booking.com/hotel/fr/aubade.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAExuAEHyAEP2AEB6AEB-AECiAIBqAIDuAKd4OyzBsACAdICJDFiN2ZhZjA1LTU2MDEtNDIxNS04NjBmLTBjNjc2Y2I2NjMyNtgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-28&dest_id=-1466824&dest_type=city&group_adults=3&req_adults=3&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=price&nflt=class%3D3%3Bclass%3D4%3Bclass%3D5%3Bht_id%3D204&srpvid=0d3b93e10dad0227&srepoch=1719349323&all_sr_blocks=5398408_113418788_0_2_0%2C5398401_113418788_0_2_0&highlighted_blocks=5398408_113418788_0_2_0%2C5398401_113418788_0_2_0&matching_block_id=5398408_113418788_0_2_0&sr_pri_blocks=5398408_113418788_0_2_0__126000%2C5398401_113418788_0_2_0__106900&from_sustainable_property_sr=1&from=searchresults
