city,name,hotel_prices,rating,number of review,hotel_link
Strasbourg,Séjours &amp; Affaires Strasbourg Kleber,$770,Scored 7.6,"1,448 reviews",https://www.booking.com/hotel/fr/residhome-strasbourg-kleber.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAExuAEHyAEP2AEB6AEB-AECiAIBqAIDuAKC5uyzBsACAdICJDAyMzcxMWFhLWE0ZmMtNGQ0My04ZTZlLWIxMjI0YWU1ZDBmM9gCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-28&dest_id=-1471697&dest_type=city&group_adults=3&req_adults=3&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=price&nflt=class%3D3%3Bclass%3D4%3Bclass%3D5%3Bht_id%3D204&srpvid=76a49562913700a4&srepoch=1719350090&all_sr_blocks=5767806_93700920_3_0_0&highlighted_blocks=5767806_93700920_3_0_0&matching_block_id=5767806_93700920_3_0_0&sr_pri_blocks=5767806_93700920_3_0_0__71800&from=searchresults#hotelTmpl
Strasbourg,ibis Strasbourg Centre Petite France,$907,Scored 7.6,937 reviews,https://www.booking.com/hotel/fr/ibis-strasbourg-centre-petite-france.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAExuAEHyAEP2AEB6AEB-AECiAIBqAIDuAKC5uyzBsACAdICJDAyMzcxMWFhLWE0ZmMtNGQ0My04ZTZlLWIxMjI0YWU1ZDBmM9gCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-28&dest_id=-1471697&dest_type=city&group_adults=3&req_adults=3&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=price&nflt=class%3D3%3Bclass%3D4%3Bclass%3D5%3Bht_id%3D204&srpvid=76a49562913700a4&srepoch=1719350090&all_sr_blocks=53790505_94487946_3_2_0&highlighted_blocks=53790505_94487946_3_2_0&matching_block_id=53790505_94487946_3_2_0&sr_pri_blocks=53790505_94487946_3_2_0__84512&from=searchresults#hotelTmpl
Strasbourg,Médicis Home Strasbourg,$944,Scored 8.5,428 reviews,https://www.booking.com/hotel/fr/villa-medicis-strasbourg.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAExuAEHyAEP2AEB6AEB-AECiAIBqAIDuAKC5uyzBsACAdICJDAyMzcxMWFhLWE0ZmMtNGQ0My04ZTZlLWIxMjI0YWU1ZDBmM9gCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-28&dest_id=-1471697&dest_type=city&group_adults=3&req_adults=3&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=price&nflt=class%3D3%3Bclass%3D4%3Bclass%3D5%3Bht_id%3D204&srpvid=76a49562913700a4&srepoch=1719350090&all_sr_blocks=478520304_165045887_3_2_0&highlighted_blocks=478520304_165045887_3_2_0&matching_block_id=478520304_165045887_3_2_0&sr_pri_blocks=478520304_165045887_3_2_0__88000&from=searchresults#hotelTmpl
Strasbourg,Nemea Appart Hotel Elypseo Strasbourg Port,"$1,025",Scored 7.1,"3,880 reviews",https://www.booking.com/hotel/fr/nemea-appart-residence-elypseo.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAExuAEHyAEP2AEB6AEB-AECiAIBqAIDuAKC5uyzBsACAdICJDAyMzcxMWFhLWE0ZmMtNGQ0My04ZTZlLWIxMjI0YWU1ZDBmM9gCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-28&dest_id=-1471697&dest_type=city&group_adults=3&req_adults=3&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=price&nflt=class%3D3%3Bclass%3D4%3Bclass%3D5%3Bht_id%3D204&srpvid=76a49562913700a4&srepoch=1719350090&all_sr_blocks=375076601_373176554_0_2_0%2C375076603_373176554_1_2_0&highlighted_blocks=375076601_373176554_0_2_0%2C375076603_373176554_1_2_0&matching_block_id=375076601_373176554_0_2_0&sr_pri_blocks=375076601_373176554_0_2_0__52830%2C375076603_373176554_1_2_0__42660&from=searchresults#hotelTmpl
Strasbourg,Appart'City Confort Strasbourg Centre,"$1,028",Scored 7.8,"5,161 reviews",https://www.booking.com/hotel/fr/appart-city-strasbourg.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAExuAEHyAEP2AEB6AEB-AECiAIBqAIDuAKC5uyzBsACAdICJDAyMzcxMWFhLWE0ZmMtNGQ0My04ZTZlLWIxMjI0YWU1ZDBmM9gCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-28&dest_id=-1471697&dest_type=city&group_adults=3&req_adults=3&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=price&nflt=class%3D3%3Bclass%3D4%3Bclass%3D5%3Bht_id%3D204&srpvid=76a49562913700a4&srepoch=1719350090&all_sr_blocks=45907005_95770176_0_2_0&highlighted_blocks=45907005_95770176_0_2_0&matching_block_id=45907005_95770176_0_2_0&sr_pri_blocks=45907005_95770176_0_2_0__95800&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Strasbourg,ibis Strasbourg Centre Gare,"$1,059",Scored 7.7,"1,859 reviews",https://www.booking.com/hotel/fr/ibis-strasbourg-centre-gare.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAExuAEHyAEP2AEB6AEB-AECiAIBqAIDuAKC5uyzBsACAdICJDAyMzcxMWFhLWE0ZmMtNGQ0My04ZTZlLWIxMjI0YWU1ZDBmM9gCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-28&dest_id=-1471697&dest_type=city&group_adults=3&req_adults=3&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=price&nflt=class%3D3%3Bclass%3D4%3Bclass%3D5%3Bht_id%3D204&srpvid=76a49562913700a4&srepoch=1719350090&all_sr_blocks=56905505_94493401_3_2_0&highlighted_blocks=56905505_94493401_3_2_0&matching_block_id=56905505_94493401_3_2_0&sr_pri_blocks=56905505_94493401_3_2_0__98673&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Strasbourg,Résidence La Canopée,"$1,093",Scored 8.2,"2,321 reviews",https://www.booking.com/hotel/fr/residence-la-canopee.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAExuAEHyAEP2AEB6AEB-AECiAIBqAIDuAKC5uyzBsACAdICJDAyMzcxMWFhLWE0ZmMtNGQ0My04ZTZlLWIxMjI0YWU1ZDBmM9gCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-28&dest_id=-1471697&dest_type=city&group_adults=3&req_adults=3&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=price&nflt=class%3D3%3Bclass%3D4%3Bclass%3D5%3Bht_id%3D204&srpvid=76a49562913700a4&srepoch=1719350090&all_sr_blocks=672940803_275291063_3_0_0&highlighted_blocks=672940803_275291063_3_0_0&matching_block_id=672940803_275291063_3_0_0&sr_pri_blocks=672940803_275291063_3_0_0__101880&from=searchresults#hotelTmpl
Strasbourg,Montempô Apparthôtel Strasbourg,"$1,133",Scored 6.8,"2,202 reviews",https://www.booking.com/hotel/fr/montempo-apparthotel-strasbourg.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAExuAEHyAEP2AEB6AEB-AECiAIBqAIDuAKC5uyzBsACAdICJDAyMzcxMWFhLWE0ZmMtNGQ0My04ZTZlLWIxMjI0YWU1ZDBmM9gCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-28&dest_id=-1471697&dest_type=city&group_adults=3&req_adults=3&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=price&nflt=class%3D3%3Bclass%3D4%3Bclass%3D5%3Bht_id%3D204&srpvid=76a49562913700a4&srepoch=1719350090&all_sr_blocks=114595704_243451583_2_2_0%2C114595704_243451583_2_2_0&highlighted_blocks=114595704_243451583_2_2_0%2C114595704_243451583_2_2_0&matching_block_id=114595704_243451583_2_2_0&sr_pri_blocks=114595704_243451583_2_2_0__52800%2C114595704_243451583_2_2_0__52800&from=searchresults#hotelTmpl
Strasbourg,Zenao Appart'hôtels Strasbourg,"$1,153",Scored 7.8,176 reviews,https://www.booking.com/hotel/fr/zenao-strasbourg.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAExuAEHyAEP2AEB6AEB-AECiAIBqAIDuAKC5uyzBsACAdICJDAyMzcxMWFhLWE0ZmMtNGQ0My04ZTZlLWIxMjI0YWU1ZDBmM9gCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-28&dest_id=-1471697&dest_type=city&group_adults=3&req_adults=3&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=price&nflt=class%3D3%3Bclass%3D4%3Bclass%3D5%3Bht_id%3D204&srpvid=76a49562913700a4&srepoch=1719350090&all_sr_blocks=977445903_370056495_0_2_0%2C977445903_370056495_0_2_0&highlighted_blocks=977445903_370056495_0_2_0%2C977445903_370056495_0_2_0&matching_block_id=977445903_370056495_0_2_0&sr_pri_blocks=977445903_370056495_0_2_0__53720%2C977445903_370056495_0_2_0__53720&from=searchresults#hotelTmpl
Strasbourg,Hilton Strasbourg,"$1,162",Scored 7.2,"2,628 reviews",https://www.booking.com/hotel/fr/hilton-strasbourg.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAExuAEHyAEP2AEB6AEB-AECiAIBqAIDuAKC5uyzBsACAdICJDAyMzcxMWFhLWE0ZmMtNGQ0My04ZTZlLWIxMjI0YWU1ZDBmM9gCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-28&dest_id=-1471697&dest_type=city&group_adults=3&req_adults=3&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=price&nflt=class%3D3%3Bclass%3D4%3Bclass%3D5%3Bht_id%3D204&srpvid=76a49562913700a4&srepoch=1719350090&all_sr_blocks=2256807_95146749_3_34_0&highlighted_blocks=2256807_95146749_3_34_0&matching_block_id=2256807_95146749_3_34_0&sr_pri_blocks=2256807_95146749_3_34_0__108312&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
