city,name,hotel_prices,rating,number of review,hotel_link
Toulouse,Residhome Toulouse Tolosa,$541,Scored 8.2,"2,044 reviews",https://www.booking.com/hotel/fr/residhome-toulouse-tolosa.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAExuAEHyAEP2AEB6AEB-AECiAIBqAIDuAKz9uyzBsACAdICJDdmMjk0ZjE3LTQyOTEtNDVlMS04MGI3LTJjY2Y5MDY2OTIwNNgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-28&dest_id=-1473166&dest_type=city&group_adults=3&req_adults=3&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=price&nflt=class%3D4%3Bclass%3D3%3Bclass%3D5%3Bht_id%3D204&srpvid=1879997b2caa01fa&srepoch=1719352189&all_sr_blocks=18028802_93712490_4_2_0&highlighted_blocks=18028802_93712490_4_2_0&matching_block_id=18028802_93712490_4_2_0&sr_pri_blocks=18028802_93712490_4_2_0__50400&from_sustainable_property_sr=1&from=searchresults
Toulouse,Résidences Guerlin,$678,Scored 8.6,"1,138 reviews",https://www.booking.com/hotel/fr/residences-guerlin-toulouse.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAExuAEHyAEP2AEB6AEB-AECiAIBqAIDuAKz9uyzBsACAdICJDdmMjk0ZjE3LTQyOTEtNDVlMS04MGI3LTJjY2Y5MDY2OTIwNNgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-28&dest_id=-1473166&dest_type=city&group_adults=3&req_adults=3&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=price&nflt=class%3D4%3Bclass%3D3%3Bclass%3D5%3Bht_id%3D204&srpvid=1879997b2caa01fa&srepoch=1719352189&all_sr_blocks=450423302_379104860_4_0_0&highlighted_blocks=450423302_379104860_4_0_0&matching_block_id=450423302_379104860_4_0_0&sr_pri_blocks=450423302_379104860_4_0_0__63200&from=searchresults
Toulouse,Nemea Appart Hotel Toulouse Aéroport,$684,Scored 7.3,"3,920 reviews",https://www.booking.com/hotel/fr/na-c-ma-c-a-appart-toulouse-saint-martin-toulouse.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAExuAEHyAEP2AEB6AEB-AECiAIBqAIDuAKz9uyzBsACAdICJDdmMjk0ZjE3LTQyOTEtNDVlMS04MGI3LTJjY2Y5MDY2OTIwNNgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-28&dest_id=-1473166&dest_type=city&group_adults=3&req_adults=3&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=price&nflt=class%3D4%3Bclass%3D3%3Bclass%3D5%3Bht_id%3D204&srpvid=1879997b2caa01fa&srepoch=1719352189&all_sr_blocks=5714202_88951793_0_2_0&highlighted_blocks=5714202_88951793_0_2_0&matching_block_id=5714202_88951793_0_2_0&sr_pri_blocks=5714202_88951793_0_2_0__63700&from=searchresults
Toulouse,Zenitude Hôtel-Résidences Toulouse Métropole,$715,Scored 7.3,"3,689 reviews",https://www.booking.com/hotel/fr/appart-city-toulouse-hippodrome.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAExuAEHyAEP2AEB6AEB-AECiAIBqAIDuAKz9uyzBsACAdICJDdmMjk0ZjE3LTQyOTEtNDVlMS04MGI3LTJjY2Y5MDY2OTIwNNgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-28&dest_id=-1473166&dest_type=city&group_adults=3&req_adults=3&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=price&nflt=class%3D4%3Bclass%3D3%3Bclass%3D5%3Bht_id%3D204&srpvid=1879997b2caa01fa&srepoch=1719352189&all_sr_blocks=5362227_91902808_4_2_0&highlighted_blocks=5362227_91902808_4_2_0&matching_block_id=5362227_91902808_4_2_0&sr_pri_blocks=5362227_91902808_4_2_0__66600&from_sustainable_property_sr=1&from=searchresults
Toulouse,Residhotel Toulouse Centre,$729,Scored 7.8,"1,673 reviews",https://www.booking.com/hotel/fr/residhotel-toulouse-centre.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAExuAEHyAEP2AEB6AEB-AECiAIBqAIDuAKz9uyzBsACAdICJDdmMjk0ZjE3LTQyOTEtNDVlMS04MGI3LTJjY2Y5MDY2OTIwNNgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-28&dest_id=-1473166&dest_type=city&group_adults=3&req_adults=3&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=price&nflt=class%3D4%3Bclass%3D3%3Bclass%3D5%3Bht_id%3D204&srpvid=1879997b2caa01fa&srepoch=1719352189&all_sr_blocks=80974303_88546943_4_2_0&highlighted_blocks=80974303_88546943_4_2_0&matching_block_id=80974303_88546943_4_2_0&sr_pri_blocks=80974303_88546943_4_2_0__67950&from_sustainable_property_sr=1&from=searchresults
Toulouse,Novotel Toulouse Purpan Aéroport,$750,Scored 7.8,939 reviews,https://www.booking.com/hotel/fr/novotel-toulouse-purpan.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAExuAEHyAEP2AEB6AEB-AECiAIBqAIDuAKz9uyzBsACAdICJDdmMjk0ZjE3LTQyOTEtNDVlMS04MGI3LTJjY2Y5MDY2OTIwNNgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-28&dest_id=-1473166&dest_type=city&group_adults=3&req_adults=3&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=price&nflt=class%3D4%3Bclass%3D3%3Bclass%3D5%3Bht_id%3D204&srpvid=1879997b2caa01fa&srepoch=1719352189&all_sr_blocks=5460117_94273611_3_34_0&highlighted_blocks=5460117_94273611_3_34_0&matching_block_id=5460117_94273611_3_34_0&sr_pri_blocks=5460117_94273611_3_34_0__69920&from_sustainable_property_sr=1&from=searchresults
Toulouse,Appart'City Confort Toulouse Purpan,$756,Scored 7.6,"1,540 reviews",https://www.booking.com/hotel/fr/my-suite-purpan-toulouse.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAExuAEHyAEP2AEB6AEB-AECiAIBqAIDuAKz9uyzBsACAdICJDdmMjk0ZjE3LTQyOTEtNDVlMS04MGI3LTJjY2Y5MDY2OTIwNNgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-28&dest_id=-1473166&dest_type=city&group_adults=3&req_adults=3&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=price&nflt=class%3D4%3Bclass%3D3%3Bclass%3D5%3Bht_id%3D204&srpvid=1879997b2caa01fa&srepoch=1719352189&all_sr_blocks=5785502_340055917_0_2_0&highlighted_blocks=5785502_340055917_0_2_0&matching_block_id=5785502_340055917_0_2_0&sr_pri_blocks=5785502_340055917_0_2_0__70500&from_sustainable_property_sr=1&from=searchresults
Toulouse,COWOOL TOULOUSE,$764,Scored 8.7,49 reviews,https://www.booking.com/hotel/fr/cowool-toulouse-toulouse.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAExuAEHyAEP2AEB6AEB-AECiAIBqAIDuAKz9uyzBsACAdICJDdmMjk0ZjE3LTQyOTEtNDVlMS04MGI3LTJjY2Y5MDY2OTIwNNgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-28&dest_id=-1473166&dest_type=city&group_adults=3&req_adults=3&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=price&nflt=class%3D4%3Bclass%3D3%3Bclass%3D5%3Bht_id%3D204&srpvid=1879997b2caa01fa&srepoch=1719352189&all_sr_blocks=1184606502_390834457_2_0_0%2C1184606501_390834457_0_0_0&highlighted_blocks=1184606502_390834457_2_0_0%2C1184606501_390834457_0_0_0&matching_block_id=1184606502_390834457_2_0_0&sr_pri_blocks=1184606502_390834457_2_0_0__37048%2C1184606501_390834457_0_0_0__34200&from=searchresults
Toulouse,Hotel Ours Blanc - Centre,$785,Scored 6.9,"3,286 reviews",https://www.booking.com/hotel/fr/ours-blanc-centre.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAExuAEHyAEP2AEB6AEB-AECiAIBqAIDuAKz9uyzBsACAdICJDdmMjk0ZjE3LTQyOTEtNDVlMS04MGI3LTJjY2Y5MDY2OTIwNNgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-28&dest_id=-1473166&dest_type=city&group_adults=3&req_adults=3&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=price&nflt=class%3D4%3Bclass%3D3%3Bclass%3D5%3Bht_id%3D204&srpvid=1879997b2caa01fa&srepoch=1719352189&all_sr_blocks=4963703_363349820_3_2_0&highlighted_blocks=4963703_363349820_3_2_0&matching_block_id=4963703_363349820_3_2_0&sr_pri_blocks=4963703_363349820_3_2_0__73150&from=searchresults
Toulouse,Residhome Toulouse Occitania,$794,Scored 8.4,"3,025 reviews",https://www.booking.com/hotel/fr/residhome-toulouse-occitania.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAExuAEHyAEP2AEB6AEB-AECiAIBqAIDuAKz9uyzBsACAdICJDdmMjk0ZjE3LTQyOTEtNDVlMS04MGI3LTJjY2Y5MDY2OTIwNNgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-28&dest_id=-1473166&dest_type=city&group_adults=3&req_adults=3&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=price&nflt=class%3D4%3Bclass%3D3%3Bclass%3D5%3Bht_id%3D204&srpvid=1879997b2caa01fa&srepoch=1719352189&all_sr_blocks=7662002_93706763_4_2_0&highlighted_blocks=7662002_93706763_4_2_0&matching_block_id=7662002_93706763_4_2_0&sr_pri_blocks=7662002_93706763_4_2_0__74000&from_sustainable_property_sr=1&from=searchresults
