city,name,hotel_prices,rating,number of review,hotel_link
Uzès,Logis Hotel Restaurant Uzès Pont du Gard,"$1,826",Scored 7.7,"1,073 reviews",https://www.booking.com/hotel/fr/uzes.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAExuAEHyAEP2AEB6AEB-AECiAIBqAIDuAKE8uyzBsACAdICJDc5OGUxZjg1LWNhODQtNDMwNC05ZTBlLTIxZTZkMTA2YTE2ONgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-28&dest_id=-1474231&dest_type=city&group_adults=3&req_adults=3&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=price&nflt=class%3D3%3Bclass%3D4%3Bclass%3D5%3Bht_id%3D204&srpvid=491498754fd90163&srepoch=1719351666&all_sr_blocks=5717015_387309422_2_42_0%2C5717015_387309422_2_42_0&highlighted_blocks=5717015_387309422_2_42_0%2C5717015_387309422_2_42_0&matching_block_id=5717015_387309422_2_42_0&sr_pri_blocks=5717015_387309422_2_42_0__85100%2C5717015_387309422_2_42_0__85100&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Uzès,Hôtel Le Saint-Geniès,"$2,369",Scored 8.8,"1,180 reviews",https://www.booking.com/hotel/fr/le-saint-genies.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAExuAEHyAEP2AEB6AEB-AECiAIBqAIDuAKE8uyzBsACAdICJDc5OGUxZjg1LWNhODQtNDMwNC05ZTBlLTIxZTZkMTA2YTE2ONgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-28&dest_id=-1474231&dest_type=city&group_adults=3&req_adults=3&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=price&nflt=class%3D3%3Bclass%3D4%3Bclass%3D5%3Bht_id%3D204&srpvid=491498754fd90163&srepoch=1719351666&all_sr_blocks=5379001_325714886_0_2_0%2C5379001_325714886_0_2_0&highlighted_blocks=5379001_325714886_0_2_0%2C5379001_325714886_0_2_0&matching_block_id=5379001_325714886_0_2_0&sr_pri_blocks=5379001_325714886_0_2_0__110400%2C5379001_325714886_0_2_0__110400&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Uzès,Patio De Violette,"$2,730",Scored 8.6,451 reviews,https://www.booking.com/hotel/fr/patio-de-violette.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAExuAEHyAEP2AEB6AEB-AECiAIBqAIDuAKE8uyzBsACAdICJDc5OGUxZjg1LWNhODQtNDMwNC05ZTBlLTIxZTZkMTA2YTE2ONgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-28&dest_id=-1474231&dest_type=city&group_adults=3&req_adults=3&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=price&nflt=class%3D3%3Bclass%3D4%3Bclass%3D5%3Bht_id%3D204&srpvid=491498754fd90163&srepoch=1719351666&all_sr_blocks=5435101_392036872_0_2_0%2C5435101_392036872_0_2_0&highlighted_blocks=5435101_392036872_0_2_0%2C5435101_392036872_0_2_0&matching_block_id=5435101_392036872_0_2_0&sr_pri_blocks=5435101_392036872_0_2_0__127200%2C5435101_392036872_0_2_0__127200&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Uzès,Boutique Hôtel Entraigues,"$3,205",Scored 8.9,"1,397 reviews",https://www.booking.com/hotel/fr/entraigues-uzes2.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAExuAEHyAEP2AEB6AEB-AECiAIBqAIDuAKE8uyzBsACAdICJDc5OGUxZjg1LWNhODQtNDMwNC05ZTBlLTIxZTZkMTA2YTE2ONgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-28&dest_id=-1474231&dest_type=city&group_adults=3&req_adults=3&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=price&nflt=class%3D3%3Bclass%3D4%3Bclass%3D5%3Bht_id%3D204&srpvid=491498754fd90163&srepoch=1719351666&all_sr_blocks=147122412_106142863_3_1_0&highlighted_blocks=147122412_106142863_3_1_0&matching_block_id=147122412_106142863_3_1_0&sr_pri_blocks=147122412_106142863_3_1_0__298688&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Uzès,La Maison d'Uzès Relais &amp; Châteaux,"$4,820",Scored 8.6,105 reviews,https://www.booking.com/hotel/fr/la-maison-d-uza-s.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAExuAEHyAEP2AEB6AEB-AECiAIBqAIDuAKE8uyzBsACAdICJDc5OGUxZjg1LWNhODQtNDMwNC05ZTBlLTIxZTZkMTA2YTE2ONgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-28&dest_id=-1474231&dest_type=city&group_adults=3&req_adults=3&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=price&nflt=class%3D3%3Bclass%3D4%3Bclass%3D5%3Bht_id%3D204&srpvid=491498754fd90163&srepoch=1719351666&all_sr_blocks=68027115_383532578_0_42_0&highlighted_blocks=68027115_383532578_0_42_0&matching_block_id=68027115_383532578_0_42_0&sr_pri_blocks=68027115_383532578_0_42_0__449200&from=searchresults#hotelTmpl
Uzès,Hotel Restaurant Le Gardon - Pont du Gard,"$1,558",Scored 8.6,773 reviews,https://www.booking.com/hotel/fr/logis-de-france-le-gardon.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAExuAEHyAEP2AEB6AEB-AECiAIBqAIDuAKE8uyzBsACAdICJDc5OGUxZjg1LWNhODQtNDMwNC05ZTBlLTIxZTZkMTA2YTE2ONgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-28&dest_id=-1474231&dest_type=city&group_adults=3&req_adults=3&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=price&nflt=class%3D3%3Bclass%3D4%3Bclass%3D5%3Bht_id%3D204&srpvid=491498754fd90163&srepoch=1719351666&all_sr_blocks=5478102_326751884_2_34_0%2C5478106_326751884_1_34_0&highlighted_blocks=5478102_326751884_2_34_0%2C5478106_326751884_1_34_0&matching_block_id=5478102_326751884_2_34_0&sr_pri_blocks=5478102_326751884_2_34_0__73610%2C5478106_326751884_1_34_0__71570&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Uzès,Le Castellas Hotel &amp; SPA - TERITORIA,"$2,825",Scored 8.5,354 reviews,https://www.booking.com/hotel/fr/castellascollias.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAExuAEHyAEP2AEB6AEB-AECiAIBqAIDuAKE8uyzBsACAdICJDc5OGUxZjg1LWNhODQtNDMwNC05ZTBlLTIxZTZkMTA2YTE2ONgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-28&dest_id=-1474231&dest_type=city&group_adults=3&req_adults=3&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=price&nflt=class%3D3%3Bclass%3D4%3Bclass%3D5%3Bht_id%3D204&srpvid=491498754fd90163&srepoch=1719351666&all_sr_blocks=5133602_340055479_0_42_0%2C5133617_340055479_1_42_0&highlighted_blocks=5133602_340055479_0_42_0%2C5133617_340055479_1_42_0&matching_block_id=5133602_340055479_0_42_0&sr_pri_blocks=5133602_340055479_0_42_0__131625%2C5133617_340055479_1_42_0__131625&from=searchresults#hotelTmpl
Uzès,La Bégude Saint-Pierre,"$3,528",Scored 8.3,431 reviews,https://www.booking.com/hotel/fr/la-ba-c-gude-lt-st-pierre.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAExuAEHyAEP2AEB6AEB-AECiAIBqAIDuAKE8uyzBsACAdICJDc5OGUxZjg1LWNhODQtNDMwNC05ZTBlLTIxZTZkMTA2YTE2ONgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-28&dest_id=-1474231&dest_type=city&group_adults=3&req_adults=3&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=price&nflt=class%3D3%3Bclass%3D4%3Bclass%3D5%3Bht_id%3D204&srpvid=491498754fd90163&srepoch=1719351666&all_sr_blocks=55752806_88571954_3_2_0&highlighted_blocks=55752806_88571954_3_2_0&matching_block_id=55752806_88571954_3_2_0&sr_pri_blocks=55752806_88571954_3_2_0__328800&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Uzès,Château d'Arpaillargues - TERITORIA,"$3,537",Scored 7.7,178 reviews,https://www.booking.com/hotel/fr/chac-teau-d-arpaillargues.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAExuAEHyAEP2AEB6AEB-AECiAIBqAIDuAKE8uyzBsACAdICJDc5OGUxZjg1LWNhODQtNDMwNC05ZTBlLTIxZTZkMTA2YTE2ONgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-28&dest_id=-1474231&dest_type=city&group_adults=3&req_adults=3&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=price&nflt=class%3D3%3Bclass%3D4%3Bclass%3D5%3Bht_id%3D204&srpvid=491498754fd90163&srepoch=1719351666&all_sr_blocks=35959303_204082982_0_42_0&highlighted_blocks=35959303_204082982_0_42_0&matching_block_id=35959303_204082982_0_42_0&sr_pri_blocks=35959303_204082982_0_42_0__329600&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Uzès,Château de Collias,"$10,196",Scored 9.5,89 reviews,https://www.booking.com/hotel/fr/chateau-de-collias.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAExuAEHyAEP2AEB6AEB-AECiAIBqAIDuAKE8uyzBsACAdICJDc5OGUxZjg1LWNhODQtNDMwNC05ZTBlLTIxZTZkMTA2YTE2ONgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-28&dest_id=-1474231&dest_type=city&group_adults=3&req_adults=3&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=price&nflt=class%3D3%3Bclass%3D4%3Bclass%3D5%3Bht_id%3D204&srpvid=491498754fd90163&srepoch=1719351666&all_sr_blocks=955640202_368083066_2_42_0%2C955640203_368083066_2_42_0&highlighted_blocks=955640202_368083066_2_42_0%2C955640203_368083066_2_42_0&matching_block_id=955640202_368083066_2_42_0&sr_pri_blocks=955640202_368083066_2_42_0__407070%2C955640203_368083066_2_42_0__543200&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
