Unnamed: 0,hotel_name,hotel_address,latitude,longitude
0,Appart'City Confort Amiens Gare,"80, boulevard d'Alsace-Lorraine, 80000 Amiens, France",49.8943163,2.3097612
1,The Nest,"37 Boulevard Maignan Larivière, 80000 Amiens, France",49.889307,2.294634
2,Nemea Appart Hotel Coliseum Amiens Centre,"25 Rue Frédéric Petit, 80000 Amiens, France",49.8921749,2.2889352
3,Odalys City Amiens Blamont,"25 rue du Blamont, 80000 Amiens, France",49.88714842,2.3116109
4,Le Saint Louis,"24 Rue Des Otages, 80000 Amiens, France",49.88977885,2.30249941
5,Comfort Hotel Amiens Nord,"Zac St Ladre - Rue le Greco, 80085 Amiens, France",49.92513403,2.30457276
6,The Originals Boutique Hôtel Amiens Sud,"73 avenue Valery Giscard d'Estaing, 80000 Amiens, France",49.87961282,2.26665102
7,"Holiday Inn Express Amiens, an IHG Hotel","10 Boulevard Alsace Lorraine, 80000 Amiens, France",49.8916762,2.30775386
8,Moxy Amiens,"29-33 rue Paul Tellier, 80000 Amiens, France",49.891249,2.30953
9,Logis hôtel - La Chambre D'Amiens,"1 avenue de l'hippodrome AMIENS, 80000 Amiens, France",49.89448371,2.27680253
10,Hôtel Spa Marotte,"3 rue Marotte, 80000 Amiens, France",49.89105067,2.30115093
11,ibis Styles Amiens Centre,"10 Rue Lamartine, 80000 Amiens, France",49.891422,2.304996
12,Mercure Amiens Cathédrale,"21/23 Rue Flatters, 80000 Amiens, France",49.89571084,2.29956239
13,Campanile Amiens - Glisy,"N° 38 Avenue De La Ville Idéale , 80440 Glisy, France",49.8675131,2.37250775
14,"The Originals City, Tabl'Hôtel, Amiens","16 Avenue de l'Arc, 80330 Longueau, France",49.87095,2.371064
15,Kyriad Prestige Amiens Poulainville - Hotel and Spa,"722 Route Nationale 25, 80260 Poulainville, France",49.9524,2.31145
16,Novotel Amiens Pôle Jules Verne,"Pôle Jules Verne, 7 rue des Indes Noires, 80440 Boves, France",49.86547735,2.3711586
17,Résidence Pierre & Vacances Ty Mat,"33, rue George V, Saint-Servan, 35400 Saint Malo, France",48.63837328,-2.01351285
18,Hotel Kyriad Saint Malo Centre Plage,"49, Chaussée du Sillon, Sillon, 35400 Saint Malo, France",48.65538573,-2.00562447
19,La Maison des Armateurs,"6, Grand Rue, Intra Muros, 35400 Saint Malo, France",48.6492052,-2.02463329
20,Hotel Elizabeth - Intra Muros,"2 Rue Des Cordiers, Intra Muros, 35400 Saint Malo, France",48.64764755,-2.02431947
21,Hotel De L'univers,"12 Place Chateaubriand, Intra Muros, 35400 Saint Malo, France",48.65104101,-2.0237267
22,Brit Hotel Le Surcouf,"17, avenue du Révérend Père umbricht, Sillon, 35400 Saint Malo, France",48.65773512,-1.99437261
23,Hotel Ajoncs d'Or,"10 rue des Forgeurs, Intra Muros, 35400 Saint Malo, France",48.64735692,-2.02519655
24,ibis Styles Saint Malo Port,"6-8 Quai du Val, 35400 Saint Malo, France",48.63962614,-2.01236531
25,Kyriad Prestige Saint-Malo,"4 rue de la Guymauviere, 35400 Saint Malo, France",48.6360992,-1.98920667
26,Otonali Hôtel by Breizh Café,"Angle Place Duguesclin and Quai Duguay Trouin, Sillon, 35400 Saint Malo, France",48.65224772,-2.01142341
27,Logis Hôtel la Grassinais Saint-Malo,"12 Allée de la Grassinais, 35400 Saint Malo, France",48.6241745,-1.98798195
28,Apparts'hôtel l'Europe - centre gare-,"42 Bd de la République, 35400 Saint Malo, France",48.64788206,-2.00856944
29,Hôtel de la Cité,"Place Vauban, Intra Muros, 35400 Saint Malo, France",48.65130149,-2.02511072
30,ibis Styles Saint Malo Centre Historique,"4 Place Du Poids Du Roi, Intra Muros, 35400 Saint Malo, France",48.64865586,-2.02398688
31,"The Originals Boutique, Hôtel des Marins, Saint-Malo (Inter-Hotel)","2, Rue des Marins, Intra Muros, 35400 Saint Malo, France",48.64880649,-2.02491224
32,ibis Saint Malo Plage,"58 Chaussée Du Sillon, Sillon, 35400 Saint Malo, France",48.65315671,-2.01220125
33,Hôtel Cartier,"1, Rue de la Corne de Cerf, Intra Muros, 35400 Saint Malo, France",48.65001325,-2.02483177
34,Mercure Saint Malo Balmoral,"24 Rue Théodore Monod, 35400 Saint Malo, France",48.64649567,-2.00599194
35,Escale Oceania Saint Malo,"76 Chaussée du Sillon, Sillon, 35400 Saint Malo, France",48.65428009,-2.00883776
36,Hôtel France et Chateaubriand,"Place Chateaubriand Bp 77, Intra Muros, 35400 Saint Malo, France",48.6511934,-2.02379644
37,Ambassadeurs Logis Hotel,"11 Chaussée Du Sillon, Sillon, 35400 Saint Malo, France",48.65473054,-2.00773448
38,Hôtel Le Jersey,"53, Chaussée Du Sillon, Sillon, 35400 Saint Malo, France",48.65545483,-2.0052436
39,Mercure St Malo Front de Mer,"36 chaussée du Sillon, Sillon, 35400 Saint Malo, France",48.65256666,-2.01424241
40,Hôtel L'Adresse,"3 rue des Poulieurs, Sillon, 35400 Saint Malo, France",48.65210596,-2.0171231
41,Golden Tulip Saint Malo– Le Grand Bé,"1 place de Freres Lamennais, Intra Muros, 35400 Saint Malo, France",48.64956907,-2.02686496
42,Home in Paris - Paris East,"Rue de la Réunion, 20th arr., 75020 Paris, France",48.8553796,2.4013476
43,Loft in paris,"Rue de Montreuil, 11th arr., 75011 Paris, France",48.85042538,2.38801941
44,MBM - TERRAGE,"Rue du Terrage, 10th arr., 75010 Paris, France",48.8774696,2.3626585
45,Aparthotel Adagio Access Paris La Villette,"28bis avenue Corentin Cariou, 19th arr., 75019 Paris, France",48.89647206,2.38491297
46,Huni Hôtel,"7 rue Jean Baptiste Dumay, 20th arr., 75020 Paris, France",48.87425077,2.38779366
47,MBM - LOFT MARAIS,"Rue de Charonne, 11th arr., 75011 Paris, France",48.85329021,2.37766369
48,MBM - CHEMIN VERT,"Rue du Chemin Vert, 11th arr., 75011 Paris, France",48.8601618,2.3781543
49,Hôtel Paris Gambetta,"12 avenue du Père Lachaise, 20th arr., 75020 Paris, France",48.86412466,2.3979427
50,Hôtel Lebron,"4 Rue Lamartine, 9th arr., 75009 Paris, France",48.8765948,2.34395161
51,Ibis Paris Gare Montparnasse Catalogne,"11 Rue Du Texel, 14th arr., 75014 Paris, France",48.8368205,2.3178964
52,Paris XV Multire - appartamento bilocale 4 posti,"20 Rue d'Oradour-sur-Glane, 75015 Paris, France",48.8310245,2.2827732
53,Hipotel Paris Voltaire Bastille,"132 boulevard Voltaire, 11th arr., 75011 Paris, France",48.85732465,2.38058925
54,Square Villaret Studio,"6 Square Villaret de Joyeuse, 17th arr., 75017 Paris, France",48.8774547,2.289234
